Gene symbol	Affymetrix  probesetID	Parametric  pvalue	FDR	Permutation  pvalue	Geommeanofintensities  inclass(highHIF1A)	Geommeanofintensities  inclass(lowHIF1A)	Fold change
ALDOA	238996_x_at	6.40E-06	0.002	0.0022	259.44	152.91	1.7
TF	214064_at	1.56E-05	0.0025	0.0022	263.87	810.54	0.33
SLC2A3	202499_s_at	0.0020831	0.091	0.013	580.42	134.75	4.31
FABP5	202345_s_at	0.0064111	0.091	0.0238	466.71	138.3	3.37
SLC2A14	222088_s_at	0.0097873	0.091	0.0303	288.5	99.94	2.89
LOX	215446_s_at	0.0092794	0.091	0.0281	56.41	20.25	2.79
KRT19	201650_at	0.0009813	0.091	0.0087	125.44	45.92	2.73
ADM	202912_at	0.0018755	0.091	0.0108	1,094.78	417.36	2.62
COL5A1	212488_at	0.0108966	0.091	0.0346	470.57	198.35	2.37
TGM2	201042_at	0.0028763	0.091	0.0087	2,269.40	978.56	2.32
GJA1	201667_at	0.0051342	0.091	0.0173	481.41	219.32	2.2
TGFB1	203085_s_at	0.0105139	0.091	0.0173	361.47	166.89	2.17
EPO	207257_at	0.0066915	0.091	0.0195	267.28	128.21	2.08
SLC2A3	202497_x_at	0.0071711	0.091	0.0108	384.43	191.86	2
VIM	1555938_x_at	0.0073633	0.091	0.0216	52.24	27.06	1.93
EDN1	218995_s_at	0.010559	0.091	0.0368	203.8	110.14	1.85
EGLN3	219232_s_at	0.0080011	0.091	0.0281	87.97	47.57	1.85
CDKN1A	202284_s_at	0.0116036	0.091	0.0346	2,011.77	1,122.87	1.79
CORO1A	209083_at	0.0073799	0.091	0.0195	331.32	186.69	1.77
HMOX1	203665_at	0.0061297	0.091	0.0173	3,011.93	1,729.71	1.74
ENO2	201313_at	0.0109426	0.091	0.0065	69.18	40.76	1.7
HIF1A	200989_at	0.0077777	0.091	0.013	5,890.47	3,571.32	1.65
BHLHE40	201170_s_at	0.0069738	0.091	0.0173	3,938.45	2,435.98	1.62
TGFB3	209747_at	0.0060596	0.091	0.0108	270.52	171.37	1.58
HK1	200697_at	0.0049897	0.091	0.0087	601.53	386.17	1.56
TAF9B	221617_at	0.0115165	0.091	0.0216	96.93	62.72	1.55
ALDOA	200966_x_at	0.008956	0.091	0.0173	2,040.33	1,347.53	1.51
ALDOA	214687_x_at	0.0075083	0.091	0.0173	2,204.08	1,464.25	1.51
ABCF2	209246_at	0.0118038	0.091	0.013	150.81	110.72	1.36
ANGPT2	237261_at	0.0070278	0.091	0.0087	28.6	21.7	1.32
PDGFB	204200_s_at	0.0112445	0.091	0.0152	84.9	65.11	1.3
HRK	206865_at	0.0059758	0.091	0.0043	34.85	45.71	0.76
AK3	224655_at	0.0086382	0.091	0.013	4,840.24	6,492.88	0.75
FAM162A	220942_x_at	0.0098018	0.091	0.0216	3,552.56	4,899.97	0.73
FAM162A	223193_x_at	0.0085622	0.091	0.0152	3,387.41	4,858.75	0.7
FAM162A	224345_x_at	0.0071691	0.091	0.0152	3,132.58	4,568.45	0.69
RET	205879_x_at	0.002565	0.091	0.0022	118.86	175.13	0.68
PRKCA	213093_at	0.0058312	0.091	0.013	327.62	503.62	0.65
BNIP3	201848_s_at	0.0016064	0.091	0.0043	1,065.87	1,649.19	0.65
