Probeset	Official Symbol
213005_s_at	ANKRD15
204014_at	DUSP4
204015_s_at	DUSP4
208891_at	DUSP6
208892_s_at	DUSP6
208893_s_at	DUSP6
212418_at	ELF1
212420_at	ELF1
1554576_a_at	ETV4
211603_s_at	ETV4
203349_s_at	ETV5
203348_s_at	ETV5
224252_s_at	FXYD5
218084_x_at	FXYD5
208949_s_at	LGALS3
219042_at	LZTS1
47550_at	LZTS1
207667_s_at	MAP2K3
215498_s_at	MAP2K3
215499_at	MAP2K3
217997_at	PHLDA1
225842_at	PHLDA1
218000_s_at	PHLDA1
217999_s_at	PHLDA1
217996_at	PHLDA1
207808_s_at	PROS1
217728_at	S100A6
228726_at	SERPINB1
213572_s_at	SERPINB1
212268_at	SERPINB1
219911_s_at	SLCO4A1
204011_at	SPRY2
221489_s_at	SPRY4
202478_at	TRIB2
202479_s_at	TRIB2
217781_s_at	ZFP106
222407_s_at	ZFP106
208791_at	CLU
208792_s_at	CLU
202391_at	BASP1
231766_s_at	COL12A1
225664_at	COL12A1
202551_s_at	CRIM1
202552_s_at	CRIM1
227846_at	GPR176
205743_at	STAC
238129_s_at	FZD2
212488_at	COL5A1
203325_s_at	COL5A1
212489_at	COL5A1
215446_s_at	LOX
202627_s_at	SERPINE1
202628_s_at	SERPINE1
223834_at	CD274
227458_at	CD274
213524_s_at	G0S2
205207_at	IL6
201301_s_at	ANXA4
201302_at	ANXA4
218332_at	BEX1
201849_at	BNIP3
201848_s_at	BNIP3
210764_s_at	CYR61
201289_at	CYR61
202454_s_at	ERBB3
226213_at	ERBB3
226448_at	FAM89A
212822_at	HEG1
213069_at	HEG1
209897_s_at	SLIT2
228850_s_at	SLIT2
202557_at	STCH
202558_s_at	STCH
203002_at	AMOTL2
203910_at	ARHGAP29
217867_x_at	BACE2
222446_s_at	BACE2
222199_s_at	BIN3
203944_x_at	BTN2A1
211256_x_at	BTN2A1
215493_x_at	BTN2A1
223351_at	C17orf80
220753_s_at	CRYL1
208774_at	CSNK1D
202213_s_at	CUL4B
202214_s_at	CUL4B
210257_x_at	CUL4B
218102_at	DERA
221584_s_at	KCNMA1
218651_s_at	LARP6
221558_s_at	LEF1
229498_at	MBNL3
204305_at	MIPEP
