A549	Calu6	H1299	BEAS2B	MCF-10A	Genesymbol	Genename
		1.37	1.24		ADAMTS13	ADAMmetallopeptidasewiththrombospondintype1motif,13
				1.48	ADAMTS5	ADAMmetallopeptidasewiththrombospondintype1motif,5
2.03				1.31	ADAMTS9	Disintegrinmetalloproteinasewiththrombospondinrepeats
	1.82			1.52	COL3A1	Collagen,typeIII,alpha1
1.39				1.56	COL4A2	Collagen,typeIV,alpha2
2			1.33	1.34	COL5A1	Collagen,typeV,alpha1
	1.28		1.25	1.73	COL5A2	Collagen,typeV,alpha2
	1.3				COL6A3	Collagen,typeVI,alpha3
			1.36	2.46	COL8A1	Collagen,typeVIII,alpha1
1.44	1.62	2.66	1.87	1.58	COL9A3	Collagen,typeIX,alpha3
		1.26	1.9		COL11A1	Collagen,typeXI,alpha1
2.03	4.15			2.4	COL13A1	Collagen,typeXIII,alpha1
		1.99			COL16A1	Collagen,typeXVI,alpha1
			1.29		DMD	Dystrophin
1.43			1.79		DST	Dystonin
	1.31				ECM1	Extracellularmatrixprotein1
3.51	2.68				ECM2	Extracellularmatrixprotein2
				1.54	EFEMP1	EGF-containingfibulin-likeextracellularmatrixprotein1
		1.69	1.28		EFEMP2	EGF-containingfibulin-likeextracellularmatrixprotein2
1.98	1.44		1.6	2.3	FBLN1	Fibulin1
		2.34	1.42		FBLN2	Fibulin2
1.64	1.93	1.21	1.26		FBLN5	Fibulin5
		1.57	1.32	1.57	FBN1	Fibrillin1
		1.44	1.33		FBN2	Fibrillin2
3.26	1.95		1.71	3.81	LAMA4	Laminin,alpha4
	1.4		1.29	1.9	LAMB1	Laminin,beta1
		1.59	1.25	1.46	LAMB2	Laminin,beta2
4.65	5.34	2.5	1.84	3.04	LAMC1	Laminin,gamma1
1.48	1.33			2.1	MATN3	Matrilin3
		1.2		2.12	MGP	MatrixGlaprotein
		1.53	1.17	1.8	MMP11	Matrixmetallopeptidase11
	1.31	1.26		1.42	SGCB	Sarcoglycan,beta
				3.46	SGCD	Sarcoglycan,delta
	1.44	1.19	1.42	1.66	SGCE	Sarcoglycan,epsilon
				2.31	SNTB1	Syntrophin,beta1
1.84	1.35		2.06		SSPN	Sarcospan(Krasoncogene-associatedgene)
		1.12		1.35	THBS4	Thrombospondin4
			1.33		TNXB	TenascinXB
