Gene set	Cox score
NFKBPATHWAY	2.34
LIN_WNT_UP	2.22
KERATINOCYTEPATHWAY	2.21
TIDPATHWAY	2.2
FALT_BCLL_UP	2.19
TNFR2PATHWAY	2.17
GLUTAMATE_METABOLISM	2.17
MAPKPATHWAY	2.14
AGUIRRE_PANCREAS_CHR19	2.13
HEARTFAILURE_ATRIA_UP	2.13
LIAN_MYELOID_DIFF_TF	2.11
OXSTRESS_RPE_HNETBH_DN	2.09
HIVNEFPATHWAY	2.08
OXSTRESS_BREASTCA_UP	2.07
HBX_HCC_DN	2.05
BCNU_GLIOMA_MGMT_24HRS_DN	2.05
HSA04920_ADIPOCYTOKINE_SIGNALING_PATHWAY	2.04
GALE_FLT3ANDAPL_DN	2.03
HDACI_COLON_CLUSTER9	2.02
BYSTROM_IL5_UP	2.02
IL1RPATHWAY	2.02
HSA05221_ACUTE_MYELOID_LEUKEMIA	2.01
AD12_32HRS_DN	1.98
INOS_ALL_DN	1.98
UVC_TTD_ALL_UP	1.97
ET743_RESIST_UP	1.97
DEATHPATHWAY	1.96
HOFMANN_MANTEL_LYMPHOMA_VS_LYMPH_NODES_DN	1.96
HSA04210_APOPTOSIS	1.95
UVC_TTD_4HR_UP	1.95
UVB_NHEK3_C6	1.95
FERRANDO_MLL_T_ALL_UP	1.93
TGZ_ADIP_UP	1.93
AD12_ANY_DN	1.93
HSA00251_GLUTAMATE_METABOLISM	1.92
CERAMIDEPATHWAY	1.9
TNFA_NFKB_DEP_UP	1.9
KLEIN_PEL_UP	1.89
UV_ESR_OLD_UNREG	1.89
GH_EXOGENOUS_LATE_UP	1.89
HSC_LATEPROGENITORS_ADULT	-1.89
HSC_LATEPROGENITORS_SHARED	-1.89
HIPPOCAMPUS_DEVELOPMENT_PRENATAL	-1.89
HDACI_COLON_SUL16HRS_DN	-1.89
HSA04120_UBIQUITIN_MEDIATED_PROTEOLYSIS	-1.89
PEART_HISTONE_UP	-1.9
ZHAN_MMPC_SIM	-1.9
HDACI_COLON_BUT16HRS_DN	-1.9
HDACI_COLON_BUT48HRS_DN	-1.9
MTORPATHWAY	-1.9
ABRAHAM_MM_VS_AL_UP	-1.91
ROSS_FAB_M7	-1.91
AGED_MOUSE_CORTEX_UP	-1.91
LEE_TCELLS1_UP	-1.91
LEE_TCELLS10_UP	-1.91
LEE_TCELLS8_UP	-1.91
MMS_MOUSE_LYMPH_HIGH_4HRS_UP	-1.92
PARK_HSC_VS_MPP_UP	-1.92
MOREAUX_TACI_HI_IN_PPC_UP	-1.92
SRC_ONCOGENIC_SIGNATURE	-1.92
AGUIRRE_PANCREAS_CHR9	-1.92
NOUZOVA_CPG_H4_UP	-1.92
HSA05218_MELANOMA	-1.93
4NQO_ESR_WS_UNREG	-1.93
CMV_HCMV_TIMECOURSE_ALL_DN	-1.93
ABRAHAM_AL_VS_MM_DN	-1.94
HSA04730_LONG_TERM_DEPRESSION	-1.94
DIAB_NEPH_DN	-1.94
UVB_SCC_UP	-1.94
HSC_STHSC_ADULT	-1.94
BYSTRYKH_HSC_CIS_GLOCUS	-1.94
CARIES_PULP_DN	-1.95
SANA_IFNG_ENDOTHELIAL_DN	-1.95
HSA00130_UBIQUINONE_BIOSYNTHESIS	-1.95
MARCINIAK_CHOP_DIFF	-1.95
CELL_CYCLE_REGULATOR	-1.96
HSA04720_LONG_TERM_POTENTIATION	-1.96
FALT_BCLL_IG_MUTATED_VS_WT_DN	-1.96
TPA_SENS_EARLY_DN	-1.96
PROTEASOME	-1.97
ZHAN_MM_CD1_VS_CD2_DN	-1.97
SMITH_HCV_INDUCED_HCC_UP	-1.97
PROTEASOME_DEGRADATION	-1.97
HPV31_UP	-1.98
POMEROY_DESMOPLASIC_VS_CLASSIC_MD_UP	-1.99
PROTEASOMEPATHWAY	-1.99
BRCA1_OVEREXP_PROSTATE_UP	-1.99
HSA03050_PROTEASOME	-2
CHESLER_BRAIN_CIS_GENES	-2
HSC_STHSC_FETAL	-2
HSC_STHSC_SHARED	-2
AGED_MOUSE_HIPPOCAMPUS_MULTI_UP	-2.01
MOREAUX_TACI_HI_VS_LOW_DN	-2.01
CHESLER_HIGHEST_FOLD_RANGE_GENES	-2.01
HEARTFAILURE_ATRIA_DN	-2.03
AGEING_LYMPH_DN	-2.05
CALRES_MOUSE_DN	-2.05
UVC_LOW_ALL_DN	-2.05
CROMER_HYPOPHARYNGEAL_MET_VS_NON_UP	-2.05
IDX_TSA_DN_CLUSTER1	-2.05
LEE_MYC_TGFA_UP	-2.05
AGUIRRE_PANCREAS_CHR12	-2.06
GAMMA-UV_FIBRO_UP	-2.07
ROME_INSULIN_2F_UP	-2.07
SASAKI_ATL_UP	-2.08
SASAKI_TCELL_LYMPHOMA_VS_CD4_UP	-2.08
AGED_MOUSE_CORTEX_DN	-2.08
G_PROTEIN_SIGNALING	-2.11
HDACI_COLON_SUL12HRS_DN	-2.11
UVC_LOW_C3_DN	-2.11
PRMT5_KD_UP	-2.13
LEE_MYC_UP	-2.14
AGED_MOUSE_HYPOTH_UP	-2.14
TSADAC_HYPERMETH_OVCA_UP	-2.21
H2O2_CSBDIFF_C1	-2.22
IFNALPHA_RESIST_DN	-2.25
HSA00563_GLYCOSYLPHOSPHATIDYLINOSITOL_ANCHOR_BIOSYNTHESIS	-2.26
BRCA1_OVEREXP_UP	-2.28
FLECHNER_KIDNEY_TRANSPLANT_REJECTION_PBL_UP	-2.3
HOGERKORP_CD44_DN	-2.31
	
