Accession	UnigeneID	Symbol	Name	Regulation
D38293	Hs.77770	AP3M2	Adaptor-related protein complex 3, mu 2 subunit	Down-Regulated
AF068760	Hs.36708	BUB1B	Budding uninhibited benzimidazoles 1 (yeast homolog), beta	Down-Regulated
AI090038	Hs.5198	DSCR2	Down syndrome critical region gene 2	Down-Regulated
U54558	Hs.55682	EIF3S7	Eukaryotic translation initiation factor 3, subunit 7 (zeta, 66/67 kD)	Down-Regulated
X87237	Hs.83919	GCS1	Glucosidase I	Down-Regulated
S74678	Hs.129548	HNRPK	Heterogeneous nuclear ribonucleoprotein K	Down-Regulated
U41745	Hs.278426	PDAP1	PDGFA associated protein 1	Down-Regulated
S78085	Hs.41639	PDCD2	Programmed cell death 2	Down-Regulated
AA573816	Hs.155543	PSMD7	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	Down-Regulated
U35143	Hs.31314	RBBP7	Retinoblastoma-binding protein 7	Down-Regulated
T36260	Hs.173497	SEC23B	Sec23 (S. cerevisiae) homolog B	Down-Regulated
AA136350				Down-Regulated
AA759326				Down-Regulated
M23161				Down-Regulated
