Accession no.	Symbol	TBCs	TPCs	BPCs
Y00062	CD45	11495±2198	4979±2522	1385±706
M27394	CD20	23860±5494	3799±2977	289±358
M89957	CD79B	14758±3348	4696±2440	1243±1357
X62466	CD52	14576±2395	4348±2074	2831±1002
M84371	CD19	12339±1708	6174±1345	2852±852
M26004	CD21	8909±1640	5434±4053	458±140
X59350	CD22	10349±1422	5356±1610	1929±612
Z11697	CD83	9201±1900	2380±1087	392±403
M54992	CD72	6177±1620	865±554	454±548
Z48199	CD138	719±519	9935±3545	24643±6206
D84276	CD38	3122±967	9833±3419	14836±3462
X62654	CD63	2310±431	6815±1582	16878±3305
M63928	CD27	6235±1736	15937±6691	16714±4442
M31627	XBP1	12978±1676	54912±13649	49558±10798
U52682	IRF4	1863±630	8422±3061	11348±3118
U00115	BCL6	7979±1610	3303±2070	618±335
X74301	CIITA	1553±263	236±217	113±82
U16031	STAT6	1314±512	386±335	191±187
S76617	BLK	3654±1551	388±592	95±86
X68149	CXCR5	3381±1173	183±299	92±183
U29680	BCL2A1	3290±1073	1121±817	483±209
L00058	MYC	1528±474	348±239	2103±903
L06797	CXCR4	11911±2093	6673±3508	18033±5331
