Affymetrix probe set	Gene symbol	Description	Intact Wnt pathway	Deregulated Wnt pathway	Ratio	P	LocusLink
X54667_s_at	CST4	Cystatin S	927.1	9065.9	9.8	0	1472
U23070_at	NMA	Putative transmembrane protein	346.8	2835.7	8.2	0	25805
X57348_s_at	SFN	Stratifin	483	3918.3	8.1	0	2810
M81883_at	GAD1	Glutamate decarboxylase 1 (brain, 67 kDa)	320	2480.9	7.8	0	2571
U65932_at	ECM1	Extracellular matrix protein 1	463.5	2712.3	5.9	0	1893
D89377_s_at	MSX2	msh (Drosophila) homeo box homologue 2a	246.6	1425	5.8	0	4488
M31682_at	INHBB	Inhibin, f B (activin AB f polypeptide)	137.8	770.4	5.6	0.0001	3625
X52001_at	EDN3	Endothelin 3	209.1	1122.6	5.4	0	1908
L22524_s_at	MMP7	Matrix metalloproteinase 7 (matrilysin)	1267	6059.6	4.8	0.0066	4316
U14528_at	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	476.7	2263.6	4.7	0	1836
S79219_s_at	PCCA	Propionyl coenzyme A carboxylase, ( polypeptide	1225	5661.3	4.6	0	5095
D14838_at	FGF9	Fibroblast growth factor 9	423.1	1950.8	4.6	0	2254
K01396_at	SERPINA1	Serine (or cys) proteinase inhibitor, clade A, member 1	1661.8	7340.6	4.4	0.0007	5265
M68516_rna1_at	SERPINA5	Serine (or cys) proteinase inhibitor, clade A, member 5	705.4	2973.1	4.2	0.006	5104
X68742_at	ITGA1	Integrin, ( 1	448.4	1847.2	4.1	0	3672
M21389_at	KRT5	Keratin 5 (epidermolysis bullosa simplex)	425.5	1688.1	4	0.0068	3852
HG880-HT880_s_at	MUC6	Mucin 6, gastric	130.3	512.2	3.9	0.0038	4588
L38517_at	IHH	Indian hedgehog (Drosophila) homologue	176	675.2	3.8	0.0005	3549
M55593_at	MMP2	Matrix metalloproteinase 2 (gelatinase A)	1057	3934.7	3.7	0	4313
U33147_at	MGB1	Mammaglobin 1	570.3	2117.6	3.7	0.0009	4250
J05257_at	DPEP1	Dipeptidase 1 (renal)	202	731.4	3.6	0.0038	1800
X91117_rna1_at	SLC6A2	Solute carrier family 6 (noradrenalin transporter), member 2	265.6	923.9	3.5	0	6530
U53506_at	DIO2	Deiodinase, iodothyronine, type II	109.4	376	3.4	0.0004	1734
X51441_s_at	SAA1	Serum amyloid A1	302.1	1004.6	3.3	0.0311	6288
X67697_at	SPAG11	Sperm associated antigen 11	406.9	1342	3.3	0.0016	10407
X61118_rna1_at	LMO2	LIM domain only 2 (rhombotin-like 1)	469.9	1507.7	3.2	0	4005
HG2981-HT3127_s_at	CD44	CD44 antigen (Indian blood group system)	396.9	1239.1	3.1	0	960
X59798_at	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	1390.7	4318.4	3.1	0.0081	893
X16354_at	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	589.7	1734.8	2.9	0.001	634
L13286_at	CYP24	Cytochrome P450, subfamily 24 (vitamin D 24-hydroxylase)	211.3	613.9	2.9	0.0001	1591
J02611_at	APOD	Apolipoprotein D	787.4	2285.9	2.9	0.0013	347
M21624_at		T cell receptor b locus	366.1	1057.5	2.9	0.0005	6964
D50840_at	UGCG	UDP-glucose ceramide glucosyltransferase	1613	4520.1	2.8	0.0001	7357
U59321_at	DDX17	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 17	427.9	1177.4	2.8	0.0056	10521
X13255_at	DBH	Dopamine _-hydroxylase	203.2	526.3	2.6	0.0029	1621
X68733_rna1_at	SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A, 3	1172.8	3010.1	2.6	0.0153	12
X78706_at	CRAT	Carnitine acetyltransferase	872	2213.1	2.5	0.0035	1384
AB000220_at	SEMA3C	Sema domain, immunoglobulin domain, (semaphorin) 3C	1517.5	3840.1	2.5	0.0038	10512
M31994_at	ALDH1	Aldehyde dehydrogenase 1, soluble	1522.8	3809.8	2.5	0.0128	216
X07730_at	KLK3	Kallikrein 3, (prostate specific antigen)	545.9	1362.6	2.5	0.0105	354
M57710_at	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	7561.3	18451.6	2.4	0.0006	3958
L27479_at	X123	Friedreich ataxia region gene X123	205.3	499.9	2.4	0.002	9413
D42073_at	RCN1	Reticulocalbin 1, EF-hand calcium binding domain	1952.3	4737.2	2.4	0.0003	5954
M14539_at	F13A1	Coagulation factor XIII, A1 polypeptide	549.7	1327.9	2.4	0.0098	2162
S39329_at	KLK2	Kallikrein 2, prostatic	193.8	464	2.4	0.0204	3817
HG1067-HT1067_r_at	NULL	Homo sapiens clone 24747 mRNA sequence	125.2	298.4	2.4	0.0287	NULL
U53347_at	SLC1A5	Solute carrier family 1 (neutral A.A. transporter), 5	1495.1	3556.5	2.4	0.0009	6510
X68314_at	GPX2	Glutathione peroxidase 2 (gastrointestinal)	245.7	582.3	2.4	0.0047	2877
U83115_at	AIM1	Absent in melanoma 1	1147.9	2685.3	2.3	0.0153	202
M22490_at	BMP4	Bone morphogenetic protein 4	840	1950.7	2.3	0.0002	652
S62539_at	IRS1	Insulin receptor substrate 1	525.5	1217.1	2.3	0.0003	3667
L11708_at	HSD17B2	Hydroxysteroid (17-_) dehydrogenase 2	267.9	616.5	2.3	0.0003	3294
M27492_at	IL1R1	Interleukin 1 receptor, type I	1579.7	3624.7	2.3	0.0019	3554
X76717_at	MT1L	Metallothionein 1L	2966.1	6801.2	2.3	0.002	4500
M35252_at	TM4SF3	Transmembrane 4 superfamily member 3	549.6	1254.8	2.3	0.0478	7103
D64109_at	TOB2	Transducer of ERBB2, 2	1082.9	2458.5	2.3	0.0007	10766
M97925_rna1_at	DEFA5	Defensin, ( 5, Paneth cell-specific	515.6	1166.1	2.3	0.0018	1670
U90911_at	NULL	H. sapiens cDNA: FLJ23260 fis, clone COL05804	1311.3	2946.8	2.2	0.0005	NULL
HG2755-HT2862_at	PLS3	Plastin 3 (T isoform)	838.7	1846.4	2.2	0.0276	5358
J03779_at	MME	Membrane metallo-endopeptidase (neutral, CD10)	520.3	1129.1	2.2	0.0032	4311
X75208_at	EPHB3	EphB3	1070.5	2304.6	2.2	0.0001	2049
U46689_at	ALDH10	Aldehyde dehydrogenase 10 (fatty aldehyde dehydrogenase)	630	1353.6	2.1	0	224
U73799_at	NULL	H. sapiens mRNA, (from clone DKFZp434B1620)	115	245	2.1	0.0014	NULL
X16832_at	NULL	H. sapiens cDNA: FLJ22499 fis, similar to Hu cathepsin H	2622.9	5520	2.1	0.0111	NULL
X69111_at	ID3	Inhibitor of DNA binding 3, dominant negative H-L-H protein	1670.5	3503.4	2.1	0.0014	3399
HG2167-HT2237_at	LBC	Lymphoid blast crisis oncogene	1455.2	3028.9	2.1	0	3928
U07807_at	NULL	H. sapiens pseudogene for metallothionein and AG/CT repeat	196.8	405.5	2.1	0.0001	NULL
M94151_at	CTNNA2	Catenin (cadherin-associated protein), ( 2	308.1	634.7	2.1	0.0154	1496
U35048_at	TSC22	Transforming growth factor _-stimulated protein TSC-22	3889.6	7986.1	2.1	0.0008	8848
J04164_at	IFITM1	Interferon induced transmembrane protein 1 (9-27)	16201.5	33164.5	2	0.0471	8519
X81892_at	GPR64	G protein-coupled receptor 64	353.8	723.9	2	0.0313	10149
M14745_at	BCL2	B-cell CLL/lymphoma 2	662.6	1355.5	2	0.002	596
U52828_s_at	CTNND2	Catenin, b 2 (neural plakophilin-related arm-repeat protein)	335.2	684.4	2	0.0012	1501
X71125_at	QPCT	Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	303.5	619.4	2	0.0001	25797
D83735_at	CNN2	Calponin 2	1416.7	2882.3	2	0.0047	1265
U43148_at	PTCH	Patched (Drosophila) homologue	404.5	822.9	2	0.0004	5727
U73960_at	ARL4	ADP-ribosylation factor-like 4	725.2	1473.4	2	0.0003	10124
M80482_at	PACE4	Paired basic amino acid cleaving system 4	891.8	1800	2	0.0018	5046
M34455_at	INDO	Indoleamine-pyrrole 2,3 dioxygenase	1402.3	2812.3	2	0.0249	3620
D86980_at	KIAA0227	KIAA0227 protein	288	576.6	2	0	23508
D87258_at	PRSS11	Protease, serine, 11 (IGF binding)	2996.2	5994.7	2	0.0127	5654
