Gene	GenBank accession no.	Description	Fold change	P†
CEBPE	U48865	CCAAT/enhancer binding protein (C/EBP), epsilon	280.6	0.0005
THBD	J02973	Thrombomodulin	515.5	0.01
ID1	HG3342-HT3519	ID1	5.6	0.04
SLC2A5	M55531	Solute carrier family 2 (facilitated glucose transporter), member 5	5.5	0.0001
SLA	D89077	Src-like adaptor	4.8	0.0009
FGR	M19722	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	4.3	0.0009
NCF1	M55067	Neutrophil cytosolic factor 1 (47 kDa, chronic granulomatous disease, autosomal 1)	3.5	0.3
NFIL6	HG3494-HT3688	Nuclear factor, NF-IL6 (C/EBP beta)	4.3	0.0003
CG1I	U61836	Human putative cyclin G1 interacting protein	3.6	0.0004
PIK3CG	X83368	Phosphatidylinositol 3-kinase, catalytic, gamma polypeptide	2.6	0.0001
c-mer	U08023	Mer tyrosine kinase proto-oncogene	2.4	0.005
NDRG1	D87953	N-Myc downstream-regulated gene 1	2.7	< .0001
PIM1	M16750	pim-1 oncogene	64.1	0.0008
ALOX5AP	M63262	Arachidonate 5-lipoxygenase-activating protein	2.5	0.01
PLEK	X07743	Pleckstrin	2.2	< .0001
CEBPA	U34070	CCAAT/enhancer binding protein (C/EBP), alpha	117.2	0.02
DIF2	S81914	Differentiation-dependent gene 2; immediate-early response 3 (IER3)	446.2	0.004
CEBPE	U48865	CCAAT/enhancer binding protein (C/EBP), epsilon	296.3	0.03
CD38	D84276	CD38 antigen (p45)	140.6	0.002
RARG	L12060	Retinoic acid receptor gamma	166.5	0.03
CD100	U60800	Leukocyte activation antigen CD 100; Semaphorin 4D (SEMA4D)	134.9	0.1
TNFAIP2	M92357	Tumor necrosis factor alpha-induced protein 2; B94	144.8	0.002
NCF1	M55067	Neutrophil cytosolic factor 1 (47 kDa)	18	0.004
NFIL6	HG3494-HT3688	Nuclear factor, NF-IL6 (C/EBP beta)	25.4	< .0001
PIM1	M16750	pim-1 oncogene	385.6	0.002
ID1	HG3342-HT3519	ID1	15.6	0.005
SLC2A5	M55531	Solute carrier family 2 (facilitated glucose transporter), member 5	6.9	0.0001
SPI1	X52056	Spleen focus-forming virus (SFFV) proviral integration oncogene spi1	8.6	0.0007
SLA	D89077	Src-like adaptor protein	5	0.001
