Affymetrix probe set ID	Gene symbol	Fold changeb	Chromosome	Description	Function
215719_x_at	TNFRSF6	4.03	10q24.1	Tumor necrosis factor receptor superfamily	Apoptosis
202284_s_at	CDKN1A	3.91	6p21.2	Cyclin-dependent kinase inhibitor 1A	Apoptosis
211078_s_at	STK3	3.73	8q22.2	Serine/threonine kinase 3	Apoptosis
201109_s_at	THBS1	18.68	15q15	Thrombospondin 1	Cell adhesion
207315_at	CD226	15.26	18q22.3	CD226 antigen	Cell adhesion
219738_s_at	PCDH9	3.36	13q14.3-q21.1	Protocadherin 9	Cell adhesion
207717_s_at	PKP2	?5.18	12p11	Plakophilin 2	Cell adhesion
206830_at	SLC4A10	6.54	2q23-q24	Solute carrier family 4,	Transcription regulation
203081_at	CTNNBIP1	4.53	1p36.22	Catenin, ? interacting protein 1	Transcription regulation
214009_at	MSL3L1	3.62	Xp22.3	Male-specific lethal 3-like 1 (Drosophila)	Transcription regulation
204349_at	CRSP9	3.44	5q33.3	Cofactor required for Sp1 transcriptional activation	Transcription regulation
205092_x_at	ZBTB1	3.28	14q23.3	Zinc finger and BTB domain containing 1	Transcription regulation
206644_at	NR0B1	?3.02	Xp21.3-p21.2	Nuclear receptor subfamily 0, group B, member 1	Transcription regulation
206543_at	SMARCA2	?3.42	9p22.3	Actin-dependent regulator of chromatin	Transcription regulation
206035_at	REL	?4.65	2p13-p12	V-rel reticuloendotheliosis viral oncogene homolog	Transcription regulation
220844_at	TCEB3L	?5.46	18q21.1	Transcription elongation factor (SIII) elongin A2	Transcription regulation
205688_at	TFAP4	?7.63	16p13	Transcription factor AP-4	Transcription regulation
214586_at	GPR37	6.97	7q31	G protein-coupled receptor 37	Signal transduction
206584_at	LY96	4.02	8q13.3	Lymphocyte antigen 96	Signal transduction
205280_at	GLRB	3.35	4q31.3	Glycine receptor, ?	Signal transduction
207859_s_at	CHRNB3	?3.32	8p11.2	Cholinergic receptor, nicotinic, ?polypeptide 3	Signal transduction
219898_at	GPR85	?3.56	7q31	G protein-coupled receptor 85	Signal transduction
215669_at	HLA-DRB3	?7.84	6p21.3	MHC, class II	Signal transduction
209920_at	BMPR2	?14.12	2q33-q34	Bone morphogenetic protein receptor, type II	Signal transduction
207714_s_at	SERPINH1	82.78	11	Heat shock protein 47	Heat shock response
200799_at	HSPA1A	10.94	6p21.3	Heat shock 70kDa protein 1A	Heat shock response
220791_x_at	SCN11A	4	3p24-p21	Sodium channel, voltage-gated, type XI, ?	Transport
212907_at	SLC30A1	3.37	1q32-q41	Solute carrier family 30, member 1	Transport
207928_s_at	GLRA3	?3.41	4q33-q34	Glycine receptor, ?3	Transport
214337_at	COPA	?3.47	1q23-q25	Coatomer protein complex, subunit ?	Transport
206513_at	AIM2	7.43	1q22	Absent in melanoma 2	Immune response
200904_at	HLA-E	4.11	6p21.3	MHC, class I, E	Immune response
202490_at	IKBKAP	3.32	9q34	Inhibitor of ? light polypeptide gene enhancer	Immune response
215669_at	HLA-DRB3	?7.84	6p21.3	MHC, class II	Immune response
210579_s_at	TRIM10	12.8	6p21.3	Tripartite motif-containing 10	Organogenesis
210427_x_at	ANXA2	7.31	15q21-q22	Annexin A2	Organogenesis
219532_at	ELOVL4	5.83	6q14	Elongation of very long chain fatty acids-like 4	Metabolism
207813_s_at	FDXR	3.12	17q24-q25	Ferredoxin reductase	Metabolism
207252_at	UBE1	?3	Xp11.23	Ubiquitin-activating enzyme E1	Metabolism
202015_x_at	METAP2	?13.01	12q23.1	Methionyl aminopeptidase 2	Metabolism
219454_at	EGFL6	4.12	Xp22	EGF-like-domain, multiple 6	Miscellaneous genes
213397_x_at	RNASE4	3.73	14q11.1	Ribonuclease, RNase A family, 4	Miscellaneous genes
38691_s_at	SFTPC	?3.19	8p21	Surfactant, pulmonary-associated protein C	Miscellaneous genes
215704_at	FLG	?5.85	1q21	Filaggrin	Miscellaneous genes
