Ratio.7 vs 0	Map	Gene	Description
12.4	7p21.2	TWIST	Twist homologue (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)
3.26	7q21.3-q22.1	NPTX2	Neuronal pentraxin II
3.15	7q32.3	SMO	Smoothened homologue (Drosophila)
3.14	7q21	GNAI1	“Guanine nucleotide binding protein (G protein), ? inhibiting activity polypeptide 1”
3.13	7q21.3-q22.1	NPTX2	Neuronal pentraxin II
2.98	7q22	TRIP6	Thyroid hormone receptor interactor 6
2.93	7p12	GBAS	Glioblastoma amplified sequence
2.69	7q36.1	RARRES2	Retinoic acid receptor responder (tazarotene induced) 2
2.56	7q22	PCOLCE	Procollagen C-endopeptidase enhancer
2.41	7q21.3	ASNS	Asparagine synthetase
2.4	7q21	STEAP	Six transmembrane epithelial antigen of the prostate
2.37	7q31.1	CAV2	Caveolin 2
2.27	7q11.23	PMS2L9	Postmeiotic segregation increased 2-like 9
2.26	7q11.23	PTPN12	“Protein tyrosine phosphatase, nonreceptor type 12”
2.25	7p13-p12	HUS1	HUS1 checkpoint homologue (Schizosaccharomyces pombe)
2.25	7q11.23	BCL7B	B-cell CLL/lymphoma 7B
2.17	7q31.1	HBP1	HMG-box containing protein 1
2.13	7q31.1	ZNF277	Zinc finger protein (C2H2 type) 277
2.13	7q21.3-q22	SERPINE1	“Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1”
2.12	7p14-cen	BLVRA	Biliverdin reductase A
2.1	7q21	STEAP2	Six transmembrane epithelial antigen of prostate 2
2.1	7q36.3	KIAA0010	Ubiquitin-protein isopeptide ligase (E3)
2.09	7p12.3	LOC285958	Hypothetical protein LOC285958
2.08	7q11.23	MK-STYX	MAP kinase phosphatase-like protein MK-STYX
2.08	7q21.3-q22.1	DSS1	Deleted in split-hand/split-foot 1 region
2.06	7q36	INSIG1	Insulin-induced gene 1
2.05	7q32	IRF5	IFN regulatory factor 5
2.04	7q21-q22	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9
2.03	7p22.2	LOC221955	KCCR13L
2.02	7p22	LFNG	Lunatic fringe homologue (Drosophila)
2.02	7p12.1	COBL	KIAA0633 protein
2	7p22.3	EIF3S9	“Eukaryotic translation initiation factor 3, subunit 9 ?, 116kDa”
0.44	7p14	B1	PTH-responsive osteosarcoma B1 protein
0.46	7q11.23	NCF1	“Neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)”
0.49	7q21.12	MGC26647	Hypothetical protein MGC26647
