Probe set ID	Control cells	 Oligomycin 	Doxorubicin	Doxorubicin + oligomycin	Etoposide	Etoposide + oligomycin	Gene	 Function/pathway 
202284_s_at	14	8	196	18	203	4.70E+01	p21	Inhibitor of cyclin-dependent kinase activity, p53-target35 
203725_at	30	41	202	185	324	249	GADD45A	GADD family members; stress and DNA damage response, p53 targets37 
218346_s_at	112	73	384	175	412	2.47E+02	PA26	GADD family members; stress and DNA damage response, p53 targets37 
205780_at	110	136	435	159	479	1.60E+02	BIK	Proapoptotic BH-3 only protein; p53 target39 
208478_s_at	54	68	91	55	117	5.50E+01	BAX	Proapoptotic p53 target39 
207813_s_at	60	58	326	153	321	1.32E+02	FDXR	Ferredoxin reductase, electron transport chain, p53 target36 
203409_at	168	273	593	310	816	532	DDB2	DNA damage-binding protein; DNA repair, p53 target37 
201739_at	20	83	117	237	50	4.47E+02	SGK	Kinase activity; glucose metabolism, transcriptionally repressed by p5340 
201694_s_at	90	404	58	207	86	314	EGR1	Transcription factor; early stress response, transcriptionally repressed by p5341
201631_s_at	105	62	1543	602	783	5.52E+02	IER3 / PRG1	Early stress response; p53 and NF B/rel target73 
201502_s_at	479	453	1974	2064	718	1666	IKBA	NF?B inhibitor, NF?B target42 
202871_at	82	102	263	260	258	338	TRAF4	TNF receptor-associated factor; NF-?B survival signaling43 
209795_at	87	305	311	489	144	618	CD69	Signal transmitting receptor, NF?B-target42 
202672_s_at	97	825	642	1113	601	1504	ATF3	Transcription factor; stress response46 
218145_at	74	327	70	296	77	349	TRB3	Regulator of glucose homeostasis44 
209822_s_at	36	232	34	243	39	238	VLDLR	Lipoprotein receptor, fatty acid metabolism44 
212501_at	225	1713	312	2171	243	1629	CEBPb	Transcription factor, regulator of energy homeostasis45 
202581_s_at	202	63	233	90	118	55	HSP70B	Heat-shock protein 
203478_at	1403	745	1294	667	1312	692	NDUFC1	NADH dehydrogenase, subunit C1
201746_at	572	491	443	473	456	519	p53	Tumor suppressor; proapoptotic cellular stress response
