Alteration	Difference	Gene	Locus	P-value
Gain	Well > Un	PRKCZ	1p36.33	0.026
Gain		TGFBR3	1p22.1	0.026
Gain	Un > Well	MCL1	1q21.3	0.039
Gain		AF1Q	1q21.3	0.049
Gain		BRAL1	1q23.1	0.049
Gain		PRCC	1q23.1	0.016
Gain		NTRK1	1q23.1	0.049
Gain		KISS1	1q32.1	0.026
Gain		PCTK3	1q32.1	0.029
Gain		TP53BP2	1q42.11	0.026
Gain		ABCB10	1q42.13	0.029
Gain	Un > Well	EGFR	7p11.2	0.042
Gain		ELN	7q11.23	0.042
Gain		MUC3A	7q22.1	0.049
Gain		MET	7q31.2	0.039
Gain	Well > Un	MYH11	16p13.11	0.026
Gain		LRP	16p11.2	0.026
Gain	Well > Un	PCNA	20p12.3	0.003
Gain		PYGB	20p11.21	0.003
Gain		BCL2L1 (BCLX)	20q11.21	0.039
Gain		HCK	20q11.21	0.039
Gain		PLUNC (LUNX)	20q11.21	0.039
Gain		E2F1	20q11.22	0.039
Gain		TGIF2	20q11.23	0.049
Gain		TNFRSF5	20q13.12	0.026
Gain		ELMO2	20q13.12	0.026
Gain		NCOA3 (AIB1)	20q13.12	0.039
Gain		NCOA3	20q13.12	0.026
Gain		PRex1	20q13.13	0.026
Gain		STK6 (BTAK)	20q13.31	0.026
Gain		TFAP2C	20q13.31	0.049
Gain	Well > Un	BCR	22q11.23	0.026
Gain		CABIN1 (KIAA0330)	22q11.23	0.026
Gain	Un > Well	SSX1	Xp11.23	0.042
Gain		AR	Xq12	0.035
Gain		MLLT7	Xq13.1	0.039
Gain		ABCB7	Xq13.3	0.049
Loss	Well > Un	D8S504	8p23.3	0.01
Loss		ANGPT	8p23.1	0.013
Loss		DLC1	8p22	0.01
Loss		N33	8p22	0.004
Loss		NAT1 (AAC1)	8p22	0.00041
Loss		NAT2	8p22	0.00041
Loss		LPL	8p21.3	0.003
Loss		LZTS1	8p21.3	0.01
Loss		TNFRSF10B	8p21.2	0.005
Loss		NKX3-1 (NKX3A)	8p21.2	0.005
Loss		NRG1	8p12	0.013
Loss	Well > Un	BMI1	10p12.2	0.007
Loss		PCDH15	10q21.1	0.026
Loss	Well > Un	SERPINB5 (PI5)	18q21.33	0.042
Loss		CTDP1	18q23	0.039
