GeneBank	Gene symbol
U78027	GLA
L12350	THBS2
U07736	NQO2
AI201243	HKE2
AF038844	DUSP14
AA675900	FNBP3
AF003837	JAG1
U78190	GCHFR
AB028944	ATP11A
W26480	FADS1
X81006	TRIM31
Z82244	HMOX1
AB014537	ZBED4
M97935	STAT1
U76702	FSTL3
AB016194	ELK1
AA203487	STK17B
AB002354	KIAA0356
AL022318	APOBEC3B
J03824	UROS
J03060	GBA
AL050374	DKFZP586C1619
AC_004144	DKFZP434J046
X14787	THBS1
L11373	PCDHGC3
Y17829	HOMER1
X52730	PNMT
D49354	PPFIA1
AB018293	MICAL2
U91329	KIF1C
AF064084	ICMT
L07807	DNM1
W28438	C14orf78
Y10936	20D7-FC4
AF084481	WFS1
U08998	TARBP2
U60205	SC4MOL
AI553878	SARA1
AF091890	RE2
AL041124	PP1665
D79988	KNTC1
X96484	DGCR6
D12620	CYP4F3
Y08200	RABGGTA
AB014554	PPFIA3
U60644	PLD3
L05144	PCK1
S76638	NFKB2
W26631	MAP1A
AB006628	KIAA0290
X12433	ABHD2
X56777	ZP3
L40388	TRIP15
W26324	SLC6A8
M14949	RRAS
M14764	NGFR
Z19574	KRT17
AJ012590	H6PD
AF062739	FRAT2
M31932	FCGR2A
L35240	ENIGMA
AB001928	CTSL2
AB029343	C6orf18
U78722	ZNF165
AL021683	SCO2
U93181	SBF1
AL049654	PRKCABP
Z15008	LAMC2
U79266	HSU79266
AJ012737	FLNC
M97815	CRABP2
AL109702	LOC342236
M15205	TK1
U40434	MSLN
AF070071	MSH5
M64925	MPP1
AI885381	MGC2650
D89078	LTB4R
AF053356	GNB2
AF045581	BAP1
M12174	ARHB
AL050196	USP49
AF038897	STX16
AA418080	LRRC15
U66684	ABCC10
U25988	PSG11
D89377	MSX2
W28504	KIAA0601
M91196	ICSBP1
Z71929	FGFR2
L08599	CDH1
X63422	ATP5D
AF007157	PRNPIP
X07820	MMP10
M77481	MAGEA1
X66435	HMGCS1
D87673	FBXL8
U68186	ECM1
U34584	BIK
L22475	BAX
L37792	STX1A
U69563	RHO6
Z78388	NP25
U10694	MAGEA9
U27193	DUSP8
U02388	CYP4F2
U87459	CTAG1
AF109401	ARTN
X02162	APOA1
J03258	VDR
U66619	SMARCD3
U71364	SERPINB9
M34182	PRKACG
U38980	PMS2L5
U10688	MAGEA4
AF061193	ED1
L11329	DUSP2
AF039397	CRYM
L22005	CDC34
AL096740	UBE3B
M11507	TFRC
X75315	RNPC1
AB028974	PEG10
L02867	HUMPPA
U34038	F2RL1
U82987	BBC3
Z71460	ATP6V0A1
Z29331	UBE2H
M19309	TNNT1
D31764	SNX17
X59618	RRM2
AB007918	KIAA0449
AF052432	KATNB1
X90908	FABP6
AB020315	DKK1
U48213	DBP
J04948	ALPPL2
M21302	SPRR2B
AF010310	PRODH
Z54367	PLEC1
AB023211	PADI2
X70991	NAB2
AB014545	KIAA0645
U06088	GALNS
AC_005787	FZR1
U60062	FEZ1
U31875	DHRS2
Y00630	SERPINB2
AF071476	RGS9
AF007134	MAPK8IP1
AF090102	KIAA1155
AL009179	HIST1H3H
AL022314	FLJ12242
U43916	EMP1
D87468	ARC
M37984	TNNC1
S72043	MT3
X03656	CSF3
X83703	CARP
