Name	Symbol	Day 7 Unsorted	Day 17 Unsorted	2.3GFPneg	2.3GFPpos
Small inducible cytokine A7	Ccl7	5,698	1,182	1,367	530
CRABP, cellular retinoic acid binding protein	Crabp1	3,658	646	843	189
Cysteine-rich protein 2	Csrp2	10,325	4,480	6,769	1,128
Fibulin 2	Fbln2	40,148	13,938	9,868	1,901
GADD45 protein	Gadd45a	6,661	2,358	1,805	714
Interleukin 1 receptor-like 1	Il1rl1	1,162	211	322	109
Inhibin beta-B	Inhbb	971	258	120	23
Matrix metalloproteinase 3	Mmp3	5,563	1,012	865	223
Homeo box, msh-like 2	Msx2	4,091	563	739	126
Necdin	Ndn	5,880	2,620	3,054	953
P53 apoptosis effector related to Pmp22	Perp	875	278	152	30
Pentaxin related gene	Ptx3	10,675	3,220	2,109	474
Transforming growth factor, beta induced	Tgfbi	4,182	1,731	1,590	528
