Unigene	Signal Log Ratio	Gene Symbol	Title
Hs.444340	-5	API5	apoptosis inhibitor 5
Hs.406492	-4.9	KIAA0738	KIAA0738 gene product
Hs.75196	-4.7	BAT8	HLA-B associated transcript 8
Hs.402697	-4.6	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3
Hs.448979	-4.5	SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
Hs.95631	-4.5	MGC21654	unknown MGC21654 product
Hs.108614	-4.3	CLASP2	cytoplasmic linker associated protein 2
Hs.323346	-4.3	DIS3	mitotic control protein dis3 homolog
Hs.8086	-4.2	RNMT	RNA (guanine-7-) methyltransferase
Hs.133089	-4.2	DFFB	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
Hs.36927	-4	HSPH1	heat shock 105kDa/110kDa protein 1
Hs.1540	-3.9	THOC1	THO complex 1
Hs.5057	-3.8	CPD	carboxypeptidase D
Hs.396643	-3.8	ARHGAP12	Rho GTPase activating protein 12
Hs.54089	-3.7	BARD1	BRCA1 associated RING domain 1
Hs.80338	-3.7	BTF	Bcl-2-associated transcription factor
Hs.170114	-3.5	POP1	processing of precursors 1
Hs.55777	-3.5	FCMD	Fukuyama type congenital muscular dystrophy (fukutin)
Hs.89306	-3.4	FLJ20105	hypothetical protein FLJ20105
Hs.396404	-3.4	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
Hs.289007	-3.4	FLJ10803	hypothetical protein FLJ10803
Hs.17908	-3.3	ORC1L	origin recognition complex, subunit 1-like (yeast)
Hs.151202	-3.3	RB1CC1	RB1-inducible coiled-coil 1
Hs.66718	-3.3	RAD54L	RAD54-like (S. cerevisiae)
Hs.339	-3.3	P2RY2	purinergic receptor P2Y, G-protein coupled, 2
Hs.89497	-3.3	LMNB1	lamin B1
Hs.26837	-3.2	---	Homo sapiens mRNA; cDNA DKFZp586K1123 (fromclone DKFZp586K1123)
Hs.440320	-3.2	CUL5	cullin 5
Hs.380994	-3.1	RBBP1	retinoblastoma binding protein 1
Hs.87491	-3.1	TYMS	thymidylate synthetase
Hs.192182	-3	SYK	spleen tyrosine kinase
Hs.200016	-3	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11
Hs.54617	-2.9	FLJ20060	hypothetical protein FLJ20060
Hs.77502	-2.8	MAT2A	methionine adenosyltransferase II, alpha
Hs.440478	-2.8	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
Hs.83765	-2.8	DHFR	dihydrofolate reductase
Hs.103982	-2.7	CXCL11	chemokine (C-X-C motif) ligand 11
Hs.2534	-2.7	BMPR1A	bone morphogenetic protein receptor, type IA
Hs.511992	-2.7	STAU2	staufen, RNA binding protein, homolog 2 (Drosophila)
Hs.448979	-2.7	SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3
Hs.180414	-2.7	HSPA8	heat shock 70kDa protein 8
Hs.74034	-2.6	CAV1	caveolin 1, caveolae protein, 22kDa
Hs.363492	-2.6	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
Hs.167741	-2.5	BTN3A3	butyrophilin, subfamily 3, member A3
Hs.78996	-2.5	PCNA	proliferating cell nuclear antigen
Hs.389539	-2.5	MDA5	melanoma differentiation associated protein-5
