Accession	Symbol	Description	P-value
H63241	USP24	Ubiquitin-specific protease 24	2.25E-10
 R91573	SOS1	Son of sevenless homolog 1 (Drosophila)	3.91E-10
 AI049504	BAZ2B	Bromodomain adjacent to zinc-finger domain, 2B	4.69E-10
 H04202	KIAA0635	Centrosomal protein 4	5.01E-10
 AI050031	PUM2	Vacuolar protein sorting 35 (yeast)	6.18E-10
 AI061229	CENTB2	Centaurin, beta 2	7.37E-10
 AI127075	ARF4	ADP-ribosylation factor 4	7.52E-10
 H90688	MLL3	B melanoma antigen family, member 4	7.61E-10
 AI299294	PPP1R8	Protein phosphatase 1, regulatory (inhibitor) subunit 8	9.89E-10
 AA464550	SPCS1	Signal peptidase complex subunit 1 homolog (S. cerevisiae)	1.13E-09
 H91476	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	1.84E-09
 AI189495	MGC4093	Hypothetical protein MGC4093	1.90E-09
 N69574	GPHN	Gephyrin	3.25E-09
 H04826	ASH1L	Ash1 (absent, small, or homeotic)-like (Drosophila)	3.66E-09
 AA680099	AKT2	V-akt murine thymoma viral oncogene homolog 2	4.83E-09
