Affy ID	Gene	3 weeks	4 months	Functional category	Function
102094_f_at	Gstm1: glutathione S-transferase, mu 1	2.1	2.6	Stress response	Detoxification/antioxidant/reducing proteins
96085_at	Gsta4: glutathione S-transferase, alpha 4	2	2.2	Stress response	Detoxification/antioxidant/reducing proteins
94351_r_at	Nqo1: NAD(P)H dehydrogenase, quinone 1	1.7	3.8	Stress response	Detoxification/antioxidant/reducing proteins
162308_f_at	Cryab: crystallin, alpha B	1.7	2.3	Stress response	Detoxification/antioxidant/reducing proteins
92562_at	Nfe2l2: nuclear factor erythroid derived 2, like 2; Nrf2	1.6	2.3	Stress response	Detoxification/antioxidant/reducing proteins
93573_at	Mt1: metallothionein 1	2	1.6	Stress response	Detoxification/antioxidant/reducing proteins
160479_at	Cat: catalase	1.5	1.5	Stress response	Detoxification/antioxidant/reducing proteins
101676_at	Gpx3: glutathione peroxidase 3	1.7	2.4	Stress response	Detoxification/antioxidant/reducing proteins
160646_at	Gsr: glutathione reductase 1		1.5	Stress response	Detoxification/antioxidant/reducing proteins
99985_at	Txnrd1: thioredoxin reductase 1	1.8	2.2	Stress response	Detoxification/antioxidant/reducing proteins
100332_s_at	Prdx6: peroxiredoxin 6	2	3	Stress response	Detoxification/antioxidant/reducing proteins
160335_at	Gclm: glutamate-cysteine ligase, modifier subunit	1.5	1.7	Stress response	Detoxification/antioxidant/reducing proteins
95066_at	Taldo1: transaldolase 1	1.3	2	Stress response	NADPH metabolism
101294_g_at	G6pd2: glucose-6-phosphate dehydrogenase 2		1.6	Stress response	NADPH metabolism
92851_at	Cp: ceruloplasmin	5	11.7	Stress response	Iron homeostasis
99872_s_at	Ftl1: ferritin light chain 1	1.3	1.9	Stress response	Iron homeostasis
94794_at	Fth: ferritin heavy chain	1.4	1.8	Stress response	Iron homeostasis
160564_at	Lcn2: Lipocalin 2	10.8	11.9	Stress response	Iron homeostasis
102736_at	Ccl2: chemokine (C-C motif) ligand 2, (Scya 2, Mcp1)	50.1	87.6	Immune response	Cytokines and receptors
92459_at	Ccl8: chemokine (C-C motif) ligand 8, (Scya 8, Mcp2)		16.2	Immune response	Cytokines and receptors
98406_at	Ccl5: chemokine (C-C motif) ligand 5, (Scya 5, Rantes)		12	Immune response	Cytokines and receptors
99413_at	Ccr1: chemokine (C-C motif) receptor 1, MIP1alpha receptor		8.8	Immune response	Cytokines and receptors
161968_f_at	Ccr5: chemokine (C-C motif) receptor 5	2.6	4.2	Immune response	Cytokines and receptors
104354_at	Csf1r: colony stimulating factor 1 receptor	1.9	4.6	Immune response	Cytokines and receptors
102255_at	Osmr: oncostatin receptor	3.5	10.7	Immune response	Cytokines and receptors
92793_at	Tnfrsf1a: TNF receptor superfamily, member 1a	1.5	2.8	Immune response	Cytokines and receptors
101918_at	Tgfb1: transforming growth factor, beta 1		2.1	Immune response	Cytokines and receptors
98562_at	C1qa: complement component 1, q subcomponent, a	2.6	8.9	Immune response	Complement/acute phase response
93497_at	C3: complement component 3	2.2	8.7	Immune response	Complement/acute phase response
99071_at	Mpeg1: macrophage expressed gene 1; Mpg1		2.9	Immune response	Complement/acute phase response
92731_at	Ptx3: pentaxin related gene (TSG-14)	4.1	5.4	Immune response	Complement/acute phase response
95597_at	Ptgs1: prostaglandin-endoperoxide synthase 1,Cox1		2.9	Immune response	Complement/acute phase response
92401_at	Ltc4s: leukotriene C4 synthase		2.4	Immune response	Complement/acute phase response
98828_at	Itgam: integrin alpha M, (Mac1, CD11b)		13.3	Immune response	Adhesion
102353_at	Itgb2: integrin beta 2 (Mac1 CD18)		11.9	Immune response	Adhesion
95706_at	Lgals3: lectin,galactose binding, soluble3(Mac2,Galectin-3)		16.4	Immune response	Adhesion
97519_at	Spp1: Secreted phosphoprotein 1 (osteopontin)		5.2	Immune response	Adhesion
103016_s_at	Cd68: CD68 antigen, macrosialin		5.8	Immune response	Adhesion
160894_at	Cebpd: CCAAT/enhancer binding protein (C/EBP), delta	3.1	7.6	Immune response	Signal transduction/transcription regulation
92925_at	Cebpb:CCAAT/enhancer binding protein (C/EBP), beta	1.9	3.5	Immune response	Signal transduction/transcription regulation
101048_at	Ptprc: protein tyrosine phosphatase receptor CD45		19	Immune response	Signal transduction/transcription regulation
99799_at	Vav: vav oncogene		9	Immune response	Signal transduction/transcription regulation
99509_s_at	Jak3: Janus kinase 3		2.3	Immune response	Signal transduction/transcription regulation
94331_at	Stat6: signal transducer and activator of transcription 6		2.3	Immune response	Signal transduction/transcription regulation
92232_at	Socs3: suppressor of cytokine signaling 3		12	Immune response	Signal transduction/transcription regulation
103549_at	Nes: nestin	1.9	4.3	Immune response	Cytoskeletal
94144_g_at	Gfap: glial fibrillary acidic protein	1.7	4.2	Immune response	Cytoskeletal
161329_f_at	Cappb1: capping protein beta 1	2.4	3.9	Immune response	Cytoskeletal
160106_at	Capg: capping protein (actin filament), gelsolin-like		6.9	Immune response	Cytoskeletal
93750_at	Gsn: gelsolin		2.1	Immune response	Cytoskeletal
92346_at	Nef3: neurofilament 3, medium		?2.6	Immune response	Cytoskeletal
102307_at	Dcx: doublecortin		?2.0	Immune response	Cytoskeletal
161612_f_at	Tubb3: tubulin, beta 3		?1.6	Immune response	Cytoskeletal
97760_at	Mtap2: microtubule-associated protein 2 (MAP2)		?1.8	Immune response	Cytoskeletal
102742_g_at	Mapt: microtubule-associated protein tau	?1.2	?1.7	Immune response	Cytoskeletal
94335_r_at	Ina: internexin neuronal intermediate filament protein, ?		?1.7	Immune response	Cytoskeletal
101629_s_at	Stx1b2: syntaxin 1B2		?2.0	Immune response	Vesicular trafficking
93005_at	Syt1: synaptotagmin 1		?1.6	Immune response	Vesicular trafficking
98925_at	Vamp2: vesicle-associated membrane protein 2		?1.6	Immune response	Vesicular trafficking
101198_at	Cplx1: complexin 1		?1.6	Immune response	Vesicular trafficking
100047_at	Snap25: synaptosomal-associated protein 25		?1.5	Immune response	Vesicular trafficking
160181_at	Syp: synaptophysin		?1.5	Immune response	Vesicular trafficking
101215_at	Gabra2: GABA-A receptor, subunit alpha 2		?1.8	Immune response	Neurotransmission
99342_at	Gabrd: GABA-A receptor, subunit delta		?4.9	Immune response	Neurotransmission
161059_at	Gabt1: GABA-A transporter 1		?1.7	Immune response	Neurotransmission
103061_at	Gad1: glutamic acid decarboxylase 1 (GAD67)		?1.5	Immune response	Neurotransmission
92899_at	Gad2: glutamic acid decarboxylase 2 (GAD65)		?1.6	Immune response	Neurotransmission
92943_at	Gria1: glutamate receptor AMPA1 (alpha 1)	?1.3	?1.6	Immune response	Neurotransmission
92945_at	Gria2: glutamate receptor AMPA2 (alpha 2)		?1.8	Immune response	Neurotransmission
104685_g_at	Grin1: glutamate receptor NMDA1 (zeta 1)		?2.0	Immune response	Neurotransmission
98394_at	Dlx1: distal-less homeobox 1		?1.6	Immune response	Neurogenesis
92332_at	Dlx2: distal-less homeobox 2		?1.7	Immune response	Neurogenesis
92930_at	Dlx5: distal-less homeobox 5		?1.6	Immune response	Neurogenesis
93615_at	Pbx3: pre B-cell leukemia transcription factor 3		?1.9	Immune response	Neurogenesis
98790_s_at	Meis1: myeloid ecotropic viral integration site 1		?1.8	Immune response	Neurogenesis
92271_at	Pax6: paired box gene 6		?1.4	Immune response	Neurogenesis
99045_at	Eno2: enolase 2, gamma neuronal		?1.5	Immune response	Neurogenesis
99407_at	Omp: olfactory marker protein		1.5	Immune response	Neurogenesis
102571_at	Gjb6: gap junction protein beta 6 (connexin-30)	?1.4	?1.8	Immune response	Channels/ion transporters
98423_at	Gjb2: gap junction protein beta 2 (connexin-26)	?1.3	?1.3	Immune response	Channels/ion transporters
104460_at	Cacna1g: calcium channel, voltage-dependent, alpha 1G		?2.1	Immune response	Channels/ion transporters
98483_at	Cacnb3: calcium channel, voltage-dependent, beta 3		?1.6	Immune response	Channels/ion transporters
99524_at	Slc8a1:solute carrier family8 (Na/Ca exchanger), member 1		?1.5	Immune response	Channels/ion transporters
102653_at	Ryr2: ryanodine receptor 2, cardiac		?1.6	Immune response	Channels/ion transporters
95324_at	Atp2b2:ATPase,Ca transport, plasma membrane2, PCMA2		?1.7	Immune response	Channels/ion transporters
99570_s_at	Atp2a2:ATPase,Ca transport,cardiac muscle 2, SERCA2		?1.6	Immune response	Channels/ion transporters
92802_s_at	Plp: proteolipid protein (myelin)	?1.4	1.4	Immune response	Myelination
100566_at	Igfbp5: insulin-like growth factor binding protein 5	?1.4	2	Immune response	Myelination
102395_at	Pmp22: peripheral myelin protein, 22 kDa (gas-3)	1.4	3.7	Immune response	Myelination
100435_at	Edg2: endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2		1.8	Immune response	Myelination
95079_at	Pdgfra: platelet-derived growth factor receptor, alpha		1.6	Immune response	Myelination
102405_at	Mag: myelin-associated glycoprotein		1.6	Immune response	Myelination
95096_at	Qk: quaking		?1.3	Immune response	Myelination
