Fold difference of geometric means	Parametric P	UG cluster	Gene symbol
171	1.00E-07	Hs.1872	PEPCK1(23)
26.6	1.00E-07	Hs.270833	AREG(24)
16.6	1.00E-07	Hs.377028	GPI-anch/C4.4A
13.6	1.00E-07	Hs.2258	MMP10
5.2	1.00E-07	Hs.371249	PTN
5.0	1.00E-07	Hs.512234	IL-6(27,48)
3.2	1.00E-07	Hs.110571	GADD45B
6.7	2.00E-07	Hs.2785	KRT17
4.5	2.00E-07	Hs.165258	NR4A2(13,22,23)
4.6	3.00E-07	Hs.19904	CTH
8.0	8.00E-07	Hs.279522	NR4A3(13,22,23)
3.8	1.70E-06	Hs.376206	KLF4
3.5	3.00E-06	Hs.271809	GPR161
5.8	7.80E-06	Hs.159226	HAS2
3.8	9.60E-06	Hs.408767	CrstllnAB(14)
3.2	1.34E-05	Hs.550529	CARD14
4.0	1.45E-05	Hs.517617	C-MAF(22)
3.4	1.80E-05	Hs.137154	PIGA
6.4	1.89E-05	Hs.784	EBI2
5.8	2.59E-05	Hs.446683	HCGB
4.2	4.40E-05	Hs.59093	CACNB2
3.0	5.42E-05	Hs.512727	FLJ23306
3.5	6.49E-05	Hs.345139	GEM
5.8	7.63E-05	Hs.180919	ID2
4.1	9.10E-05	Hs.75765	CXCL2
4.1	0.0001109	Hs.164226	THBS1(49)
3.0	0.0002566	Hs.118695	KCNG1
3.9	0.0003176	Hs.145949	K6HF
6.9	0.0004073	Hs.296942	KRTHA4
3.1	0.0005153	Hs.516249	IL1R1(50)
3.3	0.00072	Hs.109514	RYR2
