Gene symbol	Gene name	Function	Expression
Acat1	Acetyl-coenzyme A acetyltransferase 1	Energy metabolism	Decreased genes upon SNF5 inactivation
Car5a	Carbonic anhydrase 5a, mitochondrial	Energy metabolism	Decreased genes upon SNF5 inactivation
Car8	Carbonic anhydrase 8	Energy metabolism	Decreased genes upon SNF5 inactivation
Fabp4	Fatty acid-binding protein 4, adipocyte	Energy metabolism	Decreased genes upon SNF5 inactivation
Facl2	Fatty acid coenzyme A ligase, long chain 2	Energy metabolism	Decreased genes upon SNF5 inactivation
Fbp1	Fructose bisphosphatase 1	Energy metabolism	Decreased genes upon SNF5 inactivation
G6pc	Glucose-6-phosphatase, catalytic	Energy metabolism	Decreased genes upon SNF5 inactivation
G6pt1	Glucose-6-phosphatase, transport protein 1	Energy metabolism	Decreased genes upon SNF5 inactivation
Pck1	Phosphoenolpyruvate carboxykinase 1, cytosolic	Energy metabolism	Decreased genes upon SNF5 inactivation
Pcx	Pyruvate carboxylase	Energy metabolism	Decreased genes upon SNF5 inactivation
Pfkfb1	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	Energy metabolism	Decreased genes upon SNF5 inactivation
Ppp1r3c	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	Energy metabolism	Decreased genes upon SNF5 inactivation
Abcd2	ATP-binding cassette, subfamily D (ALD), member 2	Energy metabolism	Genes not changed upon SNF5 inactivation
Fabp1	Fatty acid-binding protein 1, liver	Energy metabolism	Genes not changed upon SNF5 inactivation
Gyk	Glycerol kinase	Energy metabolism	Genes not changed upon SNF5 inactivation
Hao1	Hydroxyacid oxidase 1, liver	Energy metabolism	Genes not changed upon SNF5 inactivation
Itih4	Inter-alpha-trypsin inhibitor, heavy chain 4	Energy metabolism	Genes not changed upon SNF5 inactivation
Lcat	Lecithin cholesterol acyltransferase	Energy metabolism	Genes not changed upon SNF5 inactivation
A2m	Alpha-2-macroglobulin	Serum proteins	Genes not changed upon SNF5 inactivation
Apoa5	Apolipoprotein A-V	Serum proteins	Decreased genes upon SNF5 inactivation
Apoc4	Apolipoprotein C-IV	Serum proteins	Decreased genes upon SNF5 inactivation
C4	Complement component 4 (within H-2S)	Serum proteins	Decreased genes upon SNF5 inactivation
Crp	C-reactive protein, petaxin related	Serum proteins	Decreased genes upon SNF5 inactivation
F10	Coagulation factor X	Serum proteins	Decreased genes upon SNF5 inactivation
F11	Coagulation factor XI	Serum proteins	Decreased genes upon SNF5 inactivation
Hp	Haptoglobin	Serum proteins	Decreased genes upon SNF5 inactivation
Igfbp2	Insulin-like growth factor-binding protein 2	Serum proteins	Decreased genes upon SNF5 inactivation
Mup1	Major urinary protein 1	Serum proteins	Decreased genes upon SNF5 inactivation
Afp	Alpha fetoprotein	Serum proteins	Genes not changed upon SNF5 inactivation
C4bp	Complement component 4-binding protein	Serum proteins	Genes not changed upon SNF5 inactivation
Cfh	Complement component factor h	Serum proteins	Genes not changed upon SNF5 inactivation
Cfhl1	Complement component factor h-like 1	Serum proteins	Genes not changed upon SNF5 inactivation
Cfi	Complement component factor i	Serum proteins	Genes not changed upon SNF5 inactivation
Cpb2	Carboxypeptidase B2 (plasma)	Serum proteins	Genes not changed upon SNF5 inactivation
F13b	Coagulation factor XIII, beta subunit	Serum proteins	Genes not changed upon SNF5 inactivation
Ttr	Transthyretin	Serum proteins	Genes not changed upon SNF5 inactivation
Defb1	Defensin beta 1	Antimicrobial peptides	Decreased genes upon SNF5 inactivation
Lbp	Lipopolysaccharide-binding protein	Antimicrobial peptides	Decreased genes upon SNF5 inactivation
Pglyrp	Peptidoglycan recognition protein	Antimicrobial peptides	Decreased genes upon SNF5 inactivation
Camp	Cathelicidin antimicrobial peptide	Antimicrobial peptides	Genes not changed upon SNF5 inactivation
S100a1	S100 calcium-binding protein A1	Calcium regulation	Decreased genes upon SNF5 inactivation
Rgn	Regucalcin	Calcium regulation	Genes not changed upon SNF5 inactivation
S100a8	S100 calcium-binding protein A8 (calgranulin A)	Calcium regulation	Genes not changed upon SNF5 inactivation
S100a9	S100 calcium-binding protein A9 (calgranulin B)	Calcium regulation	Genes not changed upon SNF5 inactivation
Cldn1	Claudin 1	Cell–cell interactions	Genes not changed upon SNF5 inactivation
Cyp2c37	Cytochrome P450, family 2. subfamily c, polypeptide 37	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2c38	Cytochrome P450, family 2. subfamily c, polypeptide 38	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2c70	Cytochrome P450, family 2, subfamily c, polypeptide 70	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2d9	Cytochrome P450, family 2, subfamily d, polypeptide 9	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2d10	Cytochrome P450, family 2, subfamily d, polypeptide 10	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2d26	Cytochrome P450, family 2, subfamily d, polypeptide 26	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2e1	Cytochrome P450, family 2, subfamily e, polypeptide 1	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp3a13	Cytochrome P450, family 3, subfamily a, polypeptide 13	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp3a25	Cytochrome P450, family 3, subfamily a, polypeptide 25	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp4a10	Cytochrome P450, family 4, subfamily a, polypeptide 10	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp4a14	Cytochrome P450, family 4, subfamily a, polypeptide 14	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp4f15	Cytochrome P450, family 4, subfamily f, polypeptide 15	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp8b1	Cytochrome P450, family 8, subfamily b, polypeptide 1	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp39a1	Cytochrome P450, family 39, subfamily a, polypeptide 1	Cytochrome P450	Decreased genes upon SNF5 inactivation
Cyp2f2	Cytochrome P450, family 2, subfamily f, polypeptide 2	Cytochrome P450	Genes not changed upon SNF5 inactivation
Cyp3a11	Cytochrome P450, family 3, subfamily a, polypeptide 11	Cytochrome P450	Genes not changed upon SNF5 inactivation
Cyp3a16	Cytochrome P450, family 3, subfamily a, polypeptide 16	Cytochrome P450	Genes not changed upon SNF5 inactivation
