Functional group by gene ontology/gene name	Gene symbol	Affymetrix probe set	Ratio of post- versus pre-therapy	P	Function
Neuropeptide Y receptor Y1	NYP1R	205440_s_at	0.2	0.0002	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Reticulon 1	RTN1	203485_at	0.3	0.0021	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Amyloid ? (A4) precursor protein-binding, family B, member2	APBB2	213419_at	1.8	0.0023	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Chemokine (C-C motif) receptor 1	CCR1	205099_s_at	0.4	0.0061	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Carbamoyl-phosphate synthetase 1	CPS1	217564_s_at	0.4	0.0063	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Defensin, ? 1	DEFB1	210397_at	0.5	0.0075	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Prostaglandin E receptor 4	PTGER4	204897_at	0.6	0.0076	G-protein signaling/coupled to cyclic nucleotide second messenger/cell surface receptor僕inked signaling
Solute carrier family 27, membrane 2	SLC27A2	205768_s_at	0.4	0.0012	ATPase/GTPase activity/ATP binding/transporter activity
Alcohol dehydrogenase IB	ADH1B	209612_s_at	0.4	0.0045	ATPase/GTPase activity/ATP binding/transporter activity
Fatty acid肪inding protein 4	FABP4	203980_at	0.4	0.0049	ATPase/GTPase activity/ATP binding/transporter activity
T-cell, immune regulator 1, ATPase	TCIRG1	204158_s_at	1.7	0.0052	ATPase/GTPase activity/ATP binding/transporter activity
Sodium bicarbonate transporter-like, membrane 10	SLC4A10	206830_at	2.2	0.0065	ATPase/GTPase activity/ATP binding/transporter activity
Acyl-coenzyme A oxidase 2	ACOX2	205364_at	0.5	0.0069	ATPase/GTPase activity/ATP binding/transporter activity
RAB31, member RAS oncogene	RAB31	217764_at	0.7	0.0081	ATPase/GTPase activity/ATP binding/transporter activity
ADP-ribosylation factor-like 4	ARL4	205020_s_at	0.5	0.0069	ATPase/GTPase activity/ATP binding/transporter activity
NicotinamideN-methyltransferase	NNMT	202238_s_at	0.5	0.0015	Drug metabolism
CytochromeP450, family 1B1	CYP1B1	202437_s_at	0.6	0.0058	Drug metabolism
Syndecan 2	SDC2	212154_at	0.5	0.0048	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Spondin 1	SPON1	213993_at	1.9	0.0056	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Collagen, type VI, ? 3	COL6A3	201438_at	0.6	0.0033	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Fibronectin 1	FN1	212464_s_at	0.6	0.0035	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Vitronectin	VTN	204534_at	0.3	0.0065	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Collagen, type IV, ? 1	COL4A1	211981_at	0.3	0.0083	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Erythrocyte membrane protein band 4.1-like 3	EPB41L3	206710_at	0.4	0.0069	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Keratin 6A	KRT6A	209126_x_at	0.6	0.0071	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Keratin 17	KRT17	205157_s_at	0.5	0.008	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
IGF binding protein 4	IGFBP4	201508_at	0.5	0.0022	Cytoskeletal protein binding/extracellar matrix protein/cytoskeleton protein
Kallikrein 10	KLK10	209792_s_at	0.4	0.0023	Serine-type peptidase
Haptoglobin-related protein	HPR	208470_s_at	0.3	0.0055	Serine-type peptidase
Nexin, plasminogen activator inhibitor type 1	SERPINE1	202628_s_at	0.3	0.00749	Serine-type peptidase
Latrophilin 3	LPHN3	209866_s_at	2.1		Others
Parvalbumin	PVALB	205336_at	2.9	0.0084	Others
Caldesmon 1	CALD1	201617_x_at	0.4	0.0095	Others
Tenascin C	TNC	201645_at	0.5	0.0097	Others
Phospholipase A2, group IVA	PLA2G4A	210145_at	0.4	0.0043	Others
Disabled homologue 2, mitogen-responsive phosphoprotein	DAB2	201280_s_at	0.4	0.0046	Others
GREB 1 protein	GREB1	205862_at	0.3	0.0054	Others
Par-3 partitioning defective 3 homologue	PARD3	210094_at	0.3	0.0055	Others
SWAP-70 protein	SWAP70	209306_at	0.6	0.0083	Others
