AffyID	AverageRatio Contr/SCARKO	Gene Symbol
1423429_at	17.55	Pem
1420588_at	8.01	Spinlw1
1418655_at	7.07	Galgt1
1422830_s_at	5.61	Drd4
1419100_at	5.49	Serpina3n
1451915_at	5.09	Cct3
1420439_at	5.01	Tsx
1422829_at	4.62	Drd4
1419017_at	3.92	Lrp4
1450367_at	3.53	LOC56304
1448249_at	3.42	Gpd1
1416204_at	3.07	Gpd1
1419021_at	2.83	Mcf2
1421092_at	2.60	Serpina12
1425452_s_at	2.58	AW125753
1448956_at	2.56	Stard10
1449487_at	2.50	1700112P19Rik
1423011_at	2.46	Evi1
1417639_at	2.45	Slc22a4
1425293_a_at	2.38	1500031H04Rik
1416965_at	2.36	Pcsk1n
1451776_s_at	2.35	2300002F06Rik
1415978_at	2.34	Tubb3
1418813_at	2.33	Serpina5
1448842_at	2.30	Cdo1
1421861_at	2.25	Clstn1
1428662_a_at	2.20	2300002F06Rik
1418412_at	2.19	Tpd52l1
1425230_at	2.15	Nags-pending
1421264_at	2.13	Butr1-pending
1419705_at	2.09	Car5b
1421860_at	2.04	Clstn1
1428283_at	2.00	Cyp2s1
1420877_at	1.94	6-Sep
1426069_s_at	1.92	Slc7a4
1452445_at	1.89	A230035L05Rik
1455683_a_at	1.89	Tbc1d8
1421074_at	1.87	Cyp7b1
1434836_at	1.86	Nfatc2ip
1418723_at	1.85	Edg7
1460329_at	1.85	B4galt6
1419473_a_at	1.83	Cck
1427469_at	1.82	9630002H22Rik
1435758_at	1.79	B4galt6
1426893_at	1.78	C230093N12Rik
1418634_at	1.78	Notch1
1416996_at	1.78	Tbc1d8
1417760_at	1.77	Nr0b1
1452124_at	1.76	2900054D09Rik
1415806_at	1.76	Plat
1452298_a_at	1.75	Myo5b
1426894_s_at	1.74	C230093N12Rik
1418769_at	1.74	Myoz2
1421546_a_at	1.73	Racgap1
1426068_at	1.73	Slc7a4
1452291_at	1.71	LOC212285
1426441_at	1.70	Slc11a2
1416265_at	1.70	Capn10
1421114_a_at	1.69	Dspg3
1436819_at	1.68	6-Sep
1449014_at	1.68	Lactb
1455539_at	1.68	Gpld1
1427196_at	1.67	Prkwnk4
1438385_s_at	1.67	4631422C05Rik
1459914_at	1.66	2810402A17Rik
1418677_at	1.66	Actn3
1449152_at	1.65	Cdkn2b
1435697_a_at	1.64	Pscdbp
1416188_at	1.63	Gm2a
1427868_x_at	1.62	Myh1
1426883_at	1.62	AW491445
1419365_at	1.61	Pex11a
1434881_s_at	1.61	AW538430
1434542_at	1.61	4631422C05Rik
1424929_a_at	1.60	Trim26
1449001_at	1.60	Ivd
1417643_at	1.59	Tsga2
1416003_at	1.59	Cldn11
1424268_at	1.59	Smox
1455007_s_at	1.58	4631422C05Rik
1456481_at	1.57	D930024E11
1421498_a_at	1.57	2010204K13Rik
1460286_at	1.57	6-Sep
1431973_at	1.56	6-Sep
1451206_s_at	1.56	Pscdbp
1454622_at	1.56	C81234
1421600_a_at	1.56	Trim26
1420377_at	1.56	Siat8b
1416617_at	1.55	Acas2l
1420876_a_at	1.55	6-Sep
1419909_at	1.55	9630025B04Rik
1450627_at	1.55	ank
1427076_at	1.55	Mpeg1
1451628_a_at	1.54	Ank3
1450451_at	1.53	Spock2
1425123_at	1.53	BC025816
1451330_a_at	1.53	Inpp5b
1451257_at	1.52	Facl6
1421937_at	1.52	Dapp1
1418176_at	1.52	Vdr
1455898_x_at	1.52	---
1448710_at	1.51	Cxcr4
1417625_s_at	1.51	Cmkor1
1423904_a_at	1.50	D7Ertd458e
1428357_at	1.50	2610019F03Rik
1435517_x_at	1.50	Ralb
1422982_at	1.50	Ar
1438922_x_at	1.48	Slc25a5
1456064_at	1.48	---
1422090_a_at	1.48	Pfkfb2
1460302_at	1.48	Thbs1
1427195_at	1.48	---
1415856_at	1.48	Emb
1438360_x_at	1.48	Slc25a5
1449442_at	1.48	Pex11a
1452474_a_at	1.48	Art3
1421075_s_at	1.47	Cyp7b1
1456525_at	1.47	AA881470
1453677_a_at	1.46	1810063P04Rik
1417744_a_at	1.46	Ralb
1435448_at	1.46	Bcl2l11
1450295_s_at	1.46	Pvr
1460292_a_at	1.45	Smarca1
1423005_a_at	1.44	Espn
1423503_at	1.44	Jam3
1460190_at	1.44	Ap1m2
1425202_a_at	1.43	Ank3
1424220_a_at	1.43	Porcn
1448241_at	1.43	Gm2a
1438545_at	1.43	Slc25a5
1438546_x_at	1.42	Slc25a5
1416708_a_at	1.42	D7Bwg0611e
1418815_at	1.41	Cdh2
1418540_a_at	1.41	Ptpre
1417696_at	1.41	Soat1
1452443_s_at	1.41	9630002H22Rik
1452959_a_at	1.40	Capn10
1430542_a_at	1.40	Slc25a5
1425137_a_at	1.40	H2-Q10
1416315_at	1.39	1110035H23Rik
1449239_at	1.39	1700045I19Rik
1428105_at	1.39	2610005B21Rik
1424044_at	1.39	4732474L06Rik
1423903_at	1.39	D7Ertd458e
1421936_at	1.39	Dapp1
1449957_at	1.39	Ptprv
1450188_s_at	1.38	Lipg
1416368_at	1.38	Gsta4
1416041_at	1.38	Sgk
1428289_at	1.38	Bteb1
1426399_at	1.38	4932416A11Rik
1425468_at	1.38	Plp
1426448_at	1.38	Pja1
1455642_a_at	1.38	2210021G21Rik
1421771_a_at	1.38	Ipp
1420653_at	1.38	Tgfb1
1436234_at	1.38	4732471D19Rik
1424823_s_at	1.37	9630044O09Rik
1424181_at	1.37	6-Sep
1448923_at	1.37	Prkra
1421700_at	1.37	Tex16
1427326_at	1.37	4732471D19Rik
1427304_at	1.37	9930024E13Rik
1418366_at	1.36	Hist2h2aa1
1436848_x_at	1.36	Impa1
1416489_at	1.36	Pi4k2b-pending
1438097_at	1.36	Rab20
