probe set	Gene	Description	fold change
93860_i_at		Mus musculus, clone MGC:40664 IMAGE:5132817, mRNA	3.08
94881_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	2.59
103460_at	Ddit4	DNA-damage-inducible transcript 4	2.08
99321_at	Fert2	fer (fms/fps related) protein kinase, testis specific 2	1.69
161721_f_at	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1	1.61
102416_at	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1	1.52
93058_at	Eif1a	eukaryotic translation initiation factor 1A	1.52
104484_at	Sth2	sulfotransferase, hydroxysteroid preferring 2	1.35
99951_at	Rorc	RAR-related orphan receptor gamma	-1.38
102938_at	Lect2	leukocyte cell-derived chemotaxin 2	-1.40
104701_at	Bhlhb2	basic helix-loop-helix domain containing, class B2	-1.41
102612_at	Nrl	neural retina leucine zipper gene	-1.43
93926_at	Prlr	prolactin receptor	-1.45
100151_at	Tde1	tumor differentially expressed 1	-1.49
160915_at	B4galt3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	-1.53
161345_f_at	Cyp7b1	cytochrome P450, family 7, subfamily b, polypeptide 1	-1.64
101615_at		EST	-1.69
93178_at	Ngef	neuronal guanine nucleotide exchange factor	-1.73
104285_at	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-1.92
98590_at	Sdc4	syndecan 4	-1.97
97297_at	Pcp4l1	Purkinje cell protein 4-like 1	-2.58
160841_at	Dbp	D site albumin promoter binding protein	-2.84
