Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
206341_at	IL2RA	Chr:10p15-p14	NM_000417	9,128767	2,81583	1,377152129	cluster2
211269_s_at	IL2RA	Chr:10p15-p14	K03122	8,221282	2,72669	1,377152129	cluster2
219615_s_at	KCNK5	Chr:6p21	NM_003740	6,274087	2,26731	1,377152129	cluster2
202889_x_at	ANPEP	Chr:6q23.2	T62571	6,824091	2,28188	0,246670667	cluster3
202890_at	MAP7	Chr:6q23.2	AW242297	6,265703	2,31646	0,246670667	cluster3
203069_at	SV2A	Chr:1q21.3	NM_014849	4,747122	1,84505	0,623414702	cluster3
206341_at	IL2RA	Chr:10p15-p14	NM_000417	4,132271	1,99515	0,959274816	cluster3
215471_s_at	MAP7	Chr:6q23.2	AJ242502	6,215501	2,12207	0,246670667	cluster3
219615_s_at	KCNK5	Chr:6p21	NM_003740	5,763269	2,05393	0,246670667	cluster3
200764_s_at	CTNNA1	Chr:5q31	AI826881	-15,6668	0,24719	0,109866108	cluster4
200765_x_at	CTNNA1	Chr:5q31	NM_001903	-14,3251	0,15817	0,109866108	cluster4
201760_s_at	WSB2	Chr:12q24.23	NM_018639	-6,33656	0,45152	0,109866108	cluster4
201858_s_at	PRG1	Chr:10q22.1	J03223	-7,60381	0,29346	0,109866108	cluster4
201859_at	PRG1	Chr:10q22.1	NM_002727	-7,97266	0,4726	0,109866108	cluster4
203069_at	SV2A	Chr:1q21.3	NM_014849	4,159677	2,03388	1,866837827	cluster4
204420_at	FOSL1	Chr:11q13	BG251266	-4,51906	0,38121	0,258318211	cluster4
207001_x_at	DSIPI	Chr:xq22.3	NM_004089	-4,16468	0,43362	0,989116693	cluster4
208763_s_at	DSIPI	Chr:xq22.3	AL110191	-4,98948	0,59867	0,109866108	cluster4
209757_s_at	MYCN	Chr:2p24.1	BC002712	5,487743	3,00288	0,2241429	cluster4
210844_x_at	CTNNA1	Chr:5q31	D14705	-15,8828	0,15395	0,109866108	cluster4
213797_at	cig5	Chr:2p25.2	AI337069	4,539466	1,79379	0,392742795	cluster4
201126_s_at	MGAT1	Chr:5q35	NM_002406	11,52397	1,75528	0,007222864	cluster5
201760_s_at	WSB2	Chr:12q24.23	NM_018639	5,73976	1,5163	0,007222864	cluster5
201858_s_at	PRG1	Chr:10q22.1	J03223	5,515578	1,60312	0,007222864	cluster5
