UniGene	Gene	VT	DT	Change
Hs.130544	UNKNOWN	85	32	2.62
Hs.370410	KIAA1145	316	126	2.5
Hs.9887	UNKNOWN	174	76	2.28
Hs.27261	UNKNOWN	232	115	2.01
Hs.132591	SLC10A4	178	92	1.93
Hs.30875	LOC284033	293	169	1.74
Hs.524341	SLC2A13	224	130	1.72
Hs.479853	EPHA5	268	156	1.72
Hs.21374	UNKNOWN	182	106	1.71
Hs.464848	B4GALT6	155	92	1.69
Hs.370410	KIAA1145	226	134	1.68
Hs.517868	LRP15/LRRC3B	203	125	1.62
Hs.302130	ELOVL3/CIG30	97	61	1.59
Hs.7413	UNKNOWN	207	132	1.58
Hs.26608	C20orf100	607	391	1.56
Hs.477370	DAB1	129	83	1.56
Hs.514946	CBLN2	480	311	1.55
Hs.143434	CNTN1	406	265	1.54
Hs.388749	KCNIP4	325	215	1.51
