AffyID	Gene Name	Gene Symbol	Fold change‡	S.D†	GO Biological Process§
202627_s_at	serine (or cysteine) proteinase inhibitor	SERPINE1	24.99	20.04	blood coagulation
202628_s_at	serine (or cysteine) proteinase inhibitor	SERPINE1	24.99	20.04	blood coagulation
230861_at	DKFZP434L187 protein	DKFZP434L187	15.1	13.41	unknown
205625_s_at	calbindin 1	CALB1	11.28	6.2	unknown
203828_s_at	interleukin 32	IL32	6.47	1.3	immune response / cell adhesion
232231_at	runt-related transcription factor 2	RUNX2	6.29	1.99	ossification / transcription / regulation of transcription, DNA-dependent
205992_s_at	interleukin 15	IL15	5.31	1.98	immune response / signal transduction / cell-cell signaling / positive regulation of cell proliferation
236835_at	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	FUT8	4.75	1.95	embryonic development (sensu Mammalia) / N-glycan processing / oligosaccharide biosynthesis / L-fucose catabolism
201578_at	podocalyxin-like	PODXL	4.71	2.05	unknown
202672_s_at	activating transcription factor 3	ATF3	4.6	2.77	transcription / regulation of transcription, DNA-dependent
226869_at	Full length insert cDNA clone ZD77F06	unknown	4.44	2.81	unknown
229641_at	hypothetical protein FLJ25224	unknown	4.38	1.05	unknown
205016_at	transforming growth factor, alpha	TGFA	4.32	1.95	regulation of cell cycle / cell-cell signaling / cell proliferation
216250_s_at	leupaxin	LPXN	4.22	1.54	protein complex assembly / cell adhesion / signal transduction
242229_at	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	NAPE-PLD	4.11	1.02	unknown
228977_at	Interleukin 17D	IL17D	4.08	1.95	inflammatory response
205798_at	interleukin 7 receptor	IL7R	4.07	1.19	regulation of DNA recombination / immune response / cell surface receptor linked signal transduction / antimicrobial humoral response (sensu Vertebrata)
226218_at	interleukin 7 receptor	IL7R	4.07	1.19	regulation of DNA recombination / immune response / cell surface receptor linked signal transduction / antimicrobial humoral response (sensu Vertebrata)
1555673_at	keratin associated protein 2-1 / keratin associated protein 2-4	KRTAP2-1	4.03	2.17	unknown
1555673_at	keratin associated protein 2-1 / keratin associated protein 2-4	KRTAP2-4	4.03	2.17	unknown
212092_at	paternally expressed 10	PEG10	3.99	1.43	unknown
226142_at	GLI pathogenesis-related 1 (glioma)	GLIPR1	3.68	0.71	unknown
237411_at	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6	ADAMTS6	3.6	1.99	proteolysis and peptidolysis
202016_at	mesoderm specific transcript homolog (mouse)	MEST	3.59	1.06	mesoderm development
205809_s_at	Wiskott-Aldrich syndrome-like	WASL	3.39	1.03	protein complex assembly / cell motility / actin polymerization and/or depolymerization
203691_at	protease inhibitor 3, skin-derived	PI3	3.37	1.21	copulation
41469_at	protease inhibitor 3, skin-derived	PI3	3.37	1.21	copulation
226810_at	Chromosome 6 open reading frame 155	C6orf155	3.35	1.12	unknown
209129_at	thyroid hormone receptor interactor 6	TRIP6	3.34	1.11	unknown
240105_at	Chromosome 21 open reading frame 66	C21orf66	3.33	1.06	transcription / regulation of transcription, DNA-dependent
1555292_at	family with sequence similarity 40, member B	FAM40B	3.29	0.62	unknown
201539_s_at	four and a half LIM domains 1	FHL1	3.27	0.56	muscle development / cell growth / cell differentiation
210298_x_at	four and a half LIM domains 1	FHL1	3.27	0.56	muscle development / cell growth / cell differentiation
210299_s_at	four and a half LIM domains 1	FHL1	3.27	0.56	muscle development / cell growth / cell differentiation
214505_s_at	four and a half LIM domains 1	FHL1	3.27	0.56	muscle development / cell growth / cell differentiation
235046_at	Transcribed locus	unknown	3.27	1.11	unknown
244534_at	Zuotin related factor 1	ZRF1	3.25	0.63	protein folding / protein folding / regulation of transcription
205192_at	mitogen-activated protein kinase kinase kinase 14	MAP3K14	3.22	1.41	protein amino acid phosphorylation
232137_at	zinc finger protein 616	ZNF616	3.2	0.7	unknown
220117_at	zinc finger protein 659	ZNF659	3.15	0.72	unknown
226576_at	Rho GTPase activating protein 26	ARHGAP26	3.12	0.93	neurogenesis / actin cytoskeleton organization and biogenesis
219884_at	LIM homeobox 6	LHX6	3.1	0.74	regulation of transcription, DNA-dependent / brain development
226136_at	unknown	unknown	3.09	0.71	unknown
202145_at	lymphocyte antigen 6 complex, locus E	LY6E	3.08	0.48	defense response / cell surface receptor linked signal transduction
223500_at	complexin 1	CPLX1	3.06	1.22	neurotransmitter transport / exocytosis / synaptic transmission
227152_at	hypothetical protein FLJ10652	FLJ10652	3.01	0.77	unknown
209369_at	annexin A3	ANXA3	3.01	0.46	unknown
207826_s_at	inhibitor of DNA binding 3	ID3	2.98	0.9	development / regulation of transcription
224873_s_at	mitochondrial ribosomal protein S25	MRPS25	2.87	0.59	protein biosynthesis
217624_at	PDGFA associated protein 1	PDAP1	2.87	0.72	signal transduction / cell proliferation
243541_at	interleukin 31 receptor A	IL31RA	2.83	0.56	MAPKKK cascade / anti-apoptosis / defense response / transmembrane Receptor protein tyrosine kinase signaling pathway / JAK-STAT cascade / Positive regulation of cell proliferation / cytokine and chemokine mediated Signalling pathway
201867_s_at	transducin (beta)-like 1X-linked	TBL1X	2.79	0.65	transcription / regulation of transcription, DNA-dependent / ubiquitin cycle / signal transduction / visual perception / perception of sound
213139_at	snail homolog 2 (Drosophila)	SNAI2	2.75	0.47	negative regulation of transcription from RNA polymerase II promoter / transcription / regulation of transcription, DNA-dependent / development / ectoderm and mesoderm interaction / perception of sound
205768_s_at	solute carrier family 27 (fatty acid transporter), member 2	SLC27A2	2.74	0.45	very-long-chain fatty acid metabolism / lipid metabolism / metabolism
229194_at	polycomb group ring finger 5	PCGF5	2.71	0.64	protein ubiquitination
235331_x_at	polycomb group ring finger 5	PCGF5	2.71	0.64	protein ubiquitination
207876_s_at	filamin C, gamma (actin binding protein 280)	FLNC	2.71	0.41	unknown
210310_s_at	fibroblast growth factor 5	FGF5	2.68	0.48	regulation of cell cycle / cell-cell signaling / neurogenesis / cell proliferation / fibroblast growth factor receptor signaling pathway
210311_at	fibroblast growth factor 5	FGF5	2.68	0.48	regulation of cell cycle / cell-cell signaling / neurogenesis / cell proliferation / fibroblast growth factor receptor signaling pathway
207678_s_at	SRY (sex determining region Y)-box 30	SOX30	2.68	0.89	transcription / regulation of transcription from RNA polymerase II promoter / spermatogenesis
209254_at	KIAA0265 protein	KIAA0265	2.68	0.94	unknown
209256_s_at	KIAA0265 protein	KIAA0265	2.68	0.94	unknown
227828_s_at	hypothetical protein FLJ13391	FLJ13391	2.67	0.46	unknown
219936_s_at	G protein-coupled receptor 87	GPR87	2.67	0.52	signal transduction / G-protein coupled receptor protein signaling pathway
227340_s_at	RGM domain family, member B	RGMB	2.67	0.96	unknown
242450_at	RGM domain family, member B	RGMB	2.67	0.96	unknown
203998_s_at	synaptotagmin I	SYT1	2.66	0.54	calcium ion sensing / transport / synaptic transmission / neurotransmitter  secretion / regulation of exocytosis / protein homooligomerization
