Gene name	GenBank accession no.	5-FU treated Fold change 0 h	6 h	12 h	24 h	Constitutive dysregulation † Fold change 0 h, parental	0 h, 5-FU resistant
CD24	L33930	1.24	2.59	2.76	2.96	?1.41	1.51
LOC92345	F09493	?1.13	?2.36	?2.14	?2.93	1.61	?1.31
UI-H-BW1-amw-d-05-0-UI.s1 NCI_CGAP_Sub7 Homo sapiens cDNA clone IMAGE:3071288 3?	BF514098	?1.01	1.86	2.4	2.27	?1.10	1.86
TFDP1	AI950069	1.07	?1.86	?1.42	?2.11	1.16	?1.91
WDR4	AA577678	?1.04	?2.35	?1.64	?3.28	1.6	?1.49
MGC39616	AW023227	?1.10	?2.95	?1.80	?5.46	1.46	?2.51
FLJ32798	AI244661	1.04	?2.18	?1.32	?2.78	1.29	?2.35
602081105F1 NIH_MGC_81 Homo sapienscDNA clone IMAGE:4245577	BF693302	?1.04	?1.86	?1.16	?2.63	1.24	?2.31
FLJ10525	BE245080	?1.12	?2.04	?1.89	?2.37	1.57	?1.32
Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_060190.1 hypothetical protein FLJ20234	BF678497	1.09	?1.72	?1.30	?2.15	1.29	?1.60
C1orf33	BG107419	?1.02	?2.02	?1.91	?2.67	1.53	?1.32
LOC91801	AI590659	1.01	?1.94	?1.95	?2.28	1.55	?1.53
MAML2	AI769569	1.05	2.26	1.63	1.88	?1.51	1.82
ZNF288	AW499525	?1.06	?2.36	?1.98	?2.68	1.33	?1.55
LZ16	AK025964	1.19	3.59	3.29	3.22	?2.22	1.21
SERF2	AW953521	?1.09	?1.94	?2.16	?2.69	1.48	?1.38
EPPK1	AL137725	1.51	3.58	4.5	5.01	?1.85	1.1
602252212F1 NIH_MGC_84 Homo sapienscDNA clone IMAGE:4344603	BF791874	?1.46	?4.23	?3.45	?5.92	1.27	?1.85
Human DNA sequence from clone RP1-238D15	AL096771	?1.48	?2.88	?3.31	?3.15	2.14	?1.07
COL12A1	U73778	?1.25	?3.33	?2.89	?3.22	2.23	?1.74
SLC16A6	AI873273	1.37	3.24	2.33	2.4	?1.74	1.45
PRPS2	AI392908	?1.20	?2.89	?2.52	?2.99	1.44	?1.61
HS6ST2	AI767756	?1.05	?2.24	?1.68	?3.21	1.49	?2.12
qm59d10.x1 Soares_placenta_8to9weeks_2NbHP8to9WHomo sapiens cDNA clone IMAGE:1893043 3? similar to contains element TAR1 repetitive element; mRNA sequence.	AI277015	?1.10	?3.26	?2.48	?3.11	1.49	?1.69
ZNF367	N62196	1	?1.66	?1.25	?2.15	1.26	?1.65
n/a	AI197932	1.03	2.01	1.68	2.14	?1.28	2.25
FLJ10188	BF438440	1.22	5.41	6.44	6.82	?2.57	1.58
Homo sapiens, clone IMAGE:4151011, mRNA	AI249173	1	?2.10	?2.02	?2.59	1.29	?1.57
MGC21981	AI862120	1.23	2.65	2.46	3.14	?1.51	1.34
LOC143914	W94001	1.1	2.73	1.02	3.04	?1.06	2.58
DKFZP727G051	BE544837	?1.06	?1.83	?2.28	?2.75	1.46	?1.40
Homo sapiens partial mRNA (noncoding TFEB? gene), tumor 3	W80468	1.17	2.63	2.25	2.88	?1.69	1.27
SNTB1	AK025100	?1.04	2.05	1.31	2.59	?1.27	2.73
DNER	BF059512	1	2.57	2.13	3.37	?1.88	1.49
LOC339924	AL120021	1.2	2.51	2.73	2.78	?1.40	1.58
TP53INP1	AW341649	1.43	4.48	5.95	6.69	?2.17	1.17
COL12A1	AA788946	?1.28	?3.24	?3.51	?3.55	2.31	?1.40
KIAA0303	AI096389	1.04	2.04	1.71	2.85	?1.73	1.22
MAP2	BF342661	1.31	3.1	3.05	4.39	?1.86	1.25
yx58d01.s1 Soares melanocyte 2NbHMHomo sapiens cDNA clone IMAGE:265921	N21426	1.07	2.3	1.34	3.28	?1.05	2.11
LOC201895	BE972723	1.24	2.98	2.91	3.89	?1.66	1.2
Homo sapiens partial mRNA (noncoding TFEB? gene), tumor 3	AW005982	2.12	12.47	14.11	17.24	?5.32	1.29
Homo sapiens partial mRNA (noncoding TFEB? gene), tumor 3	BG534952	1.34	3.97	3.79	4.41	?2.19	1.37
Homo sapiens partial mRNA (noncoding TFEB? gene), tumor 3	AF132202	2.06	8.84	9.78	11.88	?4.03	1.22
TTYH2	BC004233	?1.05	?1.89	?1.73	?2.05	1.45	?1.41
FLJ10525	BC000948	?1.18	?2.30	?2.18	?2.75	1.62	?1.33
FLJ10534	AI803633	1.07	?1.65	?1.49	?2.37	1.49	?1.37
NSBP1	BC005342	1.07	1.76	1.8	2.53	?1.41	1.57
PDF	AF003934	1.26	3.04	3.38	4.18	?1.98	1.44
KIAA1641	NM_025190	1.17	2.45	2.48	2.59	?1.88	1.24
AVEN	NM_020371	?1.17	?1.89	?2.43	?3.15	1.56	?1.36
BRIX	NM_018321	?1.04	?2.08	?1.84	?2.27	1.39	?1.53
CGI-115	NM_016052	?1.06	?2.03	?2.05	?2.70	1.43	?1.43
C14orf132	NM_020215	1.16	2.16	2.39	2.52	?1.56	1.29
