Probe Set ID	Survival Association	P value	Gene	Gene Symbol
203623_at	Unfavorable	7.8E-09	likely ortholog of mouse plexin 3	PLXNA3
221249_s_at	Favorable	6.2E-08	C/EBP-induced protein	LOC81558
208711_s_at	Unfavorable	1.8E-07	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1
201998_at	Favorable	4.4E-07	sialyltransferase 1	SIAT1
203854_at	Favorable	5.3E-07	I factor (complement)	IF
217755_at	Unfavorable	6.4E-07	hematological and neurological expressed 1	HN1
208712_at	Unfavorable	8.7E-07	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1
208613_s_at	Unfavorable	1.0E-06	filamin B, beta (actin binding protein 278)	FLNB
209651_at	Unfavorable	1.5E-06	transforming growth factor beta 1 induced transcript 1	TGFB1I1
205945_at	Favorable	1.5E-06	interleukin 6 receptor	IL6R
208651_x_at	Unfavorable	1.6E-06	CD24 antigen	CD24
221591_s_at	Unfavorable	1.6E-06	hypothetical protein FLJ10156	FLJ10156
222031_at	Unfavorable	1.8E-06	hypothetical protein LOC286434	LOC286434
207761_s_at	Favorable	2.0E-06	DKFZP586A0522 protein	DKFZP586A0522
202570_s_at	Unfavorable	2.0E-06	disks large-associated protein 4	DLGAP4
202154_x_at	Unfavorable	2.4E-06	tubulin, beta, 4	TUBB4
209612_s_at	Favorable	2.5E-06	alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B
204641_at	Unfavorable	2.7E-06	NIMA (never in mitosis gene a)-related kinase 2	NEK2
201896_s_at	Unfavorable	2.8E-06	proline/serine-rich coiled-coil 1	PSRC1
203325_s_at	Unfavorable	2.9E-06	collagen, type V, alpha 1	COL5A1
203438_at	Unfavorable	3.0E-06	stanniocalcin 2	STC2
205366_s_at	Unfavorable	3.1E-06	homeo box B6	HOXB6
214906_x_at	Favorable	3.2E-06	hypothetical gene CG018	CG018
208470_s_at	Favorable	3.4E-06	haptoglobin-related protein	HPR
213288_at	Unfavorable	3.5E-06	O-acyltransferase domain containing 2	OACT2
