Probe set	Higher group	Fold change	P value	Gene	Gene Symbol
208614_s_at	worst25	2.4	7.1E-08	filamin B, beta (actin-binding protein-278)	FLNB
208613_s_at	worst25	2.2	1.5E-07	filamin B, beta (actin-binding protein-278)	FLNB
221249_s_at	best25	1.9	5.9E-07	CEBP-induced protein (LOC81558)	LOC81558
209094_at	worst25	2.3	1.1E-06	dimethylarginine dimethylaminohydrolase 1	DDAH1
208712_at	worst25	2.4	1.1E-06	cyclin D1	CCND1
206697_s_at	best25	7.3	1.6E-06	haptoglobin	HP
220137_at	worst25	1.2	1.8E-06	hypothetical protein FLJ20674	FLJ20674
208470_s_at	best25	8.6	2.0E-06	haptoglobin-related protein	HPR
208711_s_at	worst25	2.1	3.0E-06	cyclin D1	CCND1
209651_at	worst25	2.7	4.4E-06	TGF beta 1 induced transcript 1	TGFB1I1
219572_at	best25	1.8	4.4E-06	Ca2+-dependent activator protein for secretion 2	CADPS2
201998_at	best25	2.1	4.5E-06	sialyltransferase 1	SIAT1
215446_s_at	worst25	2.6	7.6E-06	lysyl oxidase	LOX
204298_s_at	worst25	3.0	8.0E-06	lysyl oxidase	LOX
203623_at	worst25	1.5	8.6E-06	likely ortholog of mouse plexin 3	PLXNA3
218586_at	worst25	1.3	9.0E-06	hypothetical protein FLJ10914	C20orf20
205167_s_at	worst25	1.3	1.0E-05	cell division cycle 25C	CDC25C
209395_at	best25	3.9	1.5E-05	chitinase 3-like 1	CHI3L1
203854_at	best25	3.6	1.5E-05	I factor (complement)	IF
208002_s_at	worst25	2.1	1.5E-05	cytosolic acyl coenzyme A thioester hydrolase	BACH
206391_at	best25	3.8	1.5E-05	retinoic acid receptor responder (tazarotene induced) 1	RARRES1
202570_s_at	worst25	1.4	1.6E-05	discs, large (Drosophila) homolog-associated protein 4	DLGAP4
217755_at	worst25	2.1	1.7E-05	hematological and neurological expressed 1	HN1
201896_s_at	worst25	1.4	1.7E-05	proline/serine-rich coiled-coil 1	PSRC1
209286_at	worst25	1.9	1.7E-05	Cdc42 effector protein 3	CDC42EP3
