Lineage	Gene Name	Gene Symbol	Function
OS	acyl-CoA synthetase long-chain family member 1	ACSL1	Lipid, fatty acid and digestion metabolism
CH	FK506 binding protein 5	FKBP5	Protein folding
AD	decorin	DCN	Organogenesis
	G protein-coupled receptor 89	GPR89	Positive regulation of I-kappaB kinase/NF-kappaB cascade
	integrin alpha 10	ITGA10	Integrin-mediated signaling pathway, cell-matrix adhesion
	metallothionein 1F	MT1F	Copper, zinc, cadmium and metal ion binding
	metallothionein 1G	MT1G	Metal ion binding
	metallothionein 1X	MT1X	Iron and metal ion binding, electron transporter
	monoamine oxidase A	MAOA	Electron transport, catecholamine metabolism, behavior neurotransmitter catabolism
	serum amyloid A1/2	SAA1 / SAA2	lipid transporter, G-protein-coupled receptor binding
	thioesterase domain containing 1	THEDC1	fatty acid biosynthesis
	zinc finger and BTB domain containing 16	ZBTB16	regulation of transcription, DNA-dependent mesoderm development
OS	adenosylmethionine decarboxylase 1	AMD1	spermine biosynthesis
AD	CCAAT/enhancer binding protein alpha	CEBPA	RNA polymerase II transcription factor activity
	CDC28 protein kinase regulatory subunit 2	CKS2	cell cycle, cell proliferation, cytokinesis
	dicarbonyl/L-xylulose reductase	DCXR	carbohydrate metabolism
	DKFZP586A0522 protein	DKFZP586A 0522	S-adenosylmethionine-dependent methyltransferase activity
	endothelial differentiation sphingolipid G-protein-coupled receptor 3	EDG3	positive regulation of cell prolifeation, morphogenesis
	family with sequene similarity 20, member A	FAM20A	unknown
	histone 1 H2ac	HIST1H2AC	nucleosome assembly, chromosome organization
	Homeodomain interacting protein kinase 2	HIPK2	transcription corepressor activity
	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	ID1	regulation of transcription
	integrin-binding sialoprotein	IBSP	ossification, cell adhesion
	interleukin 1 receptor type II	IL1R2	immune response
	kynureninase	KYNU	tryptophan catabolism, NAD biosynthesis
	sushi, nidogen and EGF-like domains 1	SNED1	cell-matrix adhesion
	sushi-repeat-containing protein, X-linked	SRPX	cell adhesion
CH	angiopoietin-like 1	ANGPTL1	receptor binding
AD	chemokine (C-X-C motif) ligand 13	CXCL13	chemokine activity
	chitinase 3-like 2	CHI3L2	metabolism
	COP9 constitutive photomorphogenic homolog subunit 8	COPS8	metabolism
	endothelin receptor type B	EDNRB	negative regulation of adenylate cyclase activity
	glutamate-ammonia ligase	GLUL	glutamine biosynthesis
	glutathione peroxidase 3	GPX3	response to lipid hydroperoxide
	heparan sulfate 3-O-sulfotransferase 2	HS3ST2	sulfotransferase activity
	hydroxysteroid dehydrogenase 1	HSD11B1	lipid and glucocorticoid metabolism
	hypothetical protein LOC149705	LOC149705	unknown
	laminin alpha2	LAMA2	regulation of cell adhesion, migration, embryonic development
	metallothionein 1E	MT1E	copper, zinc, cadmium and metal ion binding
	metallothionein 1K	MT1K	metal ion binding
	nebulette	NEBL	ion transport, regulation of actin filament length
	runt-related transcription factor 2	RUNX2	regulation of transcription, ossification
	serine (or cysteine) proteinase inhibitor clade A member 3	SERPINF1	acute-phase imflammatory response, regulation of lipid metabolism
	sorbin and SH3 domain containing 1	SORBS1	insulin receptor signaling pathway, focal adhesion formation
	tissue inhibitor of metalloproteinase 4	TIMP4	metalloendopeptidase inhibitor activity
OS	ectonucleotide pyrophosphatase/phosphodiesterase 5	ENPP5	nucleotide metabolism
CH	formyl peptide receptor 1	FPR1	activation of MAPK, nitric oxide mediated signal transduction
	hypothetical protein FLJ10970	FLJ10970	unknown
	KIAA1726 protein	KIAA1726	unknown
	neuronal cell adhesion molecule	NRCAM	regulation of neuron differentiation
	toll-like receptor 2	TLR2	induction of apoptosis, inflammatory response
	transmembrane protein 38B	TMEM38B	integral to membrane
