Gene	WT	KO
Adamts1	0.141	0.329
Rnase4	0.75	0.799
Cd36	0.421	0.684
Cdh5	0.918	0.827
Chga	0.447	0.88
Col18a1	0.107	0.149
Csf3	0.101	0.205
Ctgf	1.205	0.755
Edg1	0.285	0.253
Efna5	0.25	0.286
Efnb2	0.905	0.568
Eng	0.102	0.097
Ephb4	0.706	0.572
Fgf1	0.112	0.157
Fgf16	0.883	0.783
Fgf7	1.009	0.51
Fgfr1	1.078	0.536
Flt1	1.152	0.85
Fn1	0.388	0.319
Hgf	0.371	0.372
Hif1a	0.835	0.408
Ifna1	0.183	0.295
Ifng	0.082	0.519
Itgav	0.27	0.396
Mmp2	0.182	0.085
Msr1	0.706	0.642
Nos3	0.482	0.678
Pdgfra	0.232	0.376
Pecam1	0.128	0.27
Plau	0.158	0.21
Ptgs1	0.256	0.459
Ptgs2	0.596	0.643
Ptn	0.286	0.253
Rsn	0.837	0.741
Serpinb5	1.002	0.885
Serpine1	0.177	0.358
Serpinb2	0.97	1.156
Serpinf1	1.016	0.355
Sparc	1.147	0.595
Tek	0.615	0.568
Tgfa	0.011	0.185
Tgfb1	0.117	0.115
Tgfb2	0.453	0.451
Tgfb3	0.97	0.685
Tgfbr1	0.292	0.433
Tgfbr3	0.033	0.282
Thbs1	0.948	0.372
Thbs2	0.635	0.549
Thbs3	0.18	0.181
Thbs4	0.15	0.127
Timp2	0.962	0.568
Vcam1	0.153	0.399
Vegfb	0.087	0.172
Actb	1.264	0.945
