ProbeID (Affymetrix)	Gene Symbol	FC (fold change)	pfp(RP)	p(ttest)	p(Mann-Whitney)
222312_s_at	NA	0.5365	0.0002	0.00024414	0.00048794
209791_at	NA	0.6318	0.003	0.0012207	0.00080774
209460_at	ABAT	0.6723	0.0048	0.00463867	0.00406516
209459_s_at	ABAT	0.6809	0.0084	0.00610352	0.00554257
202850_at	ABCD3	0.6528	0.0035	0.00024414	0.00001458
221927_s_at	ABHD11	0.6666	0.0063	0.00048828	0.00008589
205355_at	ACADSB	0.5647	0.0002	0.00244141	0.00179873
202274_at	ACTG2	0.4087	0	0.00805664	0.00877385
204942_s_at	ALDH3B2	0.6225	0.0007	0.00024414	0.00001018
208498_s_at	AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	0.6291	0.0025	0.00048828	0.00055325
211712_s_at	ANXA9	0.532	0	0.00024414	0.00009174
210085_s_at	ANXA9	0.681	0.0093	0.00073242	0.00083965
205239_at	AREG	0.4052	0	0.00341797	0.00500473
205047_s_at	ASNS	0.6218	0.0018	0.00024414	0.00007745
220197_at	ATP6V0A4	0.6618	0.0094	0.00024414	0.00026816
212599_at	AUTS2	0.3524	0	0.00024414	0.00017631
210652_s_at	C1orf34	0.5283	0	0.00048828	0.00046433
219572_at	CADPS2	0.5945	0.0003	0.00024414	0.000024
208650_s_at	CD24	0.6279	0.0031	0.0012207	0.00072944
209772_s_at	CD24	0.6318	0.0041	0.00170898	0.00202938
203973_s_at	CEBPD	0.6935	0.0093	0.00341797	0.00206101
41660_at	CELSR1	0.5634	0.0002	0.00341797	0.00232302
36499_at	CELSR2	0.5615	0.0002	0.00170898	0.0030773
204029_at	CELSR2	0.5644	0.0003	0.00244141	0.0048084
203953_s_at	CLDN3	0.4981	0	0.0012207	0.00292565
203954_x_at	CLDN3	0.5542	0.0002	0.00073242	0.00046943
210397_at	DEFB1	0.5572	0.0004	0.00048828	0.003038
205382_s_at	DF	0.5696	0.0007	0.00341797	0.00489481
219313_at	DKFZp434C0328	0.5774	0.0002	0.0012207	0.00047005
218976_at	DNAJC12	0.5958	0.0019	0.00170898	0.00385875
206032_at	DSC3	0.4427	0	0.0012207	0.00533221
204455_at	DST	0.2567	0	0.00048828	0.00053412
205741_s_at	DTNA	0.6045	0.0002	0.00805664	0.00724062
220318_at	EPN3	0.6737	0.0055	0.0012207	0.00018099
202454_s_at	ERBB3	0.6467	0.0024	0.00024414	0.00000059
214053_at	ERBB4	0.4835	0	0.00024414	0.00020097
222006_at	FGFR3	0.6481	0.0033	0.0012207	0.00064012
219995_s_at	FLJ13841	0.5727	0.0005	0.00024414	0.00104087
218313_s_at	GALNT7	0.5301	0	0.00024414	0.00037903
221577_x_at	GDF15	0.465	0	0.00463867	0.00383736
219936_s_at	GPR87	0.558	0.0002	0.0012207	0.00130035
206204_at	GRB14	0.4924	0	0.00341797	0.00556308
219976_at	HOOK1	0.6122	0.0029	0.00610352	0.00781547
218611_at	IER5	0.6245	0.0005	0.00244141	0.00061092
219115_s_at	IL20RA	0.431	0	0.00073242	0.00029851
218170_at	ISOC1	0.6087	0.0015	0.00048828	0.00070367
203143_s_at	KIAA0040	0.6842	0.0058	0.00610352	0.00173749
221874_at	KIAA1324	0.548	0.0002	0.00024414	0.00011104
213234_at	KIAA1467	0.6911	0.0094	0.00048828	0.00001022
209351_at	KRT14	0.2238	0	0.00610352	0.00203213
203726_s_at	LAMA3	0.4539	0	0.00170898	0.00404172
221880_s_at	LOC400451	0.6585	0.0064	0.00341797	0.00212932
214109_at	LRBA	0.656	0.007	0.00024414	0.00018938
212692_s_at	LRBA	0.6651	0.0078	0.00024414	0.00009394
208682_s_at	MAGED2	0.6728	0.0064	0.00341797	0.00296778
40016_g_at	MAST4	0.6414	0.0023	0.00170898	0.00109409
209035_at	MDK	0.6793	0.0056	0.00805664	0.00691848
218211_s_at	MLPH	0.6568	0.0084	0.00170898	0.0037338
205680_at	MMP10	0.4411	0	0.00463867	0.00494408
218398_at	MRPS30	0.558	0	0.00048828	0.00006893
222275_at	MRPS30	0.6337	0.0039	0.00805664	0.00378506
204798_at	MYB	0.6214	0.0033	0.00244141	0.00279116
203215_s_at	MYO6	0.6166	0.0021	0.00170898	0.00165946
210480_s_at	MYO6	0.6543	0.0063	0.0012207	0.00161536
219032_x_at	OPN3	0.6751	0.0094	0.00805664	0.00536684
203910_at	PARG1	0.6512	0.0073	0.00073242	0.00111734
212594_at	PDCD4	0.6284	0.002	0.00244141	0.00079425
202731_at	PDCD4	0.6527	0.0023	0.00610352	0.00577922
219630_at	PDZK1IP1	0.5527	0.0002	0.00244141	0.00214376
217744_s_at	PERP	0.6603	0.0061	0.00610352	0.00299996
205420_at	PEX7	0.614	0.0007	0.00024414	0.00000053
201939_at	PLK2	0.6673	0.0048	0.00610352	0.00376234
203680_at	PRKAR2B	0.6825	0.0048	0.00244141	0.00178655
204304_s_at	PROM1	0.5209	0.0002	0.0012207	0.00524714
200635_s_at	PTPRF	0.6252	0.0018	0.00463867	0.00339853
200637_s_at	PTPRF	0.6735	0.0084	0.0012207	0.00096085
219681_s_at	RAB11FIP1	0.4518	0	0.00024414	0.00046731
204681_s_at	RAPGEF5	0.6463	0.0025	0.00244141	0.00142722
203453_at	SCNN1A	0.6706	0.0093	0.00048828	0.00030562
202833_s_at	SERPINA1	0.6315	0.0019	0.00024414	0.00019003
211429_s_at	SERPINA1	0.6738	0.0087	0.00610352	0.00758122
213308_at	SHANK2	0.6225	0.0012	0.00805664	0.00953542
209681_at	SLC19A2	0.6521	0.0063	0.00341797	0.00371181
209610_s_at	SLC1A4	0.5673	0.0003	0.00048828	0.00008146
212810_s_at	SLC1A4	0.6241	0.0019	0.00048828	0.00032429
212811_x_at	SLC1A4	0.6247	0.0008	0.00048828	0.00001204
205768_s_at	SLC27A2	0.4698	0	0.00048828	0.00036329
205769_at	SLC27A2	0.5401	0	0.00048828	0.00018375
212807_s_at	SORT1	0.6647	0.0056	0.0012207	0.00021783
203439_s_at	STC2	0.6717	0.0094	0.00244141	0.00290276
204526_s_at	TBC1D8	0.6537	0.0097	0.00024414	0.00221528
219682_s_at	TBX3	0.6611	0.0036	0.00244141	0.0019567
35148_at	TJP3	0.5825	0.0002	0.00024414	0.00000262
