Affymetrix probe set I.D.	Fold change	Gene title	Gene symbol
204940_at	68.59	phospholamban	PLN
242426_at	18.38	neuregulin 4	NRG4
1554524_a_at	13.00	olfactomedin 3	OLFM3
1554526_at	5.66	olfactomedin 3	OLFM3
227725_at	13.00	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ST6GALNAC1
214567_s_at	11.31	chemokine (C motif) ligand 1 /// chemokine (C motif) ligand 2	XCL1 /// XCL2
205694_at	8.00	tyrosinase-related protein 1	TYRP1
207147_at	4.92	distal-less homeo box 2	DLX2
1554712_a_at	4.59	BXMAS2-10	BXMAS2-10
208173_at	4.59	interferon, beta 1, fibroblast	IFNB1
218793_s_at	4.59	sex comb on midleg-like 1 (Drosophila)	SCML1
222747_s_at	3.25	sex comb on midleg-like 1 (Drosophila)	SCML1
1554741_s_at	4.29	fibroblast growth factor 7 (keratinocyte growth  factor) /// hypothetical protein FLJ30435	FGF7 /// FLJ30435
238919_at	4.29	Protocadherin 9	PCDH9
219737_s_at	3.03	protocadherin 9	PCDH9
204222_s_at	4.00	GLI pathogenesis-related 1 (glioma)	GLIPR1
226142_at	3.73	GLI pathogenesis-related 1 (glioma)	GLIPR1
204221_x_at	2.83	GLI pathogenesis-related 1 (glioma)	GLIPR1
214085_x_at	2.30	GLI pathogenesis-related 1 (glioma)	GLIPR1
211138_s_at	4.00	kynurenine 3-monooxygenase (kynurenine 3- hydroxylase)	KMO
205306_x_at	3.25	kynurenine 3-monooxygenase (kynurenine 3- hydroxylase)	KMO
212592_at	4.00	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	IGJ
235885_at	4.00	purinergic receptor P2Y, G-protein coupled, 12	P2RY12
204201_s_at	3.73	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	PTPN13
205376_at	3.25	inositol polyphosphate-4-phosphatase, type II, 105kDa	INPP4B
206366_x_at	3.25	chemokine (C motif) ligand 2	XCL2
207729_at	3.25	cadherin 9, type 2 (T1-cadherin)	CDH9
204560_at	3.03	FK506 binding protein 5	FKBP5
224856_at	2.14	FK506 binding protein 5	FKBP5
227195_at	3.03	zinc finger protein 503	ZNF503
210145_at	2.83	phospholipase A2, group IVA (cytosolic, calcium-dependent)	PLA2G4A
219274_at	2.83	tetraspanin 12	TSPAN12
219295_s_at	2.83	procollagen C-endopeptidase enhancer 2	PCOLCE2
222717_at	2.83	serum deprivation response (phosphatidylserine binding protein)	SDPR
218711_s_at	2.64	serum deprivation response (phosphatidylserine binding protein)	SDPR
226837_at	2.83	sprouty-related, EVH1 domain containing 1	SPRED1
230493_at	2.83	transmembrane protein 46	TMEM46
235521_at	2.83	homeo box A3	HOXA3
235740_at	2.83	Multiple C2-domains with two transmembrane regions 1	MCTP1
220122_at	2.64	multiple C2-domains with two transmembrane regions 1	MCTP1
203789_s_at	2.64	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SEMA3C
206858_s_at	2.64	homeo box C6	HOXC6
209795_at	2.64	CD69 antigen (p60, early T-cell activation antigen)	CD69
237009_at	2.00	CD69 antigen (p60, early T-cell activation antigen)	CD69
211548_s_at	2.64	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD
203913_s_at	2.30	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD
203914_x_at	2.14	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD
218589_at	2.64	purinergic receptor P2Y, G-protein coupled, 5	P2RY5
238909_at	2.64	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	S100A10
205518_s_at	2.46	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	CMAH
210571_s_at	2.46	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	CMAH
209576_at	2.46	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	GNAI1
227692_at	2.14	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	GNAI1
221294_at	2.46	G protein-coupled receptor 21	GPR21
226420_at	2.46	ecotropic viral integration site 1	EVI1
221884_at	2.30	ecotropic viral integration site 1	EVI1
204259_at	2.30	matrix metalloproteinase 7 (matrilysin, uterine)	MMP7
205872_x_at	2.30	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP
210305_at	2.00	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP
206289_at	2.30	homeo box A4	HOXA4
210815_s_at	2.30	calcitonin receptor-like	CALCRL
206331_at	2.00	calcitonin receptor-like	CALCRL
227556_at	2.30	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	NME7
228496_s_at	2.30	Cysteine-rich motor neuron 1	CRIM1
228915_at	2.30	dachshund homolog 1 (Drosophila)	DACH1
238756_at	2.30	Growth arrest-specific 2 like 3	GAS2L3
204082_at	2.14	pre-B-cell leukemia transcription factor 3	PBX3
204529_s_at	2.14	thymus high mobility group box protein TOX	TOX
205352_at	2.14	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	SERPINI1
205932_s_at	2.14	msh homeo box homolog 1 (Drosophila)	MSX1
213844_at	2.14	homeo box A5	HOXA5
224009_x_at	2.14	dehydrogenase/reductase (SDR family) member 9	DHRS9
223952_x_at	2.00	dehydrogenase/reductase (SDR family) member 9	DHRS9
228771_at	2.14	adrenergic, beta, receptor kinase 2	ADRBK2
244871_s_at	2.14	ubiquitin specific protease 32	USP32
1554489_a_at	2.00	p10-binding protein	Cep70
204774_at	2.00	ecotropic viral integration site 2A	EVI2A
205411_at	2.00	serine/threonine kinase 4	STK4
205934_at	2.00	phospholipase C-like 1	PLCL1
206118_at	2.00	signal transducer and activator of transcription 4	STAT4
206295_at	2.00	interleukin 18 (interferon-gamma-inducing factor)	IL18
206674_at	2.00	fms-related tyrosine kinase 3	FLT3
209211_at	2.00	Kruppel-like factor 5 (intestinal)	KLF5
