UniGene ID	Entrez Gene	Gene Symbol	Entrez Definition	EGR1 16 h	CV16h	EGR1 24 h	CV24h	EGR1 48 h	CV 48h
Hs.172928	1277	COL1A1	collagen, type I, alpha 1	6,5	0	9,4	0,3	12,3	-0,6
Hs.311193	199800	LOC199800	hypothetical protein LOC199800	8,7	0,2	9,2	0,2	9,3	0,1
Hs.398636	3040	HBA2	hemoglobin, alpha 2	7,8	0	9,1	0,2	10,7	-0,1
Hs.114948	9244	CRLF1	cytokine receptor-like factor 1	7,3	-0,3	8,9	0,3	8,3	-0,4
Hs.51483	196410	MGC17301	hypothetical protein MGC17301	9,1	2,4	8,8	2,1	8,7	2,6
Hs.233533	283869	PPL8	similar to prepro-Neuropeptide W polypeptide	8,7	0,4	8,7	0,1	8,1	0,2
Hs.110675	348	APOE	apolipoprotein E	7,4	-0,2	8,5	0	9,8	-0,3
Hs.208229	84634	GPR54	G protein-coupled receptor 54	7,9	-0,9	8,1	-0,8	8,4	0,2
Hs.24395	9547	CXCL14	chemokine (C-X-C motif) ligand 14	3,8	0	8	0,2	11,9	0,2
Hs.21380	NA	NA	CDNA FLJ46882 fis, clone UTERU3015844	7,3	-0,2	8	-0,1	8	0,8
Hs.149997	2307	FKHL18	forkhead-like 18 (Drosophila)	7,8	2,2	7,8	3,8	7,1	3,2
Hs.40888	23237	ARC	activity-regulated cytoskeleton-associated protein	7,3	-0,3	7,8	0,5	8,8	-0,4
Hs.249200	9965	FGF19	fibroblast growth factor 19	3,7	-0,3	7,3	0,3	9,8	0
Hs.276770	1043	CDW52	CDW52 antigen (CAMPATH-1 antigen)	6	-0,9	7,3	-0,8	8,6	-0,4
Hs.212584	57214	KIAA1199	KIAA1199 protein	6,9	2,7	7,1	3,7	7	4,8
Hs.31403	NA	NA	Transcribed sequences	5,6	-0,2	7,1	-0,1	7,8	0,2
Hs.44865	51176	LEF1	lymphoid enhancer-binding factor 1	6,1	0,5	6,9	-1,4	7,1	-1,6
Hs.1420	2261	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	6,4	-0,2	6,9	0,2	6,1	4
Hs.355618	388889	NA	CDNA FLJ45323 fis, clone BRHIP3006390	6,4	0,3	6,9	0,2	6	0,3
Hs.348037	94274	PPP1R14A	protein phosphatase 1, regulatory (inhibitor) subunit 14A	5,3	0,4	6,8	2,5	8	2,5
Hs.125293	221002	RASGEF1A	RasGEF domain family, member 1A	5	3,7	6,6	0,7	8,5	3,3
Hs.152812	NA	NA	Transcribed sequences	6,4	-1	6,4	-0,2	6,1	0,7
Hs.183650	1382	CRABP2	cellular retinoic acid binding protein 2	5,2	-0,3	6,4	0,3	7,5	0,5
Hs.107513	139818	DOCK11	dedicator of cytokinesis 11	5,5	0,6	6,4	1,2	6,2	1,7
Hs.436584	114990	LOC114990	hypothetical protein BC013767	6,1	0,1	6,3	1,9	5,9	1,8
Hs.128316	10458	BAIAP2	BAI1-associated protein 2	5	0	6,2	-0,1	6,8	-0,3
Hs.259768	107	ADCY1	adenylate cyclase 1 (brain)	6,3	0	6,1	0,2	6,3	0,1
Hs.64056	5058	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	5,2	2,1	6,1	2,9	6,4	1,8
Hs.1183	1844	DUSP2	dual specificity phosphatase 2	4,3	0	6	0	5,8	-0,4
Hs.97220	1101	CHAD	chondroadherin	2,9	0	6	0,3	8,2	-0,2
Hs.132753	26232	FBXO2	F-box only protein 2	4,2	0,3	5,8	0,4	7,3	0,3
Hs.66744	7291	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	6,9	2,7	5,8	2,6	6,1	2,5
Hs.369063	7546	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	0,3	2,1	5,7	0,6	9,2	3,1
Hs.100217	752	FMNL1	formin-like 1	4,7	-0,3	5,7	0	7	-0,1
Hs.415762	8581	LY6D	lymphocyte antigen 6 complex, locus D collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia,	2,2	-0,1	5,6	0,4	9,2	-0,3
Hs.408182	1280	COL2A1	congenital)	0,6	0,1	5,6	0,3	9,9	-0,2
Hs.63348	11117	EMILIN1	elastin microfibril interfacer 1	5,3	0,3	5,6	0,2	6,4	2,9
Hs.287370	8074	FGF23	fibroblast growth factor 23	5,3	-0,1	5,6	0,2	4,7	-0,2
Hs.374836	118788	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	5	0,6	5,5	-0,5	4,8	0,4
Hs.102572	NA	NA	Transcribed sequences	0,2	1,9	5,5	2,9	4,9	-0,2
Hs.29725	79667	FLJ13197	hypothetical protein FLJ13197	5	2,4	5,5	0,3	5,1	4,1
Hs.246046	83758	RBP5	retinol binding protein 5, cellular	5,1	0,1	5,5	0,3	5,4	1,2
Hs.27788	118738	ZNF488	zinc finger protein 488	4,4	0,1	5,4	0,2	5,1	0,2
Hs.72918	6346	CCL1	chemokine (C-C motif) ligand 1	3,5	-0,1	5,4	0,1	6,5	-0,3
Hs.436132	1759	DNM1	dynamin 1	4,2	2,5	5,3	2,1	5,6	3,2
Hs.24743	54845	FLJ20171	hypothetical protein FLJ20171	4,2	0,5	5,3	3,4	8,8	1,2
Hs.242014	119467	MGC32871	hypothetical protein MGC32871	3,7	0,4	5,3	0	5,2	2,3
Hs.221974	6616	SNAP25	synaptosomal-associated protein, 25kDa	4	0,2	5,3	3,4	6,8	3,1
Hs.28391	NA	NA	CDNA FLJ37384 fis, clone BRAMY2026347	3,5	0,4	5,2	-0,1	7,4	0,4
NA	150271	LOC150271	hypothetical protein LOC150271	4,9	-0,2	5,2	-0,5	5,3	0,3
Hs.134194	1747	DLX3	distal-less homeo box 3	4,6	0,3	5,2	0,1	6,7	0,4
Hs.80618	57690	KIAA1582	KIAA1582 protein	5,1	0,1	5,2	2,7	4,8	0,5
Hs.46531	5239	PGM5	phosphoglucomutase 5	4,1	0,3	5,2	0,6	5,7	0,9
Hs.79404	27065	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	4,5	0,1	5,2	0,3	4,3	0,1
Hs.524403	NA	NA	Transcribed sequence with weak similarity to protein sp:P39188 (H.sapiens)	5,1	0,2	5,2	0	5,5	0,1
