 Time of high expression 	FDR, %	P	 Affymetrix ID 	Symbol	 Gene title 	 Reported function 
Diagnosis	0.66	0.000001	204642_at	EDG1	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	Cell adhesion, signal transduction
Diagnosis	0.66	0.000002	 203795_s_at 	BCL7A	B-cell CLL/lymphoma 7A	Putative tumor suppressor
Relapse	0.97	0.000003	 203554_x_at 	PTTG1	Pituitary tumor-transforming 1 	DNA replication and repair; cell cycle
Relapse	2.11	0.00001	 200834_s_at 	RPS21	Ribosomal protein S21	Protein biosynthesis
Relapse	2.11	0.000016	 200763_s_at 	RPLP1	Ribosomal protein, large, P1	Protein biosynthesis
Relapse	2.11	0.000017	 213166_x_at 	FLJ14346	Hypothetical protein FLJ14346	Unknown
Relapse	2.11	0.000019	201757_at	NDUFS5	NADH-coenzyme Q reductase	Mitochondrial electron transport 
Relapse	2.11	0.000021	 200980_s_at 	PDHA1	Pyruvate dehydrogenase (lipoamide) alpha 1	Glycolysis; protein polyubiquitination 
Diagnosis	2.11	0.000023	 203796_s_at 	BCL7A	B-cell CLL/lymphoma 7A	Putative tumor suppressor
Relapse	2.11	0.000026	 203989_x_at 	F2R	Coagulation factor II (thrombin) receptor	Cell-cycle regulation, apoptosis
Relapse	2.11	0.000029	 200061_s_at 	RPS24	Ribosomal protein S24	Protein biosynthesis
Relapse	2.11	0.000029	 201001_s_at 	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	Cell-cycle progression; DNA repair
Relapse	2.11	0.000031	212834_at	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52 	Nucleic acid binding, helicase activity
Diagnosis	2.12	0.000034	 213875_x_at 	C6orf62	Chromosome 6 open reading frame 62	Unknown
Diagnosis	2.51	0.000044	 208892_s_at 	DUSP6	Dual-specificity phosphatase 6 	Cell-cycle progression; DNA repair
Diagnosis	2.51	0.000048	 206864_s_at 	HRK	Harakiri, BCL2 interacting protein (contains only BH3 domain)	Induction of apoptosis
Relapse	2.51	0.000049	 217491_x_at 	COX7C	Cytochrome coxidase subunit VIIc	Generation of precursor metabolites and energy
Relapse	2.51	0.000052	 201002_s_at 	UBE2V1	Ubiquitin-conjugating enzyme E2 variant	Cell-cycle progression; DNA repair
Relapse	2.51	0.000054	202279_at	C14orf2	Chromosome 14 open reading frame 2	Unknown
Diagnosis	2.51	0.000057	49485_at	PRDM4	PR domain containing 4	Transcription regulation
