Symbol	2 h	4 h	8 h	24 h	Gene description
C1orf116	7.3	8.4	10.1	5.9	Chromosome 1 open reading frame 116 (SARG)
SGK	4.9	7	8.1	0.8	Serum/glucocorticoid-regulated kinase
TMPRSS2	2.1	6.1	7.7	5.5	Transmembrane protease, serine 2
TMEPAI	3.9	4.5	6	3.4	Transmembrane, prostate androgen induced (STAG1)
NKX3.1	2.8	4.3	4.4	3.6	NK3 transcription factor related, locus 1
C1orf21	2	4.3	2.8	0.9	Proliferation-inducing protein 13
C16orf3	3.9	4.1	3.8	4.4	Chromosome 16 open reading frame 3
SNAI2	2.6	4	5.7	1.4	Snail homologue 2 (SLUG)
CHI3L1	2.1	3.9	3.1	1.3	Chitinase 3-like 1 (cartilage glycoprotein-39)
SLCO1B1	2	3.7	2.3	0.2	Solute carrier organic anion transporter family, member 1B1
HIST1H3J	2.8	3.6	4.7	2.8	Histone 1, H3j
GPR20	3.3	3.5	2.9	1.3	G protein-coupled receptor 20
SULT2A1	2.2	3.2	2.4	1.2	Sulfotransferase, cytosolic, 2A, DHEA-preferring, member 1
CASP8	2.1	3.1	2.3	2.8	Caspase-8, apoptosis-related cysteine protease (FLICE)
ADRB3	2.4	3	2.8	1.2	Adrenergic, ?3, receptor
STAT5A	2.5	2.9	2.9	2	Signal transducer and activator of transcription 5A
DIO2	2	2.9	2.6	1.1	Deiodinase, iodothyronine, type II, transcript variant 1
ASCL1	2.1	2.8	2.2	1.2	Achaete-scute complex-like 1 (Drosophila)
PTGER4	2.1	2.7	2.7	1.8	Prostaglandin E receptor 4 (subtype EP4)
DPP4	2.3	2.6	2.4	1.6	Dipeptidylpeptidase 4 (CD26)
PMAIP1	2.3	2.5	2	1.5	PMA-induced protein 1 (APR, NOXA)
SLC1A3	2.9	2.4	2.1	3	Glial high-affinity glutamate transporter (EEAT1)
PGDS	2.3	2.2	2.5	1.7	Prostaglandin D2 synthase, hematopoietic
CCL16	2.3	2.1	2	0.9	Chemokine (C-C motif) ligand 16
ROM1	2	2.1	2.1	1.8	Retinal outer segment membrane protein 1
KPNA1	3.4	2	3.4	2.7	Karyopherin ?1 (importin ?5)
DNCLI2	2.7	2	2.5	0.6	Dynein, cytoplasmic, light intermediate polypeptide 2
NFKBIA	2.6	2	2.2	1	Nuclear factor-?B inhibitor, ?
GRWD1	2.3	2	2.5	3.7	Glutamate-rich WD repeat containing 1
RAB3B	2.2	2	2	2.9	RAB3B, member RAS oncogene family
STARD8	2.1	2	2	1.7	START domain containing 8
