ID probe set	(i)	R-fold	RT–PCR/WB validation	Gene symbol	Dendrog cluster	Gene name 	Functional class
97529_at	8.2756	1.326	5.46	Anxa8	7	Annexin A8	Immunity and defense
101853_f_at	7.5235	1.1038	6.06	Cfh	8	Complement component factor h	Immunity and defense
97498_at	-6.6816	0.771		Fhl1	1	Four and a half LIM domains 1	Cell growth and proliferation
101156_at	-6.9203	0.9471		Npn2	1	Neoplastic progression 2	Development
99034_at	-7.1183	0.9277		Irx3	3	Iroquois-related homeobox 3 (Drosophila)	Transcription
100127_at	9.8174	1.7363	12.12	Crabp2	7	Cellular retinoic acid binding protein II	Cellular transport and trafficking processes
101409_at	7.3197	1.0773		Lgtn	7	Ligatin	Cellular transport and trafficking processes
99608_at	11.9586	1.0736	-1.23	Prdx2	2	Peroxiredoxin 2	Cell death
102399_at	-8.1576	0.8427	-5.86	Rbpms	1	RNA binding protein gene with multiple splicing	mRNA processing
103888_at	-6.325	0.837	-5.86	Rbpms	1	RNA binding protein gene with multiple splicing	mRNA processing
160127_at	9.8325	1.5503	2.93	Ccng1	7	Cyclin G1	Cell cycle
102048_at	-11.0825	0.501	-3.48	Crap	1	Cardiac responsive adriamycin protein	Signaling
93748_at	-7.7614	0.9641		Grinl1a	1	Glutamate receptor, ionotropic, N-methyl d-aspartate-like 1A	Signaling
97795_at	-6.5052	0.9338		Calcrl	1	Calcitonin receptor-like	Signaling
94362_at	-6.2856	0.7335		Nras	1	Neuroblastoma ras oncogene	Signaling
95701_at	-7.246	0.8485		Cxxc5	3	CXXC finger 5	Unknown
