ProbeSet	Symbol	SAMSCORE
1555852_at	NA	6.56
224820_at	FAM36A	6.2
205383_s_at	ZBTB20	6.18
221875_x_at	HLA-F	5.92
213158_at	NA	5.65
227527_at	MLL2	5.41
209398_at	HIST1H1C	5.39
232304_at	PELI1	5.36
213720_s_at	SMARCA4	5.27
217436_x_at	HLA-G///HLA-H	5.26
202081_at	IER2	5.21
228465_at	NA	5.19
232431_at	NR3C1	5.11
225256_at	NA	5.08
201531_at	ZFP36	5.05
216321_s_at	NR3C1	5
212137_at	LARP1	4.99
228053_s_at	C9orf105	4.97
230003_at	NA	4.9
201074_at	SMARCC1	4.85
227749_at	NA	4.84
225917_at	NA	4.82
1553704_x_at	FLJ90396	4.81
212130_x_at	SUI1	4.79
225547_at	NA	4.78
214143_x_at	RPL24///SLC36A2	4.76
201788_at	DDX42	4.75
204806_x_at	HLA-F	4.73
200840_at	KARS	4.71
201263_at	TARS	4.7
210110_x_at	HNRPH3	4.67
203080_s_at	BAZ2B	4.66
200830_at	PSMD2	4.61
208956_x_at	DUT	4.6
226981_at	MLL	4.6
214317_x_at	RPS9	4.6
202284_s_at	CDKN1A	4.58
214356_s_at	KIAA0368	4.56
225431_x_at	ACY1L2	4.55
1558956_s_at	WDR56	4.54
1553703_at	FLJ90396	4.53
225390_s_at	KLF13	4.53
212665_at	TIPARP	4.48
200085_s_at	TCEB2	4.48
218797_s_at	SIRT7	4.48
200072_s_at	HNRPM	4.46
224610_at	RNU22	4.45
224579_at	SLC38A1	4.44
235308_at	ZBTB20	4.43
225190_x_at	RPL35A	4.43
200019_s_at	FAU	4.42
218319_at	PELI1	4.42
201498_at	USP7	4.41
227121_at	NA	4.41
202946_s_at	BTBD3	4.4
202649_x_at	RPS19	4.4
209806_at	HIST1H2BK	4.4
219762_s_at	RPL36	4.39
225097_at	HIPK2	4.38
201405_s_at	COPS6	4.38
227878_s_at	SPATA11	4.38
203038_at	PTPRK	4.37
203538_at	CAMLG	4.35
228690_s_at	NDUFA11	4.34
218263_s_at	LOC58486	4.34
224604_at	LOC401152	4.33
213801_x_at	RPSA///LOC388524///LOC388654	4.31
221791_s_at	HSPC016	4.31
218557_at	NIT2	4.3
201226_at	NDUFB8	4.28
201119_s_at	COX8A	4.28
212971_at	CARS	4.27
204918_s_at	MLLT3	4.27
226620_x_at	DAZAP1	4.27
213857_s_at	CD47	4.27
220966_x_at	ARPC5L	4.26
219863_at	HERC5	4.26
218286_s_at	RNF7	4.25
218280_x_at	HIST2H2AA	4.24
203525_s_at	APC	4.23
202309_at	MTHFD1	4.23
222735_at	TMEM38B	4.22
225814_at	XRN1	4.22
211698_at	CRI1	4.21
201258_at	RPS16	4.18
