Gene name	Accession no.	Fold change
DEPP	AB022718	7.4
KRT15	X07696	4.3
RTP801	AA522530	3.2
LOXL2	U89942	2.9
ITPR1	D26070	2.9
IGFBP-6	M62402	2.8
AKR1C3	D17793	2.8
SDR1	AF061741	2.8
MAF	AF055376	2.7
SPARC	J03040	2.6
AKR1C1	U05861	2.5
SCD	Y13647	2.5
DSIPI	AI635895	2.4
GPM6B	AF016004	2.4
IL15	AF031167	2.3
ITGB6	M35198	2.3
ITPR1	D26070	2.2
S100A9	W72424	2.2
PLOD2	U84573	2.1
TM4SF1	M90657	2.1
ADD3	D67031	2.1
VAMP8	N90862	2.1
ADD3	U37122	2.1
APM2	AI381790	2
PLAT	M15518	2
DKK1	AB020315	2
ITM2A	AL021786	2
EST	AL035079	2
CTSH	X16832	2
JWA	AF070523	1.9
PROL2	U03105	1.9
AF1Q	U16954	1.9
SMAD5	AF010607	1.9
