Gene name	Accession no.	Fold change
COX-2	U04636	?4.9
EGR3	X63741	?4.7
ASNS	M27396	?4.0
CTH	S52028	?2.9
ADRB2	M15169	?2.5
ETR101	M62831	?2.3
MTHFD2	X16396	?2.2
XBP1	Z93930	?2.2
SUI1	AJ012375	?2.2
ODC1	M33764	?2.2
CYR61	Y11307	?2.1
uPAR	U09937	?2.0
ODC1	X16277	?1.9
LOC56902	L48692	?1.8
SLC7A5	M80244	?1.8
MAFF	AL021977	?1.8
GARS	U09510	?1.8
TIEG	S81439	?1.8
UAP1	AB011004	?1.8
DUSP5	U15932	?1.8
PER2	AB002345	?1.8
SFRS2	X75755	?1.8
CYCS	D00265	?1.7
GARS	U09510	?1.7
LCCP	AB023206	?1.7
SLC7A1	X57303	?1.7
DUSP1	X68277	?1.7
CEBPG	U20240	?1.6
EPHA2	M59371	?1.6
KRT17	Z19574	?1.6
HERPUD1	AF055001	?1.6
SIAH2	U76248	?1.6
BNIP2	U15173	?1.6
