Gene symbol	Gene name	Fold change	P	FDR	Expression
IL21R	Interleukin-21 receptor	2.81	< .001	0.048	In patients with poor response to treatment
MYO7A	Myosin VIIA (usher syndrome 1B [autosomal recessive, severe])	2.44	< .001	0.048	In patients with poor response to treatment
RGS16	Regulator of G-protein signaling 16	2.29	< .001	< .001	In patients with poor response to treatment
ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	2	< .001	< .001	In patients with poor response to treatment
SLA	Src-like adaptor	1.91	< .001	0.048	In patients with poor response to treatment
PPP1R16B	Protein phosphatase 1, regulatory (inhibitor) subunit 16B	1.79	< .001	0.048	In patients with poor response to treatment
C1GALT1	Core 1 synthase	1.64	< .001	0.048	In patients with poor response to treatment
IL10	Interleukin-10	1.6	< .001	< .001	In patients with poor response to treatment
TRIB2	Tribbles homolog 2 (Drosophila)	1.55	< .001	< .001	In patients with poor response to treatment
MTHFD2	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	1.51	< .001	< .001	In patients with poor response to treatment
EHD1	EH-domain containing 1	1.51	< .001	< .001	In patients with poor response to treatment
WIF1	WNT inhibitory factor 1	4.02	< .001	0.048	In patients with good response to treatment
KRT15	Keratin 15	1.92	< .001	< .001	In patients with good response to treatment
GSTA3	Glutathione S-transferase A3	1.87	< .001	0.048	In patients with good response to treatment
PTN	Pleiotrophin (heparin-binding growth factor 8, neurite growth-promoting factor 1)	1.79	< .001	0.048	In patients with good response to treatment
