Refseq	Geneid	Genesymbol	Gene Name	Fold Change	q-value(%)	Negative Fold Change
NM_005502	19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	0.065908075	3.594130463	-15.17264771
NM_181865	11332	ACOT7	acyl-CoA thioesterase 7	0.672953927	9.084444862	-1.485985831
NM_007274	11332	ACOT7	acyl-CoA thioesterase 7	0.672953927	9.084444862	-1.485985831
NM_181864	11332	ACOT7	acyl-CoA thioesterase 7	0.672953927	9.084444862	-1.485985831
NM_181866	11332	ACOT7	acyl-CoA thioesterase 7	0.672953927	9.084444862	-1.485985831
NM_033274	8728	ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	0.20362185	9.557575979	-4.911064302
NM_001009942	54522	ANKRD16	ankyrin repeat domain 16	3.333431515	2.545842411	NA
NM_005166	333	APLP1	amyloid beta (A4) precursor-like protein 1	2.578927249	2.545842411	NA
NM_001024807	333	APLP1	amyloid beta (A4) precursor-like protein 1	2.578927249	2.545842411	NA
NM_016608	51309	ARMCX1	armadillo repeat containing, X-linked 1	0.014558254	0	-68.68955588
NM_054012	445	ASS	argininosuccinate synthetase	0.089033846	8.375107745	-11.23168369
NM_000050	445	ASS	argininosuccinate synthetase	0.089033846	8.375107745	-11.23168369
NM_001693	526	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0.535518739	6.967568704	-1.867348287
NM_181050	8312	AXIN1	axin 1	1.787661509	9.512608769	NA
NM_003502	8312	AXIN1	axin 1	1.787661509	9.512608769	NA
NM_012342	25805	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	0.233409643	9.557575979	-4.284313137
NM_001200	650	BMP2	bone morphogenetic protein 2	0.144229731	6.967568704	-6.933383242
NM_007021	11067	C10orf10	chromosome 10 open reading frame 10	0.230512309	0	-4.338163138
NM_152319	121273	C12orf54	chromosome 12 open reading frame 54	0.382361943	3.594130463	-2.615323046
NM_032413	84419	C15orf48	chromosome 15 open reading frame 48	0.019449237	8.375107745	-51.4158988
NM_197955	84419	C15orf48	chromosome 15 open reading frame 48	0.019449237	8.375107745	-51.4158988
