Gene function	Gene symbol	Gene name
Cellular metabolism	DDO	D-Aspartate oxidase
Cellular metabolism	GAPDS	Glyceraldehyde-3-phosphate dehydrogenase
Chromatin organization/modification	HIST1H3A	Histone cluster 1, H3a
Chromatin organization/modification	HIST2H2AB	Histone cluster 2, H2ab
Chromatin organization/modification	MSI1	Musashi homolog 1
Chromatin organization/modification	MYST4	MYST histone acetyltransferase monocyticleukemia 4
Cytoskeletal organization/motility	DIAPH3	Diaphanous homolog 3
Cytoskeletal organization/motility	DNAH8	Dynein, axonemal, heavy chain 8
Cytoskeletal organization/motility	MYL5	Myosin, light chain 5
Cytoskeletal organization/motility	SDCBP	Syndecan binding protein
Ion transport	FXYD7	FXYD domain-containing ion transport regulator 7
Ion transport	SLC2A10	Solute carrier family 2
Ion transport	SLC6A20	Solute carrier family 6
Proliferation/differentiation	BTG4	B-cell translocation gene 4
Proliferation/differentiation	CDK4	Cyclin-dependent kinase 4
Proliferation/differentiation	IGFBP2	Insulin-like growth factor binding protein 2
Proliferation/differentiation	IGFBPL1	Insulin-like growth factor binding protein-like 1
Proliferation/differentiation	IL1RN	Interleukin 1 receptor antagonist
Proliferation/differentiation	MYB	v-myb myeloblastosis viral oncogene homolog
Proliferation/differentiation	NANOS3	Nanos homolog 3
Proliferation/differentiation	PTOV1	Prostate tumor overexpressed gene 1
Proliferation/differentiation	RPN1	Ribophorin I
Proliferation/differentiation	SCAP2	src family associated phosphoprotein 2
Proliferation/differentiation	SFRP4	Secreted frizzled-related protein 4
Protein synthesis	AGXT2	Alanine-glyoxylate aminotransferase 2
Protein synthesis	CUGBP2	CUG triplet repeat, RNA binding protein 2
Protein synthesis	DPM2	Dolichyl-phosphate mannosyl-transferase polypeptide 2
Protein synthesis	RPL18A	Ribosomal protein L18a
Protein synthesis	RPS27	Ribosomal protein S27
Protein synthesis	RRM1	Ribonucleotide reductase M1 polypeptide
Signal transduction	RAB8B	RAB8B, member RAS oncogene family
Signal transduction	GIT1	G protein-coupled receptor kinase interactor 1
Signal transduction	GPSM3	G-protein signaling modulator 3
Signal transduction	PRKAR1A	Protein kinase, cAMP-dependent regulatory, type I
Transcriptional regulation	ANKRD22	Ankyrin repeat domain 22
Transcriptional regulation	HMG20B	High-mobility group 20B
Transcriptional regulation	HSF2BP	Heat shock transcription factor 2 binding protein
Transcriptional regulation	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3
Transcriptional regulation	PODN	Podocan
Transcriptional regulation	POU3F2	POU domain, class 3, transcription factor 2
Transcriptional regulation	TCERG1	Transcription elongation regulator 1
Miscellaneous	KIRREL	Kin of IRRE-like
Miscellaneous	KLK15	Kallikrein-related peptidase 15
Miscellaneous	OPA3	Optic atrophy 3
Miscellaneous	OR5D18	Olfactory receptor, family 5
Miscellaneous	RP1L1	Retinitis pigmentosa 1-like 1
Miscellaneous	SERPINC1	Serpin peptidase inhibitor
Miscellaneous	SLK	STE20-like kinase
Miscellaneous	SPATA5	Spermatogenesis associated 5
Miscellaneous	UBR1	Ubiquitin protein ligase E3
