Gene symbol	Gene description	p-value	RA fold-change in control siRNA cells	RA fold-change  in RIP140 siRNA cells	Differential fold-change
MTX3	Metaxin 3	2.65588E-05	-1.05	-1.57	-1.49
GPC6	Glypican 6	4.72111E-05	+3.92	+5.95	+1.52
ATBF1	AT motif binding factor 1	0.000101309	+2.93	+6.45	+2.2
TNFAIP8	Tumor necrosis factor, alpha-induced protein 8	0.000180379	-1.17	-1.85	-1.58
TAF9	TAF9 RNA polymerase II, TBP-associated factor, 32kDa	0.000222478	-1.09	-1.52	-1.4
CARD10	Caspase recruitment domain family, member 10	0.00027104	-1.02	-1.86	-1.83
SPRY4	Sprouty homolog 4 (Drosophila)	0.000275118	-1.04	-1.84	-1.77
MTAP	Methylthioadenosine phosphorylase	0.000308316	-1.25	-1.94	-1.55
HOXA5	Homeobox A5	0.000367905	+1.60	+20.66	+12.88
WDR68	WD repeat domain 68	0.000433186	+1.07	+2.09	+1.96
SCN4B	Sodium channel, voltage-gated, type IV, beta	0.000450319	-1.12	-1.92	-1.72
DLK1	Delta-like 1 homolog (Drosophila)	0.000522697	+1.03	-1.58	-1.63
B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide	0.000577399	-1.56	-2.60	-1.67
CALML4	Calmodulin-like 4	0.000620942	+1.01	-1.51	-1.53
TNFRSF8	Tumor necrosis factor receptor superfamily, member 8	0.000727148	-2.04	-3.65	-1.79
ASNS	Asparagine synthetase	0.0007576	-1.29	-1.91	-1.48
VSNL1	Visinin-like 1	0.000766888	-3.89	-14.60	-3.75
TCHP	Trichoplein, keratin filament binding	0.000778219	+1.75	+1.15	-1.53
FLJ12624	Phospholipase A2 homolog	0.000778415	-3.20	-8.31	-2.59
CPLX2	Complexin 2	0.000842191	+1.36	+2.45	+1.8
TERF1	Telomeric repeat binding factor (NIMA-interacting) 1	0.000861782	-2.24	-3.16	-1.41
ANKRD6	Ankyrin repeat domain 6	0.001035992	-2.56	-3.87	-1.51
TSHZ1	Teashirt family zinc finger 1	0.001052237	+2.15	+18.87	+8.76
NODAL	Nodal homolog (mouse)	0.00106794	+1.20	+2.60	+2.16
HOXB5	Homeobox B5	0.001269691	+1.15	+2.77	+2.41
SERINC5	Serine incorporator 5	0.001299627	-1.08	-1.75	-1.62
C6orf85	Chromosome 6 open reading frame 85	0.001312054	-1.88	-2.83	-1.51
FNTB	Farnesyltransferase, CAAX box, beta	0.001347055	+1.41	-1.01	-1.43
PDGFA	Platelet-derived growth factor alpha polypeptide	0.001374797	-1.06	-1.76	-1.66
HAS3	Hyaluronan synthase 3	0.001435838	-1.75	-3.86	-2.21
LRRC4	Leucine rich repeat containing 4	0.001496921	-2.25	-1.61	+1.4
LEF1	Lymphoid enhancer-binding factor 1	0.001503771	-1.10	-1.55	-1.41
L1TD1	LINE-1 type transposase domain containing 1	0.001577949	-1.09	-1.55	-1.41
KIF21B	Kinesin family member 21B	0.001601671	-1.04	+2.37	+2.46
INHBB	Inhibin, beta B (activin AB beta polypeptide)	0.001611553	+1.22	+2.95	+2.42
PPFIBP2	PTPRF interacting protein, binding protein 2 (liprin beta 2)	0.0017648	-1.17	-2.25	-1.92
AK3L1	Adenylate kinase 3-like 1	0.001875438	-4.02	-7.69	-1.91
ZADH2	Zinc binding alcohol dehydrogenase, domain containing 2	0.001919351	+1.23	+4.42	+3.58
OVOS2	Ovostatin 2	0.001967255	-1.66	-3.85	-2.32
FOXP1	Forkhead box P1	0.00206372	+1.88	+2.73	+1.45
