Probeset ID	Gene symbol	Description	FC (log2ratio)	Function
218756_s_at	DHR11_HUMAN	Dehydrogenase/reductase SDR family member 11 precursor	-1.88	metabolism
219973_at	ARSJ	arylsulfatase J	-1.85	metabolism
211715_s_at	BDH1	D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor	-1.83	metabolism
218170_at	ISOC1	isochorismatase domain containing 1	-1.19	metabolism
205379_at	CBR3	Carbonyl reductase [NADPH] 3	-1.15	metabolism
213279_at	DHRS1	Dehydrogenase/reductase SDR family member 1	-1.04	metabolism
203974_at	HDHD1A	Haloacid dehalogenase-like hydrolase domain containing protein 1A	-1.02	metabolism
218893_at	ISOC2	isochorismatase domain containing 2	-1.01	metabolism
218773_s_at	MSRB2	Methionine-R-sulfoxide reductase B2	-1.78	protein metabolism
212128_s_at	DAG1	Dystroglycan precursor (Dystrophin-associated glycoprotein 1)	-1.25	protein metabolism
207618_s_at	BCS1L	Mitochondrial chaperone BCS1 (BCS1-like protein) (H-BCS1).	-1.07	protein metabolism
209264_s_at	TSPAN4	Tetraspanin-4 (Novel antigen 2)	-1.06	protein metabolism
214913_at	ADAMTS3	ADAMTS-3 precursor (A disintegrin and metalloproteinase with thrombospondin motifs 3)	-2.08	proteolysis
202458_at	PRSS23	Serine protease 23 precursor (Putative secreted protein ZSIG13).	-1.93	proteolysis
213790_at	ADAM12	ADAM 12 precursor (A disintegrin and metalloproteinase domain 12)	-1.64	proteolysis
211668_s_at	PLAU	Urokinase-type plasminogen activator precursor	-1.54	proteolysis
201487_at	CTSC	Dipeptidyl-peptidase I precursor (Cathepsin C) (Cathepsin J)	-1.44	proteolysis
219443_at	TASP1	Threonine aspartase 1	-1.3	proteolysis
202604_x_at	ADAM10	ADAM 10 precursor (A disintegrin and metalloproteinase domain 10)	-1.11	proteolysis
207414_s_at	PCSK6	Proprotein convertase subtilisin/kexin type 6 precursor	-1.09	proteolysis
202627_s_at	SERPINE1	Plasminogen activator inhibitor-1 precursor (Endothelial plasminogen activator inhibitor)	-1.01	proteolysis
203702_s_at	TTLL4	Tubulin tyrosine ligase-like protein 4.	-2.01	protein modification
219373_at	DPM3	Dolichol-phosphate mannosyltransferase subunit 3	-2.01	protein modification
219956_at	GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	-1.9	protein modification
219649_at	ALG6	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	-1.83	protein modification
204764_at	FNTB	Protein farnesyltransferase beta subunit	-1.56	protein modification
203570_at	LOXL1	Lysyl oxidase homolog 1 precursor	-1.55	protein modification
214006_s_at	GGCX	Vitamin K-dependent gamma-carboxylase (Gamma-glutamyl carboxylase)	-1.54	protein modification
215884_s_at	UBQLN2	Ubiquilin-2 (Protein linking IAP with cytoskeleton-2)	-1.4	protein modification
203545_at	ALG8	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3- glucosyltransferase	-1.3	protein modification
201609_x_at	ICMT	Protein-S-isoprenylcysteine O-methyltransferase	-1.25	protein modification
205571_at	LIPT1	Lipoyltransferase 1, mitochondrial precursor	-1.17	protein modification
208940_at	SEPHS1	Selenide, water dikinase 1	-1.17	protein modification
209892_at	FUT4	Alpha-(1,3)-fucosyltransferase (Galactoside 3-L- fucosyltransferase)	-1.17	protein modification
218801_at	UGCGL2	UDP-glucose:glycoprotein glucosyltransferase 2 precursor	-1.21	protein modification
203759_at	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase	-1.2	protein modification
209391_at	DPM2	Dolichol phosphate-mannose biosynthesis regulatory protein.	-1.2	protein modification
201618_x_at	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein (GPI anchor attachment protein 1)	-1.1	protein modification
219408_at	ANMX_HUMAN	Protein arginine N-methyltransferase	-1.06	protein modification
200988_s_at	PSME3	Proteasome activator complex subunit 3 (Proteasome activator 28-gamma subunit)	-2.3	ubiquitin cycle (protein modification)
215068_s_at	FBXL18	F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18).	-1.91	ubiquitin cycle (protein modification)
218875_s_at	FBXO5	F-box only protein 5 (Early mitotic inhibitor 1).	-1.89	ubiquitin cycle (protein modification)
204279_at	PSMB9	Proteasome subunit beta type 9 precursor (Proteasome chain 7)	-1.6	ubiquitin cycle (protein modification)
202659_at	PSMB10	Proteasome subunit beta type 10 precursor (Proteasome MECl-1)	-1.59	ubiquitin cycle (protein modification)
219641_at	DET1	DET1 homolog (De-etiolated-1 homolog).	-1.41	ubiquitin cycle (protein modification)
205356_at	USP13	Ubiquitin carboxyl-terminal hydrolase 13 (Ubiquitin thiolesterase 13)	-1.21	ubiquitin cycle (protein modification)
212987_at	FBXO9	F-box only protein 9 (NY-REN-57 antigen) (Cross-immune reaction antigen 1).	-1.19	ubiquitin cycle (protein modification)
221044_s_at	TRIM6	Tripartite motif protein 6 (RING finger protein 89).	-1.16	ubiquitin cycle (protein modification)
219211_at	USP18	Ubl carboxyl-terminal hydrolase 18	-1.08	ubiquitin cycle (protein modification)
205596_s_at	SMURF2	Smad ubiquitination regulatory factor 2 (Ubiquitin-- protein ligase SMURF2)	-1.02	ubiquitin cycle (protein modification)
212448_at	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like protein	-1.01	ubiquitin cycle (protein modification)
204284_at	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	-2.67	protein amino acid dephosphorylation (protein modification)
203555_at	PTPN18	Tyrosine-protein phosphatase non-receptor type 18	-1.61	protein amino acid dephosphorylation (protein modification)
203029_s_at	PTPRN2	Receptor-type tyrosine-protein phosphatase N2 precursor	-1.35	protein amino acid dephosphorylation (protein modification)
213511_s_at	MTMR1	Myotubularin-related protein 1	-1.01	protein amino acid dephosphorylation (protein modification)
217853_at	TNS3	tensin-like SH2 domain containing 1	-1.01	protein amino acid dephosphorylation (protein modification)
201939_at	PLK2	Serine/threonine-protein kinase PLK2 (Polo-like kinase 1)	-2	protein amino acid phosphorylation (protein modification)
218318_s_at	NLK	Serine/threonine kinase NLK (Nemo-like kinase)	-1.67	protein amino acid phosphorylation (protein modification)
220987_s_at	NUAK2	NUAK family, SNF1-like kinase, 2	-1.55	protein amino acid phosphorylation (protein modification)
202530_at	MAPK14	Mitogen-activated protein kinase 14 (MAP kinase p38 alpha)	-1.42	protein amino acid phosphorylation (protein modification)
203836_s_at	MAP3K5	Mitogen-activated protein kinase kinase kinase 5 (MEKK 5)(ASK-1).	-1.28	protein amino acid phosphorylation (protein modification)
203801_at	MRPS14	Mitochondrial 28S ribosomal protein S14	-1.87	protein biosynthesis
216593_s_at	PIGC	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	-1.46	protein biosynthesis
203777_s_at	RPS6KB2	Ribosomal protein S6 kinase 2 (70 kDa ribosomal protein S6 kinase 2)	-1.36	protein biosynthesis
221692_s_at	MRPL34	39S ribosomal protein L34, mitochondrial precursor	-1.18	protein biosynthesis
201632_at	EIF2B1	Translation initiation factor eIF-2B alpha subunit (eIF-2B GDP-GTP exchange factor).	-1.16	protein biosynthesis
209707_at	PIGK	GPI-anchor transamidase precursor (GPI transamidase)	-1.14	protein biosynthesis
214711_at	15E2_HUMAN	Putative protein 15E1.2.	-1.14	protein biosynthesis
214991_s_at	PIGO	Phosphatidylinositol-glycan biosynthesis, class O protein	-1.09	protein biosynthesis
216602_s_at	FARSLA	Phenylalanyl-tRNA synthetase alpha chain	-1.07	protein biosynthesis
