ID	P.Value	FC	Gene Symbol	Gene Name
204719_at	9.67E-05	6.3989	ABCA8	ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 8
205907_s_at	1.84E-04	6.0441	OMD	OSTEOMODULIN
221841_s_at	1.12E-04	5.6157	KLF4	KRUPPEL-LIKE FACTOR 4 (GUT)
211896_s_at	6.57E-05	5.3074	DCN	DECORIN
202409_at	2.05E-04	5.3061	C11ORF43	CHROMOSOME 11 OPEN READING FRAME 43
209335_at	2.45E-04	5.1019	DCN	DECORIN
209292_at	1.28E-04	5.0969	ID4	INHIBITOR OF DNA BINDING 4, DOMINANT NEGATIVE HELIX-LOOP-HELIX PROTEIN
206101_at	1.83E-04	5.0700	ECM2	EXTRACELLULAR MATRIX PROTEIN 2, FEMALE ORGAN AND ADIPOCYTE SPECIFIC
206373_at	8.05E-05	4.5235	ZIC1	ZIC FAMILY MEMBER 1 (ODD-PAIRED HOMOLOG, DROSOPHILA)
211742_s_at	8.28E-05	4.4841	EVI2B	ECOTROPIC VIRAL INTEGRATION SITE 2B
206100_at	3.58E-05	4.3504	CPM	CARBOXYPEPTIDASE M
204457_s_at	9.77E-04	4.2875	GAS1	GROWTH ARREST-SPECIFIC 1
211813_x_at	5.88E-05	4.2649	DCN	DECORIN
201893_x_at	3.97E-05	4.2531	DCN	DECORIN
213975_s_at	9.53E-04	4.2301	LILRB1 / LYZ	LEUKOCYTE IMMUNOGLOBULIN-LIKE RECEPTOR, SUBFAMILY B; LYSOZYME (RENAL AMYLOIDOSIS)
205608_s_at	2.48E-07	4.2236	ANGPT1	ANGIOPOIETIN 1
218418_s_at	1.60E-06	4.2142	ANKRD25	ANKYRIN REPEAT DOMAIN 25
202403_s_at	4.28E-04	4.2031	COL1A2	COLLAGEN, TYPE I, ALPHA 2
208451_s_at	1.34E-04	4.1915	C4A / C4B	COMPLEMENT COMPONENT 4A (RODGERS BLOOD GROUP)
203042_at	2.14E-05	4.1637	LAMP2	LYSOSOMAL-ASSOCIATED MEMBRANE PROTEIN 2
203186_s_at	2.78E-04	4.1131	S100A4	S100 CALCIUM BINDING PROTEIN A4 (CALCIUM PROTEIN, CALVASCULIN, METASTA...
220467_at	2.76E-04	4.0945	FLJ21272	HYPOTHETICAL PROTEIN FLJ21272
213388_at	6.10E-05	4.0204	PDE4DIP	PHOSPHODIESTERASE 4D INTERACTING PROTEIN (MYOMEGALIN)
201427_s_at	1.72E-04	3.9315	SEPP1	SELENOPROTEIN P, PLASMA, 1
214428_x_at	1.51E-04	3.9157	C4A / C4B	COMPLEMENT COMPONENT 4A (RODGERS BLOOD GROUP)
204324_s_at	2.10E-04	3.8230	GOLPH4	GOLGI PHOSPHOPROTEIN 4
204223_at	1.41E-04	3.7802	PRELP	PROLINE/ARGININE-RICH END LEUCINE-RICH REPEAT PROTEIN
49452_at	1.90E-04	3.7720	ACACB	ACETYL-COENZYME A CARBOXYLASE BETA
209369_at	6.77E-04	3.6915	ANXA3	ANNEXIN A3
221731_x_at	4.13E-05	3.6023	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
213056_at	6.76E-05	3.5538	FRMD4B	FERM DOMAIN CONTAINING 4B
221698_s_at	6.88E-04	3.5378	CLEC7A	C-TYPE LECTIN DOMAIN FAMILY 7, MEMBER A
213592_at	3.73E-04	3.5042	AGTRL1	ANGIOTENSIN II RECEPTOR-LIKE 1
215646_s_at	4.06E-06	3.4957	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
201525_at	1.95E-06	3.4671	APOD	APOLIPOPROTEIN D
203799_at	2.25E-04	3.4349	CD302	CD302 ANTIGEN
206307_s_at	5.33E-04	3.4225	FOXD1	FORKHEAD BOX D1
217985_s_at	5.35E-05	3.4084	BAZ1A	BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN, 1A
201141_at	5.46E-04	3.4029	GPNMB	GLYCOPROTEIN (TRANSMEMBRANE) NMB
209987_s_at	8.27E-05	3.4005	ASCL1	ACHAETE-SCUTE COMPLEX-LIKE 1 (DROSOPHILA)
218236_s_at	3.73E-04	3.4001	PRKD3	PROTEIN KINASE D3
211571_s_at	7.67E-06	3.3984	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
218162_at	2.91E-04	3.3743	OLFML3	OLFACTOMEDIN-LIKE 3
204620_s_at	4.72E-05	3.3659	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
203041_s_at	4.64E-04	3.3586	LAMP2	LYSOSOMAL-ASSOCIATED MEMBRANE PROTEIN 2
201617_x_at	7.21E-04	3.3145	CALD1	CALDESMON 1
214129_at	4.19E-05	3.3064	PDE4DIP	PHOSPHODIESTERASE 4D INTERACTING PROTEIN (MYOMEGALIN)
222240_s_at	2.14E-05	3.2787	ISYNA1	MYO-INOSITOL 1-PHOSPHATE SYNTHASE A1
213158_at	9.53E-04	3.2720	NA	,CONSENSUS INCLUDES GB:AA045174 /FEA=EST /DB_XREF=GI:1523376 /DB_XREF=
206637_at	1.26E-04	3.2580	P2RY14	PURINERGIC RECEPTOR P2Y, G-PROTEIN COUPLED, 14
203706_s_at	2.33E-04	3.2489	FZD7	FRIZZLED HOMOLOG 7 (DROSOPHILA)
217678_at	8.91E-04	3.2444	SLC7A11	SOLUTE CARRIER FAMILY 7, (CATIONIC AMINO ACID TRANSPORTER, Y+ SYSTEM) ...
211986_at	3.30E-04	3.2028	AHNAK	AHNAK NUCLEOPROTEIN (DESMOYOKIN)
213156_at	4.82E-04	3.1907	NA	,CONSENSUS INCLUDES GB:BG251521 /FEA=EST /DB_XREF=GI:12761337 /DB_XREF
43427_at	1.06E-04	3.1877	ACACB	ACETYL-COENZYME A CARBOXYLASE BETA
205932_s_at	1.41E-04	3.1645	MSX1	MSH HOMEOBOX HOMOLOG 1 (DROSOPHILA)
220170_at	9.85E-04	3.1603	FHL5	FOUR AND A HALF LIM DOMAINS 5
211726_s_at	1.08E-04	3.1500	FMO2	FLAVIN CONTAINING MONOOXYGENASE 2
209154_at	2.13E-05	3.1065	TAX1BP3	TAX1 (HUMAN T-CELL LEUKEMIA VIRUS TYPE I) BINDING PROTEIN 3
205173_x_at	3.38E-04	3.0995	CD58	CD58 ANTIGEN, (LYMPHOCYTE FUNCTION-ASSOCIATED ANTIGEN 3)
204646_at	8.80E-04	3.0937	DPYD	DIHYDROPYRIMIDINE DEHYDROGENASE
208965_s_at	7.91E-04	3.0627	IFI16	INTERFERON, GAMMA-INDUCIBLE PROTEIN 16
201280_s_at	4.33E-04	3.0537	DAB2	DISABLED HOMOLOG 2, MITOGEN-RESPONSIVE PHOSPHOPROTEIN (DROSOPHILA)
219167_at	3.79E-04	3.0335	RASL12	RAS-LIKE, FAMILY 12
211959_at	7.79E-04	3.0239	IGFBP5	INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 5
219602_s_at	9.93E-04	3.0221	FAM38B	FAMILY WITH SEQUENCE SIMILARITY 38, MEMBER B
213075_at	1.99E-04	3.0112	OLFML2A	OLFACTOMEDIN-LIKE 2A
