symbol	hNCC PA score	hNCC tpm	HES3 tpm	HES4 tpm
AMIGO3	6.91	20	0	0
C10ORF85	6.91	20	0	0
DKFZP761N09121	6.91	20	0	0
DNAH1	6.91	20	0	0
FAM70B	6.91	20	0	0
FLJ16139	6.91	20	0	0
FLJ20345	6.91	20	0	0
FLJ31295	6.91	20	0	0
FLJ31438	7.6	40	0	0
FLJ40126	6.91	20	0	0
GABRR3	6.91	20	0	0
HIST1H1D	6.91	20	0	0
HIST1H2BE	6.91	20	0	0
HIST1H2BJ	6.91	20	0	0
HIST1H3B	6.91	20	0	0
HIST1H4F	6.91	20	0	0
HMFN0672	7.6	40	0	0
HOXC5	8.52	99	0	0
HOXD9	6.91	20	0	0
KCNG2	6.91	20	0	0
KIAA1822L	6.91	20	0	0
LOC255177	6.91	20	0	0
LOC352909	6.91	20	0	0
LOC400340	6.91	20	0	0
LOC401021	6.91	20	0	0
LOC401485	6.91	20	0	0
LOC440502	6.91	20	0	0
LOC440993	6.91	20	0	0
LOC441053	6.91	20	0	0
LOC493860	6.91	20	0	0
MGC16372	6.91	20	0	0
MGC48915	6.91	20	0	0
PP3856	6.91	20	0	0
PRDM12	8.01	59	0	0
PRH1	6.91	20	0	0
RHEBL1	6.91	20	0	0
SH3GLP2	6.91	20	0	0
STOX2	6.91	20	0	0
TIGD3	6.91	20	0	0
UCN	6.91	20	0	0
WNT7A	7.6	40	0	0
ZNF157	6.91	20	0	0
ZNF417	7.6	40	0	0
ACBD7	6.91	20	0	5
ADAMTS16	6.91	20	0	5
D21S2088E	6.91	20	0	5
FLJ45079	6.91	20	0	5
HIST1H1E	6.91	20	0	5
INSM1	6.91	20	0	5
KIAA0889	7.6	40	0	5
LOC283731	7.6	40	0	5
OR2A9P	6.91	20	0	5
RPRM	6.91	20	0	5
TRIM61	6.91	20	0	5
ZNF426	7.6	40	0	5
LOC390980	7.6	40	0	10
MTMR11	6.91	20	0	10
TMTC4	8.29	79	0	10
C1ORF83	6.91	20	0	14
C20ORF160	6.91	20	5	0
FLJ45850	6.91	20	5	0
FLJ90166	7.6	40	5	0
GDF6	6.91	20	5	0
HOXB9	9.11	178	5	0
KIAA1817	6.91	20	5	0
LOC220074	6.91	20	5	0
MGC4767	6.91	20	5	0
FLJ10560	7.6	40	5	5
FLJ20291	6.91	20	5	5
FLJ45950	7.6	40	5	5
GTF2IP1	6.91	20	5	5
INHBE	6.91	20	5	5
LOC113655	6.91	20	5	5
MGC33867	6.91	20	5	5
PHF21B	6.91	20	5	5
SHRM	6.91	20	5	5
TMEM116	7.6	40	5	5
ZNF454	7.6	40	5	5
CEP68	6.91	20	5	10
FLJ10945	8.01	59	5	10
LOC161527	6.91	20	5	10
	6.91	20	5	10
SPSB4	8.29	79	5	10
ST6GALNAC3	6.91	20	5	10
FGD1	7.6	40	5	14
SETD1B	8.29	79	5	14
ZNF667	9.21	198	5	19
ARL10	8.01	59	5	29
KIF15	6.91	20	10	0
SRG	6.91	20	10	0
UPK2	6.91	20	10	0
C2ORF15	7.6	40	10	5
FAM57B	7.6	40	10	5
IGF2BP1	6.91	20	10	5
SOX3	9.21	198	10	5
TM4SF6	7.6	40	10	5
LOC254848	8.01	59	10	14
MGC35402	8.29	79	10	14
SYT6	6.91	20	10	19
ZNF669	8.01	59	10	38
TCF15	6.91	20	15	0
ARL4D	6.91	20	15	5
C20ORF127	6.91	20	15	10
MPRA	6.91	20	15	10
ZNF660	7.6	40	15	10
PROCR	8.01	59	15	14
MTERFD1	6.91	20	15	24
FOXD3	7.6	40	19	5
RAB42	7.6	40	19	5
C17ORF62	6.91	20	19	10
ADAMTS7	6.91	20	24	5
LOC440395	8.01	59	34	43
FZD2	8.29	79	39	5
C16ORF59	6.91	20	49	33
PAP2D	8.85	139	49	33
SLCO5A1	10.24	554	83	5
LOC339231	8.29	79	88	67
INT1	6.91	20	161	57
LOC400948	8.52	99	234	139
