GeneName	Description	Function
ADK	Adenosine kinase	DNA metabolism and replication
CDC45L	Cell division cycle 45 like	DNA metabolism and replication
DTYMK	Deoxythymidylate kinase (dTMP kinase)	DNA metabolism and replication
FEN1	Flap structure specific endonuclease 1	DNA metabolism and replication
H2AFZ	H2A histone family Z	DNA metabolism and replication
KIAA0101	The PCNA-associated factor KIAA0101/p15(PAF)	DNA metabolism and replication
MCM2	Mini chromosome maintenance deficient 2	DNA metabolism and replication
MCM3	Minichromosome maintenance deficient 3	DNA metabolism and replication
MCM7	Minichromosome maintenance deficient 7	DNA metabolism and replication
RRM1	Ribonucleotide reductase M1 subunit,	DNA metabolism and replication
RRM2	Ribonucleotide reductase subunit M2,	DNA metabolism and replication
TYMS	Thymidylate synthetase	DNA metabolism and replication
UHRF1	Nuclear protein 95	DNA metabolism and replication
ANKT	nucleolar and spindle associated protein 1	Cell cycle and mitosis
BIRC5	Survivin	Cell cycle and mitosis
CCNA2	Cyclin A2	Cell cycle and mitosis
CDC2	Cell division cycle 2	Cell cycle and mitosis
CDCA5	cell division cycle associated 5	Cell cycle and mitosis
KNSL6	Mitotic centromere-associated kinesin (kinesin-like 6)	Cell cycle and mitosis
PRC1	Protein regulator of cytokinesis 1	Cell cycle and mitosis
STMN1	Stathmin 1 (oncoprotein 18)	Cell cycle and mitosis
TOPK	PDZ-binding kinase	Cell cycle and mitosis
UBE2C	Ubiquitin-conjugating enzyme E2C	Cell cycle and mitosis
ZWINT	ZW10 interactor	Cell cycle and mitosis
DKFZp762E1312	Protein of unknown function	Miscellaneous
I_932099	Protein with high similarity to human HNRPA1,	Miscellaneous
ID1	Inhibitor of DNA binding 1	Miscellaneous
KPNA2	Karyopherin alpha 2 (importin alpha 1),	Miscellaneous
LOXL2	Lysyl oxidase-like 2	Miscellaneous
p100	EBNA-2 co-activator (100 kD)	Miscellaneous
SPOCK	Testican	Miscellaneous
TSSC3	Tumor suppressing subtransferable candidate 3	Miscellaneous
UBE2T	ubiquitin-conjugating enzyme E2T	Miscellaneous
