Gene	Affymetrix U133 Plus 2 probe set	R
FKSG2	208588_at	0.372
ZNF703	222760_at	0.21
SPFH2	221543_s_at	0.771
PROSC	209385_s_at	0.929
GPR124	65718_at	0.305
BRF2	218955_at	0.641
RAB11FIP1	219681_s_at	0.347
GOT1L1	1553879_a_at	0.305
ADRB3	206812_at	0.146
EIF4EBP1	221539_at	0.677
ASH2L	209517_s_at	0.921
STAR	204548_at	?0.310
LSM1	203534_at	0.864
BAG4	222909_s_at	0.803
DDHD2	225318_at	0.918
PPAPDC1B	223569_at	0.552
WHSC1L1	224076_s_at	0.925
LETM2	1552546_a_at	0.209
FGFR1	222164_at	0.38
TACC1	1554690_a_at	0.497
PLEKHA2	217677_at	0.292
HTRA4	1553706_at	?0.228
TM2D2	224413_s_at	0.299
ADAM9	1570042_a_at	0.433
ADAM32	1552266_at	0.235
ADAM18	1568970_at	0.013
ADAM2	207664_at	0.086
INDO	1568638_a_at	0.201
