Accession Number	Gene Symbol	Combined Fold Change
NM_000546	TP53	0.28
NM_000389	CDKN1A	0.3
NM_033285	TP53INP1	0.4
NM_001613	ACTA2	0.43
NM_006763	BTG2	0.45
NM_004110	FDXR	0.46
NM_015920	RPS27L	0.48
NM_014454	SESN1	0.48
NM_145263	SPATA18	0.49
NM_030778	CYFIP2	0.5
RSE_00000570937	NA	0.51
NM_006074	TRIM22	0.53
NM_004306	ANXA13	0.54
NM_014376	CYFIP2	0.54
NM_000107	DDB2	0.54
NM_005541	INPP5D	0.55
Contig565_RC	NA	0.55
NM_014417	BBC3	0.56
NM_054111	IHPK3	0.56
NM_004864	GDF15	0.57
NM_012396	PHLDA3	0.57
Contig6654_RC	NA	0.57
AF119865	SLCO4C1	0.58
Contig52320	NA	0.58
Contig56093_RC	NA	0.58
NM_001872	CPB2	0.59
NM_145740	GSTA1	0.59
NM_152240	ZMAT3	0.59
NM_015713	RRM2B	0.6
NM_018837	SULF2	0.61
NM_005755	EBI3	0.62
NM_152873	FAS	0.62
NM_000354	SERPINA7	0.62
Contig53281_RC	NA	0.62
NM_173076	ABCA12	0.63
NM_003236	TGFA	0.63
NM_024114	NA	0.63
NM_032739	NA	0.63
Contig43039_RC	ALOX5	0.64
NM_138763	BAX	0.64
NM_003820	TNFRSF14	0.64
AK022869	RPS6KA3	0.65
NM_138809	CMBL	0.66
NM_058186	FAM3B	0.67
NM_001924	GADD45A	0.67
NM_018194	HHAT	0.67
Contig56154_RC	MIB1	0.67
NM_020774	MIB1	0.67
NM_004171	SLC1A2	0.67
NM_020375	C12orf5	0.68
NM_000177	GSN	0.68
NM_000715	C4BPA	0.69
NM_024430	PSTPIP2	0.69
Contig54534_RC	NA	0.69
Contig32775_RC	NA	0.69
NM_004060	CCNG1	0.7
NM_001252	CD70	0.7
NM_174934	SCN4B	0.7
NM_153365	TAPT1	0.7
Contig47629_RC	NA	0.7
NM_001153	ANXA4	0.71
NM_000043	FAS	0.71
NM_014920	ICK	0.71
NM_145886	LRDD	0.71
NM_004999	MYO6	0.71
Contig34789	PAG1	0.71
NM_003463	PTP4A1	0.71
NM_031459	SESN2	0.71
Contig40920	AK3L1	0.72
Contig37598	ALDH6A1	0.72
NM_052880	PIK3IP1	0.72
NM_002734	PRKAR1A	0.72
NM_020211	RGMA	0.72
NM_016551	TM7SF3	0.72
NM_152435	AMDHD1	0.73
NM_001888	CRYM	0.73
Contig52579_RC	FAM84B	0.73
NM_005542	INSIG1	0.73
NM_181714	LCA5	0.73
NM_139177	SLC39A11	0.73
NM_004099	STOM	0.73
Contig30032_RC	XDH	0.73
AL133611	NA	0.73
R96610_RC	AKR1C1	0.74
NM_080821	C20orf108	0.74
NM_021151	CROT	0.74
NM_152640	DCP1B	0.74
NM_001345	DGKA	0.74
Contig1030_RC	DOCK8	0.74
AK056809	ISG20L1	0.74
NM_052937	PCMTD1	0.74
Contig17008_RC	SLC2A3P1	0.74
Contig45618_RC	NA	0.74
NM_001080	ALDH5A1	0.75
NM_006828	ASCC3	0.75
NM_015198	COBL	0.75
NM_001082	CYP4F2	0.75
NM_019000	FAM134B	0.75
NM_018284	GBP3	0.75
NM_012198	GCA	0.75
Contig52430_RC	NEGR1	0.75
NM_016606	REEP2	0.75
NM_007111	TFDP1	0.75
NM_152288	TMEM142C	0.75
NM_147187	TNFRSF10B	0.75
NM_007233	TP53AP1	0.75
NM_022767	TRIM48	0.75
Contig46452_RC	ZBTB41	0.75
NM_031279	AGXT2L1	0.76
NM_152327	AK7	0.76
NM_004354	CCNG2	0.76
NM_024637	GAL3ST4	0.76
NM_014278	HSPA4L	0.76
NM_002314	LIMK1	0.76
NM_130843	PTPRN2	0.76
NM_080860	RSPH1	0.76
NM_001036	RYR3	0.76
NM_014553	TFCP2L1	0.76
NM_014607	UBXD2	0.76
NM_017684	VPS13C	0.76
Contig55789_RC	NA	0.76
AL137347	NA	0.76
Contig41198_RC	NA	0.76
NM_018370	NA	0.76
NM_000092	COL4A4	0.77
NM_015381	FAM19A5	0.77
NM_002997	SDC1	0.77
NM_016084	RASD1	1.3
NM_005953	MT2A	1.31
NM_003104	SORD	1.31
NM_178012	TUBB2B	1.31
NM_006226	PLCL1	1.32
NM_002906	RDX	1.32
NM_130469	NA	1.33
NM_020311	CXCR7	1.34
NM_138961	ESAM	1.34
NM_002318	LOXL2	1.34
NM_032827	ATOH8	1.35
NM_022161	BIRC7	1.35
NM_021190	PTBP2	1.36
NM_002546	TNFRSF11B	1.36
NM_004527	MEOX1	1.38
Contig55497_RC	NA	1.39
NM_001029	RPS26	1.4
Contig4595	NA	1.4
AF306939	NUCKS1	1.41
NM_022083	FAM129A	1.42
NM_001955	EDN1	1.43
NM_012385	NA	1.43
Contig25524_RC	PLCXD3	1.44
NM_004418	DUSP2	1.47
NM_000366	TPM1	1.53
NM_006017	PROM1	1.59
NM_001885	CRYAB	1.63
NM_001553	IGFBP7	1.63
NM_002193	INHBB	1.65
NM_181428	BCAS4	1.68
NM_013999	MEOX1	1.77
NM_013372	GREM1	1.8
NM_021109	TMSB4X	1.97
