Gene symbol	MTS+/MTS? (breast)	MTS+/MTS? (lung)
ADA	1.37	1.3
ASPM	1.46	4.51
BUB1B	1.27	3.36
CDC20	1.66	5.93
CENPE	1.32	2.11
CST3	0.81	0.74
CTSC	2.23	1.19
DHCR7	1.55	1.33
ECT2	1.37	2.45
FADS1	1.33	1.45
FAM64A	2.07	1.63
FDPS	1.25	1.2
GBP2	1.45	1.44
IDI1	1.47	1.19
IFI44L	2.97	1.58
IMPA1	1.26	1.24
ISG15	3.34	1.8
KIF20A	2.24	3.7
MKI67	1.2	1.71
MTHFD1	1.24	1.49
NET1	1.22	1.26
NSDHL	1.25	1.14
PGD	1.21	1.3
PSAT1	1.34	1.18
RNASE4	0.58	0.66
RRM2	1.45	3.22
SIDT2	0.87	0.85
SLIT2	0.75	0.7
SOAT1	1.38	1.34
SQLE	1.56	1.37
STAT1	2.46	1.67
TFRC	1.47	1.55
UBD	2.9	1.78
UBL3	0.74	0.81
VCAM1	2.09	1.61
