Symbol	Cytoband	SWS	P-value
MCL1	1q21	5.1	3.30E-07
IGF2BP3	7p11	-5	5.20E-07
KRAS	12p12.1	5	7.10E-07
PRNPIP	1p32	-4.9	8.00E-07
FTSJ2	7p22	-4.9	8.30E-07
SNRPD3	22q11.23	-4.8	2.00E-06
KIAA1033	12q24.11	4.7	2.80E-06
RHOB	2p24	4.7	2.90E-06
MED18	1p35.3	-4.6	3.60E-06
PAC 886K2	1p36.11	-4.5	7.30E-06
LANCL2	7q31.1-q31.33	-4.5	8.10E-06
USP2	11q23.3	-4.5	8.40E-06
FOXRED2	22q12.3	-4.4	1.30E-05
RPL13A	19q13.3	4.3	1.50E-05
SMPDL3A	6q22.31	4.3	1.60E-05
STK24	13q31.2-q32.3	4.3	1.60E-05
MAFF	22q13.1	4.3	1.70E-05
NXPH4	12q13.3	-4.3	1.80E-05
C7orf30	7p15.3	-4.3	2.00E-05
LOC81691	16p12.2	-4.3	2.00E-05
SNHG3-RCC1	1p36.1	-4.3	2.00E-05
TRMT5	14q23.1	-4.3	2.00E-05
PPIE	1p32	-4.2	2.10E-05
IVNS1ABP	1q25.1-q31.1	4.2	2.20E-05
DUSP6	12q22-q23	4.2	2.30E-05
