Component	Gene Symbol	Fold
QV1-UM0099-147-F08	SUMF1	-3.778092335
RC3-CI0043-014-A12	BAMBI	-3.632699356
CM1-HT0760-252-D12	SQRDL	-3.288589374
MR4-UM0115-203-F10	NENF	-3.238234216
MR0-HT0559-029-F02	DCUN1D4	-3.153528676
PM0-GN0344-008-F08	TIMM17A	-3.014601326
RC3-CI0042-021-C09	C10orf54	-2.92647825
CM0-CN0039-231-F08		-2.787887646
MR4-UM0021-007-E10		-2.637604543
QV2-ST0296-439-A04	EIF1B	-2.505545378
CM1-FT0045-270-B07		-2.495924536
CM1-BN0178-289-F08	C19orf43	-2.425258768
RC2-UM0050-017-D07	GTF2E2	-2.374533615
RC4-BN0408-012-F06		-2.26542023
QV3-OT0065-264-C02	LITAF	-2.26027463
CM0-BN0103-296-H05	TTRAP	-2.245826648
IL0-HT0203-128-A02	TMEM164	-2.139065907
MR3-ST0203-024-F08	CDKN1B	-2.099492088
MR0-BN0115-006-G03	CTGF	-2.021318912
MR0-UT0047-302-A01	HNRPU	2.09447764
MR2-EN0094-008-A02		2.182626928
PM0-CT0263-005-E08		2.634564847
MR3-NN0217-010-A04	TACC1	5.605311229
