Name	Description
MITF	microphthalmia-associated transcription factor
VCAM1	vascular cell adhesion molecule 1
PPARG	peroxisome proliferator-activated receptor gamma
RARA	retinoic acid receptor, alpha
CD36	CD36 molecule (thrombospondin receptor)
MLYCD	malonyl-CoA decarboxylase
PPARA	peroxisome proliferator-activated receptor alpha
GADD45A	growth arrest and DNA-damage-inducible, alpha
PPARD	peroxisome proliferator-activated receptor delta
TBX2	T-box 2
GDF15	growth differentiation factor 15
ACAA1	acetyl-Coenzyme A acyltransferase 1A
CPT1A	carnitine palmitoyltransferase 1A (liver)
NFE2L2	nuclear factor (erythroid-derived 2)-like 2
RXRG	retinoid X receptor gamma
ACSL1	acyl-CoA synthetase long-chain family member 1
PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
TSC22D1	TSC22 domain family, member 1
STK39	serine/threonine kinase 39, STE20/SPS1 homolog (yeast)
NR1D2	nuclear receptor subfamily 1, group D, member 2
PDK4	pyruvate dehydrogenase kinase, isozyme 4
CYP27A1	cytochrome P450, family 27, subfamily a, polypeptide 1
CPT1B	carnitine palmitoyltransferase 1b, muscle
ACADL	acetyl-Coenzyme A dehydrogenase, long-chain
ACOX2	acyl-Coenzyme A oxidase 2, branched chain
ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain
