PrimSeqName	Entrez Gene ID	Family	Foldchange Paz	Foldchange Lap	Foldchange Paz+Lap	Foldchange Paz+Lap vs. Paz	Foldchange Paz+Lap vs. Lap
AK097214			-1	-1	-8.24	724.12%	724.12%
EPPK1	83481	other	1.5	-1.18	7.01	366.96%	692.27%
CDH4	1002	other	1.36	-1.48	5.66	316.97%	481.41%
MON2	23041	other	1.09	-1.04	3.45	217.52%	430.69%
A_23_P2032			1.31	-1.29	4.02	206.75%	412.89%
SLC16A6	9120	transporter	1.16	-1.1	3.18	175.48%	390.06%
LMNB1	4001	other	1	1.11	-2.77	377.04%	349.69%
AK057015			-1.29	1.09	-3	132.39%	375.41%
EGFR	1956	kinase	1.08	-1.19	3.12	189.80%	363.31%
CR590180			1.65	-1.05	2.75	66.31%	361.59%
ZNF507	22847	other	-1.2	1.21	2.8	332.43%	131.39%
VPS13B	157680	transporter	-1.1	-1.08	2.47	325.33%	328.13%
PRDM1	639	transcription regulator	1.2	-1.2	2.71	124.97%	325.03%
LOC149134	149134	other	-1.03	1.01	-2.27	121.25%	323.80%
IFNAR2	3455	transmembrane receptor	-1.26	1.08	-2.41	90.91%	323.46%
ZNF19	7567	transcription regulator	1.05	-1.19	2.61	149.00%	319.42%
EGR1	1958	transcription regulator	1.12	-1.14	-2.43	316.43%	112.04%
LOC283788	283788	other	-1.01	1.19	-2.52	150.62%	311.57%
CLDN12	9069	other	-1.03	1.58	2.16	310.59%	36.49%
AK092379			-1.11	1.11	2.31	309.12%	108.92%
CDADC1	81602	kinase	1.04	1.04	-2.12	303.69%	304.57%
VCPIP1	80124	peptidase	-1.12	1	-2.04	83.28%	304.15%
ZC3H13	23091	other	1.31	-1.22	2.49	89.87%	303.42%
LOC644353			-1	-1.42	-4.02	302.23%	183.32%
AB040974			1.04	1.01	-2.03	295.11%	300.83%
ZCCHC2	54877	other	-1.43	1.15	-2.27	58.56%	297.65%
HIST1H1B	3009	other	1.02	1.3	-1.99	295.12%	252.68%
C6orf167	253714	other	1.14	-1.08	2.08	83.09%	293.37%
PTCH1	5727	transmembrane receptor	-1.03	1.02	-1.94	88.64%	289.84%
