Gene symbol	Gene Title	% CAP detection	% MSC detection	% NHDF detection
AGGF1	Angiogenic factor with G patch and FHA domain 1	100	100	100
ANG	Angiogenin, ribonuclease, RNase A family	100	67	100
ANGPT1	Angiopoietin 1	100	100	100
ANGPTL4	Angiopoietin-like 4	100	100	33
ANPEP	Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	100	100	100
APOLD1	Apolipoprotein L domain containing 1 /// apolipoprotein L domain containing 1	100	100	33
ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	100	100	100
CANX	Calnexin /// calnexin	100	100	100
COL15A1	Collagen, type XV, alpha 1	100	0	100
CSPG4	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	67	0	100
EMCN	Endomucin	100	0	0
EPAS1	Endothelial PAS domain protein 1	33	100	100
EREG	Epiregulin	67	100	33
FGF1	Fibroblast growth factor 1 (acidic)	67	100	33
FGF2	Fibroblast growth factor 2 (basic)	100	100	100
HTATIP2	HIV-1 Tat interactive protein 2, 30 kDa	100	100	33
IL8	Interleukin 8	100	100	100
JAG1	Jagged 1 (Alagille syndrome)	100	100	100
KDR	Kinase insert domain receptor (a type III receptor tyrosine kinase)	100	0	0
MMP19	Matrix metallopeptidase 19	100	100	100
NARG1	NMDA receptor regulated 1	100	100	100
NRP1	Neuropilin 1	100	100	100
NRP2	Neuropilin 2	100	100	100
PGF	Placental growth factor, vascular endothelial growth factor related protein	100	100	100
RHOB	Ras homolog gene family, member B	100	100	100
RNASE4	Ribonuclease, RNase A family, 4	100	100	100
ROBO4	Roundabout homolog 4, magic roundabout (Drosophila)	100	0	0
SCG2	Secretogranin II (chromogranin C)	100	100	0
SHB	Src homology 2 domain containing adaptor protein B	100	0	33
TGFB2	Transforming growth factor, beta 2	100	33	33
THY1	Thy-1 cell surface antigen	0	100	100
TNFAIP2	Tumor necrosis factor, alpha-induced protein 2	100	33	100
TNFRSF12A	Tumor necrosis factor receptor superfamily, member 12A	100	100	100
TNFSF13	Tumor necrosis factor (ligand) superfamily, member 13 /// tumor necrosis factor (ligand) superfamily, member 12–member 13	100	100	33
VEGF	Vascular endothelial growth factor	100	100	100
VEGFC	Vascular endothelial growth factor C	100	100	100
