Probe set	Symbol	Name	Fold-difference
209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	69.3713517
204014_at	DUSP4	dual specificity phosphatase 4	54.6070289
201141_at	GPNMB	glycoprotein (transmembrane) nmb	52.2907861
212671_s_at	HLA-DQA1 /// HLA-DQA2 /// LOC650946	major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 2 /// similar to HLA class II histocompatibility antigen, DQ(1) alpha chain precursor (DC-4 alpha chain)	48.9795417
210325_at	CD1A	CD1a molecule	48.9522368
202286_s_at	TACSTD2	tumor-associated calcium signal transducer 2	45.8161807
202859_x_at	IL8	interleukin 8	45.66848
203936_s_at	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	43.5581182
1568574_x_at	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	38.9194277
202391_at	BASP1	brain abundant, membrane attached signal protein 1	35.2363616
213524_s_at	G0S2	G0/G1switch 2	29.429147
213002_at	MARCKS	Myristoylated alanine-rich protein kinase C substrate	28.4348504
201670_s_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	25.9673004
226034_at	---	Homo sapiens, clone IMAGE:3881549, mRNA	23.5260935
1561615_s_at	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	22.8180229
203923_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	22.5168903
208894_at	HLA-DRA	major histocompatibility complex, class II, DR alpha /// major histocompatibility complex, class II, DR alpha	21.9906021
200800_s_at	HSPA1A /// HSPA1B	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	21.7777028
211506_s_at	IL8	interleukin 8	21.5866571
213418_at	HSPA6	heat shock 70kDa protein 6 (HSP70B)	20.9252503
212998_x_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1	19.8118539
202581_at	HSPA1B	heat shock 70kDa protein 1B	19.466735
210982_s_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	18.9747102
202241_at	TRIB1	tribbles homolog 1 (Drosophila)	18.1487968
201324_at	EMP1	epithelial membrane protein 1	17.9801276
212657_s_at	IL1RN	interleukin 1 receptor antagonist	17.4888294
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	17.3144589
242809_at	IL1RL1	Interleukin 1 receptor-like 1	17.060626
201888_s_at	IL13RA1	interleukin 13 receptor, alpha 1	16.5447706
203922_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	16.4010793
206214_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) /// phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	16.0806673
203485_at	RTN1	reticulon 1	15.7178464
201669_s_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	15.6662436
202948_at	IL1R1	interleukin 1 receptor, type I	15.4979042
200799_at	HSPA1A	heat shock 70kDa protein 1A	15.2547591
223484_at	C15orf48	chromosome 15 open reading frame 48	14.8605042
211734_s_at	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide /// Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	14.8584355
204670_x_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	14.7765855
215193_x_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	14.7183581
204254_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	14.0580311
1562056_at	---	CDNA FLJ35091 fis, clone PLACE6005786	13.9695353
215561_s_at	IL1R1	interleukin 1 receptor, type I	13.5768233
1555745_a_at	LYZ	lysozyme (renal amyloidosis)	13.4842514
207536_s_at	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	13.4839095
231794_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	13.3954431
221331_x_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	13.3889357
205114_s_at	CCL3 /// CCL3L1 /// CCL3L3 /// LOC643930	chemokine (C-C motif) ligand 3 /// chemokine (C-C motif) ligand 3-like 1 /// chemokine (C-C motif) ligand 3-like 3 /// similar to Small inducible cytokine A3-like 1 precursor (Tonsillar lymphocyte LD78 beta protein) (LD78-beta(1-70)) (G0/G1 switch regulatory protein 19-2) (G0S19-2 protein) (PAT 464.2)	13.3358968
234362_s_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	13.3244437
209312_x_at	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 1	13.0625769
234895_at	CTLA4	cytotoxic T-lymphocyte-associated protein 4	13.053781
205403_at	IL1R2	interleukin 1 receptor, type II	12.9272723
