miRNA	10-11 wga Average	13-14-15 wga Average	21-22 wga Average
hsa-miR-26a	1.8742	1.5472	2.5319
hsa-miR-19b	1.5982	1.1153	0.6507
hsa-miR-126	1.5010	1.9459	2.1653
hsa-miR-125b	1.4483	0.6717	0.8071
hsa-miR-30c	0.7771	0.6793	0.4789
hsa-miR-16	0.6801	0.9190	1.2113
hsa-miR-24	0.6563	0.6198	0.6146
hsa-miR-200c	0.5344	0.8869	0.7939
hsa-miR-199a	0.4665	0.3975	0.3264
hsa-miR-100	0.4308	0.3237	0.3113
hsa-miR-99a	0.3976	0.2815	0.3069
hsa-miR-26b	0.3765	0.2798	0.3159
hsa-miR-594	0.3613	0.2106	0.1237
hsa-miR-127	0.3406	0.3247	0.2009
hsa-miR-20a	0.3386	0.2037	0.1766
hsa-miR-130a	0.2894	0.2294	0.2011
hsa-miR-30b	0.2851	0.3029	0.2096
hsa-miR-30a-5p	0.2722	0.3288	0.2897
hsa-miR-148a	0.2649	0.3627	0.3336
hsa-miR-485-3p	0.2533	0.1717	0.0562
hsa-miR-30d	0.2357	0.3240	0.2850
hsa-miR-200a	0.2245	0.3123	0.1334
hsa-miR-19a	0.2231	0.1788	0.0777
hsa-miR-223	0.2226	0.1664	0.1997
hsa-miR-106b	0.2034	0.1509	0.0993
hsa-miR-331	0.1959	0.1892	0.1425
hsa-miR-375	0.1745	0.8137	0.6972
hsa-miR-197	0.1734	0.1297	0.0831
hsa-miR-191	0.1693	0.1994	0.2092
hsa-miR-93	0.1673	0.1027	0.0789
hsa-miR-27a	0.1441	0.0978	0.0972
hsa-miR-376a	0.1404	0.1615	0.0588
hsa-miR-487b	0.1299	0.1769	0.1138
hsa-miR-15b	0.1278	0.1153	0.1112
hsa-miR-222	0.1269	0.0956	0.0785
hsa-miR-410	0.1156	0.1590	0.0571
hsa-miR-200b	0.1115	0.1232	0.0499
hsa-miR-433	0.1107	0.0913	0.0330
hsa-miR-142-3p	0.1054	0.0877	0.2921
hsa-miR-186	0.1051	0.0882	0.0788
hsa-miR-140	0.0978	0.0853	0.1374
hsa-miR-152	0.0841	0.0734	0.0938
hsa-miR-411	0.0840	0.0882	0.0549
hsa-miR-365	0.0840	0.0892	0.0751
hsa-miR-374	0.0812	0.0747	0.0789
hsa-miR-324-3p	0.0792	0.0571	0.0260
hsa-miR-27b	0.0762	0.0479	0.0397
hsa-miR-10a	0.0757	0.0458	0.0394
hsa-miR-320	0.0697	0.0789	0.1006
hsa-miR-134	0.0626	0.0626	0.0311
hsa-miR-429	0.0586	0.0808	0.0312
hsa-miR-137	0.0576	0.0475	0.0337
hsa-miR-149	0.0538	0.0500	0.0500
hsa-miR-324-5p	0.0526	0.0291	0.0242
hsa-miR-145	0.0522	0.0514	0.0501
hsa-miR-151	0.0513	0.0491	0.0396
hsa-miR-210	0.0500	0.0309	0.0198
hsa-miR-204	0.0499	0.0564	0.1013
hsa-miR-660	0.0480	0.0469	0.0422
hsa-miR-328	0.0476	0.0289	0.0192
hsa-miR-146b	0.0439	0.0416	0.0697
