Gene Sym	9-10-11 wga	15 wga	20-23 wga
ASB1	888.23	1047.15	1069.50
SMPD1	658.97	1086.06	1153.05
CLCN3	1373.05	1701.16	1753.53
ESRRA	365.85	499.23	507.28
TAGLN3	567.85	814.79	826.95
WDFY2	359.58	405.83	415.90
ACOX1	494.35	812.12	883.53
ZNF10	398.50	501.79	525.40
KIAA0774	83.64	370.62	436.74
C4orf19	961.11	1187.85	1240.20
MAP2K3	649.87	1306.31	1302.69
MADD	624.28	716.78	715.75
C11orf9	932.80	1058.92	1055.82
COQ10A	837.55	985.13	978.90
BNIP3	2013.29	3099.83	3048.10
PTPN4	599.82	698.07	692.73
CHGA	7928.90	13969.50	13629.00
SLC1A4	528.02	769.84	755.03
WDR22	940.70	1044.95	1082.94
NELF	656.82	791.20	781.26
F2RL1	243.81	487.75	580.97
STARD10	1361.75	1793.37	1975.29
APOBEC2	213.54	379.41	361.46
DNAJC12	1263.73	1661.74	1837.41
MARCH8	1333.09	2065.00	1978.97
DVL1	531.41	756.92	729.50
DACT2	599.85	795.40	885.69
ARV1	1080.38	1296.78	1267.74
ABHD12	562.44	623.49	613.22
CTDSP1	1586.11	2051.63	1970.89
PDK4	651.26	917.35	865.69
GPR172A	365.98	402.92	425.69
MGAT5	574.70	919.45	850.51
CKMT1A	371.20	468.17	532.30
ARIH2	644.02	725.02	706.40
DBNDD2	716.92	809.07	875.85
NEIL1	154.20	425.74	361.13
REEP4	528.95	571.65	560.96
TRIM14	284.75	506.17	448.81
MAP2K5	415.63	562.51	523.43
MBNL2	1038.13	1242.63	1183.56
CAMKV	286.54	324.99	359.41
CAPN12	244.19	290.81	333.89
TMED3	893.45	1124.91	1054.30
CD48	326.53	519.99	719.76
C1orf142	626.34	670.60	719.47
MOAP1	1519.44	1810.59	1896.75
IFRD2	820.33	1066.79	1133.50
VEGFB	312.65	458.86	498.39
ARHGEF9	847.31	951.81	986.56
DNAJB13	198.49	299.57	326.24
NUP210	321.73	492.40	536.67
SECISBP2	1135.10	1199.70	1224.27
IL16	368.56	485.07	506.99
NR5A2	1197.24	1353.56	1423.81
PXN	1096.20	1184.03	1197.49
CCR7	198.15	568.11	761.02
ITGA7	269.33	412.75	489.05
KIAA1543	176.49	299.46	365.71
CHRM5	268.12	285.76	296.07
COL4A2	5693.32	5758.90	5763.40
ATP8B1	833.13	1264.98	1530.76
ADCK1	398.52	510.23	580.40
ESRRA	365.85	499.23	507.28
TJAP1	1367.92	1383.63	1393.56
RALGPS1	475.64	700.80	711.58
IL22RA1	284.03	1251.88	1296.45
HIP1R	743.41	1431.08	1447.87
WNT6	1348.29	1961.11	1975.06
CCL4	237.17	386.46	492.59
HDC	233.69	306.82	359.52
HERC6	443.90	593.11	588.01
WNK2	455.69	765.13	750.36
CDIPT	2407.98	3067.95	3647.40
SIRT2	764.30	1008.01	996.01
TBC1D10C	80.34	197.77	301.66
TMEM116	699.38	752.70	799.97
SYTL1	400.76	830.89	808.04
CD84	277.51	333.01	383.09
THTPA	669.32	963.72	945.31
PTPRN2	941.70	1254.45	1544.83
ASRGL1	384.28	473.66	559.07
PTPN18	563.92	739.12	911.55
BRD4	802.39	1158.09	1123.23
SFRP5	1050.37	1521.84	1463.33
S100A14	325.70	581.11	541.49
SYN2	383.38	514.51	489.86
BCL2L14	157.23	206.16	279.19
SIRT6	655.17	714.48	803.44
SIRT7	312.80	450.50	420.78
HTATIP2	315.20	360.99	435.37
MAP2K1	1495.38	1673.89	1768.70
PLCB1	928.94	1123.82	1216.26
PCYT1B	885.39	1047.03	1191.12
ROGDI	748.05	852.62	946.72
PRRG4	277.94	375.07	470.95
RAI2	758.81	870.70	988.94
ASB8	774.02	913.50	1087.94
PRR13	1191.82	1304.81	1449.86
MGAT4A	817.56	1167.38	1222.32
RPS6KA5	537.97	589.32	663.46
SIRT6	655.17	714.48	803.44
CHD9	2621.81	2680.78	2688.19
TERF2	877.60	1099.73	1125.77
ST8SIA3	248.00	414.86	431.36
BTD	525.37	701.64	718.15
TNS1	1092.24	1655.88	1708.04
DDX6	195.07	239.74	315.96
CHRNB1	300.38	404.87	412.36
IL17RA	386.46	507.42	750.00
PIPOX	247.92	396.01	392.87
SEC23B	1661.06	2038.28	2026.63
MAP3K13	1982.95	2322.68	2309.55
TES	1572.39	1591.16	1642.26
PCYT1B	885.39	1047.03	1191.12
KMO	123.87	199.81	275.09
CDIPT	2407.98	3067.95	3647.40
GRPR	417.05	480.31	524.45
ZDHHC13	440.81	512.76	607.28
ZNF468	410.16	492.92	605.59
DDX58	596.42	688.61	733.19
TBX6	273.68	422.62	493.70
SETDB2	358.01	475.37	529.67
SMARCA2	1527.99	1619.97	1802.84
SUCLG2	1857.04	1914.27	2030.24
KCNMA1	893.51	1480.06	1668.53
POLR3H	596.05	736.93	773.75
CD58	702.71	751.04	903.85
PALMD	563.95	688.94	1089.90
BTBD9	515.44	567.81	744.54
C4orf19	961.11	1187.85	1240.20
C8orf47	909.73	947.32	1079.34
CD40	729.41	781.71	970.74
ZNF430	1103.23	1139.24	1276.24
ENPP3	412.72	431.56	542.09
IFRD1	940.66	1178.34	1193.27
GABBR1	632.32	741.77	748.22
SMARCA2	1527.99	1619.97	1802.84
SUCLG2	1857.04	1914.27	2030.24
ZNF468	410.16	492.92	605.59
ZDHHC13	440.81	512.76	607.28
CD58	702.71	751.04	903.85
BTBD9	515.44	567.81	744.54
C8orf47	909.73	947.32	1079.34
ZNF430	1103.23	1139.24	1276.24
ENPP3	412.72	431.56	542.09
PCYT1B	885.39	1047.03	1191.12
CDIPT	2407.98	3067.95	3647.40
SSTR2	322.69	330.51	484.81
CXCL10	340.79	342.69	509.68
SH2D3C	666.51	666.38	683.50
GRK5	597.61	595.84	685.22
PTPN1	578.93	571.92	812.12
DDX58	596.42	688.61	733.19
TBX6	273.68	422.62	493.70
SETDB2	358.01	475.37	529.67
FAP	932.06	802.89	855.58
SDHC	2657.13	2071.45	2327.80
MRPL28	1003.00	667.01	820.70
PARP2	1538.87	1265.17	1390.61
KHDRBS3	693.93	482.76	563.55
PAK1IP1	611.03	250.52	381.12
C14orf106	792.99	495.89	598.55
TSHZ3	814.83	552.67	639.87
RDX	2285.12	1471.22	1729.65
GSN	1311.90	805.90	964.59
WDR1	1995.12	1446.66	1616.36
FAM118B	527.65	398.86	438.38
ENTPD1	597.45	291.43	384.74
CD200	1593.44	899.09	1099.90
FBXW7	633.90	512.27	580.36
SEPT8	2946.17	2632.68	2811.66
CRIPT	861.04	708.53	748.33
CLIC5	354.28	113.40	176.18
MRAS	813.32	579.38	715.20
GRSF1	1327.56	1230.92	1255.48
CLIC5	287.14	201.11	253.39
SEC23A	2109.83	1009.13	1255.69
CPSF4	1316.87	1207.61	1230.91
LOX	681.88	297.77	378.99
TNFAIP6	482.95	276.22	407.66
ZNF24	1403.53	1157.37	1206.12
ZC3H14	1799.36	1604.22	1635.67
C17orf79	2331.96	1896.53	2189.02
ZNHIT3	1912.29	1369.23	1455.79
SDHC	2027.10	1608.89	1664.63
HSPA4L	504.97	318.52	340.11
E2F3	658.28	493.44	511.70
ZNF271	1252.26	884.39	1151.04
PPP2R2B	512.93	406.49	416.84
SUGT1	1972.06	1645.87	1887.87
BAG2	822.66	487.46	513.88
CDCA2	616.70	299.68	324.10
CSNK1A1	1764.29	1600.28	1612.70
CENPA	709.33	346.78	371.76
SULF2	1735.41	748.61	805.37
RNF7	3207.97	2564.37	2592.88
ACOT7	708.02	383.67	390.93
SUCLA2	3149.33	2501.95	2513.79
ZFPM2	2315.71	986.67	1002.20
UGP2	6249.53	4367.75	4385.82
WRB	3466.13	2024.61	2032.04
RAP2C	1328.93	991.96	992.43
HEATR2	2189.56	1668.27	1665.77
C1GALT1	638.80	481.76	610.61
THOC2	962.55	942.90	942.52
CDKN3	1339.71	799.00	788.52
MCM3	2958.58	1758.72	1730.76
PDLIM1	4165.47	3465.67	3442.78
SLC35E1	834.27	1225.11	1391.08
PIK3R2	1113.45	1483.35	1644.21
PDE4C	2428.01	2941.65	3146.46
F2RL1	243.81	487.75	580.97
UPK1B	346.01	1280.17	1636.58
GDPD1	361.56	468.15	508.11
TMEM17	284.61	374.25	407.77
SH2D3A	87.08	143.19	170.29
UBXD4	1792.84	2233.13	2446.21
C11orf54	1168.93	1357.80	1425.29
MAPK9	665.20	836.32	930.89
BPHL	562.71	617.56	647.93
PPM1K	302.01	481.66	584.12
SYNJ2BP	783.57	907.29	978.08
DENND4C	1386.92	1690.66	1870.45
ATG10	256.72	280.26	286.09
RIOK3	1162.42	1434.68	1501.89
TMEM50B	1327.26	1501.52	1540.60
CD82	249.78	472.84	625.78
GALNT6	169.22	272.88	294.99
SATL1	894.20	1055.01	1086.41
ZNF669	319.16	408.04	476.95
ILDR1	325.02	423.77	440.19
GGT6	150.34	641.75	717.10
STK33	227.77	292.64	348.16
PDCD4	1911.41	2947.90	3082.16
OPTN	664.07	718.68	725.50
GOLGA2	1102.87	1547.97	1603.33
ASB9	708.00	1123.36	1172.96
DHTKD1	471.15	638.78	657.10
SLC2A11	196.16	292.03	382.19
REL	382.58	553.54	714.57
GKAP1	534.98	648.17	758.89
PRRG4	277.94	375.07	470.95
ALPK1	155.13	295.47	305.26
RPP14	909.99	1059.80	1070.03
FAM40A	1271.90	1347.78	1426.46
RNF125	173.16	300.41	436.52
RCCD1	1044.19	1469.45	1491.41
GLB1L	251.29	323.80	327.43
PIGO	563.82	621.52	686.41
ZNFX1	588.92	839.57	844.87
SNX22	309.74	391.52	489.67
CFLAR	523.68	675.83	858.45
MRPL24	2076.45	2139.32	2220.28
PGPEP1	353.67	555.04	552.99
PECR	454.01	618.53	616.44
PIPOX	247.92	396.01	392.87
ANKRD44	277.37	325.78	393.12
MAP3K9	245.37	319.12	424.21
PDDC1	547.09	598.61	595.82
KREMEN1	447.47	524.59	519.45
ATF5	267.93	452.80	440.06
NUPL1	428.05	480.64	567.41
PRR11	2204.78	3058.15	2982.42
BPNT1	352.39	451.60	630.03
DNASE2	952.64	1418.09	1365.55
GALM	719.91	806.32	795.60
PHACTR4	1001.68	1228.93	1199.86
INADL	434.98	683.48	651.65
IPP	409.84	503.93	489.83
FUT6	490.91	580.77	789.40
C9orf64	1338.36	1730.82	1662.58
CHMP4C	773.14	1341.21	1241.01
TOMM7	11889.95	13450.00	13174.40
STK32C	146.62	192.47	288.95
PLAC8	474.74	724.64	1134.42
LAS1L	851.91	878.48	920.62
SLC3A1	388.03	1152.81	2260.28
REPS2	327.13	437.23	592.88
MYO1C	1130.35	1221.46	1493.54
HLA-C	3938.76	4962.94	8121.50
MDH1B	358.11	386.22	475.53
TMEM22	532.50	581.56	645.19
KIF3A	554.79	602.70	775.47
THBS4	2703.76	2855.67	3039.70
LEFTY2	121.69	198.48	290.55
APBB1IP	265.37	319.07	523.75
TTF1	672.14	684.19	732.82
KCNMB2	574.84	596.78	692.36
PSG9	507.98	584.45	667.07
ST6GALNAC5	496.83	521.87	641.47
HEMGN	307.52	352.42	569.88
CD48	326.53	519.99	719.76
KMO	123.87	199.81	275.09
WIF1	84.19	102.95	206.47
INPP4B	327.93	350.53	372.53
MUC13	118.07	129.38	203.10
C15orf48	162.91	294.05	411.68
NOTCH4	505.00	695.71	863.06
THOC7	1715.98	1768.38	2154.53
HLA-B	3172.35	3471.49	5918.67
NRF1	798.96	804.07	849.85
LHX3	194.60	211.84	376.96
ZNF479	185.42	190.68	246.24
CCDC92	890.53	897.74	1152.53
CYLD	457.58	594.54	676.57
KL	195.48	407.68	531.64
WHSC2	542.57	638.74	687.82
ENTPD6	694.78	846.29	922.42
PARN	896.67	998.69	1049.03
FAM3B	2125.01	3548.83	4248.92
LRRC48	271.86	317.90	338.87
ERO1L	762.92	797.57	813.35
SNAP25	950.55	931.42	1140.39
IDH3A	534.25	622.86	659.11
BMP2K	584.44	721.68	776.94
ZNF274	841.10	959.25	1003.94
SLC25A37	501.83	951.04	1120.53
TAF15	407.74	390.31	533.84
WDR22	940.70	1044.95	1082.94
STC1	269.30	368.97	427.57
CYLD	457.58	594.54	676.57
SCML4	152.62	251.87	313.74
PRLR	351.14	542.21	643.99
WHSC2	542.57	638.74	687.82
ENTPD6	694.78	846.29	922.42
PARN	896.67	998.69	1049.03
ERO1L	762.92	797.57	813.35
IDH3A	534.25	622.86	659.11
BMP2K	584.44	721.68	776.94
MPP7	333.48	415.64	447.13
ZNF274	841.10	959.25	1003.94
SLC25A37	501.83	951.04	1120.53
WDR22	940.70	1044.95	1082.94
NOTCH4	505.00	695.71	863.06
C15orf48	162.91	294.05	411.68
DMXL2	1776.82	2059.69	2153.56
INPP4B	327.93	350.53	372.53
COG6	1398.90	1662.06	1741.50
KMO	123.87	199.81	275.09
CD48	326.53	519.99	719.76
PSG9	507.98	584.45	667.07
SLC35C2	450.80	596.48	632.29
ZNF700	432.82	507.01	523.46
LEFTY2	121.69	198.48	290.55
THBS4	2703.76	2855.67	3039.70
IGF2	2503.53	3158.15	3985.32
TMEM22	532.50	581.56	645.19
MOSC2	759.09	1209.19	1288.58
TSPAN8	505.23	1976.62	2229.63
ZNF468	410.16	492.92	605.59
FUCA1	1725.81	2397.80	2501.84
REPS2	327.13	437.23	592.88
SLC3A1	388.03	1152.81	2260.28
LMAN1	2235.79	2378.53	2398.50
CABC1	727.83	1264.92	1328.00
LAS1L	851.91	878.48	920.62
SLC25A4	746.79	824.07	832.23
ARHGEF3	847.67	957.45	1135.96
ST8SIA3	248.00	414.86	431.36
PLAC8	474.74	724.64	1134.42
RAB3IP	489.87	777.22	801.03
BANK1	179.04	255.34	390.12
CRLF3	930.79	974.38	1055.83
STK32C	146.62	192.47	288.95
PLCL2	435.51	758.82	759.94
MIA2	262.86	401.47	398.24
TGFBI	1711.87	2652.10	2629.79
DIRAS3	564.36	1414.97	1379.54
ZNRF2	183.84	238.23	382.97
ASXL2	1119.48	1254.03	1247.68
CNOT4	521.75	613.96	607.97
MYO1C	1130.35	1221.46	1493.54
HLA-C	3938.76	4962.94	8121.50
MDH1B	358.11	386.22	475.53
MAGI1	1033.97	1143.94	1207.93
PHKB	1303.29	1463.43	1552.33
FBXL10	1850.91	1968.20	2028.93
DACT2	599.85	795.40	885.69
NR5A2	1197.24	1353.56	1423.81
KIAA0513	189.32	274.94	312.72
CALB2	314.68	389.10	418.49
DMPK	395.94	459.31	484.26
UPK1B	346.01	1280.17	1636.58
PCYT1B	885.39	1047.03	1191.12
OLFM1	341.18	350.11	358.75
KCTD1	950.63	1177.88	1245.10
TP53I13	295.48	354.08	368.59
CNKSR1	324.57	370.52	426.03
MGST1	1099.78	2186.44	2370.51
PRKCB1	321.27	401.19	517.73
BTBD11	225.40	288.33	388.26
ANG	186.54	351.41	366.96
CD79B	189.30	255.60	371.45
ZNF706	1963.85	2119.70	2418.86
MET	563.62	869.90	887.50
AATK	407.21	657.49	661.22
SLCO2B1	882.39	937.61	1069.35
PIP5K1B	826.17	966.05	960.60
ASXL2	1119.48	1254.03	1247.68
CAPN1	474.89	502.20	582.40
PKIB	310.10	958.27	897.87
DGKZ	530.41	744.60	1057.55
TYW1	1200.12	1234.48	1290.20
S100A4	991.03	1202.46	1486.08
CYP8B1	239.72	266.67	311.87
NOTCH4	505.00	695.71	863.06
BTBD9	515.44	567.81	744.54
DUS1L	790.76	898.15	970.60
ART1	269.41	285.26	385.13
CASP8	471.83	485.45	606.35
UCHL1	2548.04	2879.72	3025.31
EML2	323.40	499.30	558.41
NDRG3	922.09	1256.65	1350.63
RIPK3	221.39	298.44	359.74
PLLP	326.42	458.78	584.85
TOR1B	947.62	1036.51	1098.60
AQP1	980.22	2020.88	3147.10
SFTPB	284.10	372.16	429.87
SREBF1	586.13	710.92	861.26
TSPAN9	463.46	543.27	590.19
PEX16	1247.27	1439.31	1539.04
RPS6KA5	537.97	589.32	663.46
HAGH	564.38	604.53	623.98
RASSF3	1044.36	1108.08	1204.10
DACT2	599.85	795.40	885.69
DAK	319.24	489.01	565.64
SLC26A11	886.65	1132.12	1239.68
C12orf34	366.74	542.84	608.46
USP35	336.79	395.01	503.55
ITGA2	352.08	462.78	498.22
PIK3C2A	1174.40	1259.72	1461.05
LCK	88.53	159.93	347.05
CCPG1	539.06	833.68	893.97
HIVEP2	379.21	512.95	533.95
MAGI3	891.87	917.56	1005.81
FBP1	357.56	648.51	678.60
TRADD	182.78	405.04	426.91
ANXA13	117.37	182.34	473.39
ABCC3	330.72	717.37	753.16
PLA2G1B	3332.22	21011.00	22412.90
C16orf5	533.32	548.04	665.10
EGLN1	1313.35	1309.31	1430.51
PPP1CB	3400.98	3388.22	3536.03
EIF2C2	1304.25	1285.83	1424.14
SLC12A6	233.54	246.47	275.39
RNF103	1675.38	1805.07	2086.71
RAPGEF5	742.95	834.85	1018.03
SESN1	1448.20	1658.81	2056.28
HPGD	924.30	862.20	1116.73
LTV1	1096.36	1075.82	1158.16
CASR	204.85	307.66	427.94
TMEM39A	1201.63	1275.77	1360.73
LYST	518.38	663.67	828.76
NPAL2	505.53	597.14	697.07
PLLP	326.42	458.78	584.85
TFF3	856.20	1724.83	2200.50
TMPRSS6	383.63	555.33	645.27
LYSMD2	1627.27	2113.03	2361.50
HAGH	564.38	604.53	623.98
DBNDD2	716.92	809.07	875.85
NPLOC4	800.90	950.40	1020.68
PGF	1669.47	2240.43	2664.92
LAIR1	592.26	657.69	708.22
KLC4	910.26	1057.77	1113.49
NMB	296.84	383.72	416.15
