Genea	Incidenceb	Changes (fold)c	Normal (Mean+s.d.)	Tumor (Mean+s.d.)	Regulation
Polyoma virus PTA	4\5	4~6	0.241+0.008	0.508+0.058	Up-Regulated
Matrix gla protein	6\6	5~6	0.033+0.003	0.217+0.060	Up-Regulated
Sulfated glycoprotein Id	4\6	3~10	0.029+0.023	0.186+0.100	Up-Regulated
Secretory protein	5\5	2~10	0.314+0.217	0.809+0.111	Up-Regulated
Ribosomal protein L17	2\6	2	0.857+0.377	1.897+0.995	Up-Regulated
Glyceradegude-3-phosphate dehydrogenase	3\6	2	1.328+0.042	2.093+0.285	Up-Regulated
AM2 receptor	3\5	4~6	0.051+0.019	0.353+0.058	Up-Regulated
KIAA0018	3\6	2~5	0.074+0.002	0.249+0.109	Up-Regulated
Phosphoribosylpyrophosphate synthetase-assoc. prot	4\7	2~3	0.139+0.030	0.322+0.056	Up-Regulated
G protein signalling regulator RGSS	5\7	2~3	0.110+0.025	0.272+0.066	Up-Regulated
Alkaline phosphatase	2\6	2~3	0.121+0.033	0.350+0.074	Up-Regulated
Estrogen-responsive gene	4\7	1.5	0.110+0.011	0.167+0.009	Up-Regulated
3-Alpha-hydroxysteriod dehydrogenase	3\6	2~3	0.522+0.057	1.231+0.010	Up-Regulated
Heat shock protein 90A	5\7	2~4	1.034+0.110	2.735+0.988	Up-Regulated
Supt 4h mRNA	2\6	2	1.363+0.406	2.297+0.319	Up-Regulated
Lens epithelial protein	3\6	3~5	2.373+0.272	9.759+2.404	Up-Regulated
ABC transporter	6\7	2~4	0.119+0.021	0.457+0.205	Up-Regulated
Cytosolicaspara-ginyl-tRNA	2\6	2	0.629+0.113	1.362+0.042	Up-Regulated
Beta actin binding proteind	4\6	5~10	0.024+0.036	0.481+0.249	Up-Regulated
Mouse chromosome 7, clone 19k5	5\6	2~4	0.065+0.010	0.209+0.051	Up-Regulated
Syndecan-1	6\6	2~3	0.372+0.175	1.459+0.135	Up-Regulated
Ets-1	2\6	2~3	0.666+0.156	2.073+0.612	Up-Regulated
HIPA	2\6	2	0.128+0.082	0.375+0.011	Up-Regulated
Ribosomal protein L14	6\6	3~17	0.128+0.021	1.105+0.818	Up-Regulated
P105 coactivator	6\6	2	0.662+0.036	1.407+0.211	Up-Regulated
Ets-1 promotor region	6\6	2~3	0.260+0.078	0.549+0.105	Up-Regulated
KIAA0152 gened	2\6	2	0.669+0.502	2.171+0.206	Up-Regulated
Ubiquitin-specific proteased	6\6	2~4	0.478+0.008	1.617+0.316	Up-Regulated
BAT 3	1\6	2	0.376+0.155	0.733+0.000	Up-Regulated
Heat shock protein90	4\6	2	0.456+0.117	1.062+0.096	Up-Regulated
150 KDa oxygen regulatory protein (ORP150)	6\7	2~3	0.383+0.056	0.873+0.211	Up-Regulated
Calmodulin-like protein	4\6	2	0.497+0.079	1.034+0.249	Up-Regulated
Cytoplasmic beta-actin	3\6	2	2.284+0.424	5.036+1.176	Up-Regulated
Steroedogenic acute regulatory protein	4\6	2~3	0.033+0.015	0.128+0.226	Up-Regulated
Alpha-1 type IV colloagen mRNA	4\6	2	2.065+0.803	5.137+1.353	Up-Regulated
Hippocalcin gene promoter	5\7	2~4	0.307+0.089	0.689+0.018	Up-Regulated
Ischemia responsive 94 KDa protein	6\6	2~3	0.310+0.156	0.869+0.224	Up-Regulated
Dock180 protein RNA	5\7	2~3	0.296+0.048	0.766+0.102	Up-Regulated
Scaffold protein php I	3\6	2~8	1.719+0.628	0.396+0.234	Down-regulated
Ferritin	3\3	2~3	1.966+0.530	0.569+0.095	Down-regulated
Suppressor of cytokine	2\3	2	0.821+0.048	0.414+0.004	Down-regulated
KIAA0091	4\7	2~4	0.747+0.197	0.233+0.059	Down-regulated
XPC	5\7	2~3	0.855+0.593	0.388+0.166	Down-regulated
Stat3	3\5	2	0.859+0.188	0.388+0.006	Down-regulated
Growth factor inducible early protein (pip92)	4\6	2~4	0.846+0.157	0.323+0.034	Down-regulated
Striated muscle contraction regulatory proteind	4\6	3~8	0.391+0.057	0.098+0.045	Down-regulated
House-keeping type protein(Mer5)	3\6	2	0.554+0.008	0.236+0.045	Down-regulated
Tropoelastin	3\6	2~3	0.288+0.009	0.118+0.022	Down-regulated
Selenoproteind	5\5	3~4	12.26+6.628	3.099+0.630	Down-regulated
KIAA0005d	5\7	2~7	0.632+0.079	0.222+0.106	Down-regulated
L1 retroposon	3\7	2~3	1.424+0.815	0.567+0.001	Down-regulated
Scavenger receptor class B type I	5\6	2~6	0.345+0.167	0.056+0.026	Down-regulated
Acidic ribosomal Protein PO	6\6	3~12	1.148+0.114	0.243+0.113	Down-regulated
Glutathione S-transferase	5\5	2~6	3.911+0.756	1.172+0.650	Down-regulated
Alpha 1 collagen type III	4\6	4~10	3.557+0.575	0.364+0.386	Down-regulated
Phosphodiesterase I	5\5	15~60	1.005+0.160	0.028+0.020	Down-regulated
Vasopressin	4\6	2~4	1.627+0.250	0.625+0.186	Down-regulated
Apolopoprotein E	5\6	2~3	4.441+0.758	1.964+0.157	Down-regulated
Cytochrome P450-scc	5\6	2~5	0.749+0.263	0.216+0.034	Down-regulated
Malic enzyme	3\6	3~5	0.443+0.148	0.125+0.074	Down-regulated
CD59 protein precursor	3\6	2	1.627+0.623	0.850+0.093	Down-regulated
40 kDa ribosomal protein	2\6	2	0.970+0.166	0.426+0.003	Down-regulated
L1 Rn B6	3\7	2	1.839+0.510	0.837+0.138	Down-regulated
Mitochondrial 3-hydroxy-3-methylgultaryl-CoA synthase	7\7	120~150	0.471+0.160	0.000	Down-regulated
H.Sapiens PR264	3\7	2	0.385+0.142	0.091+0.039	Down-regulated
TSC-22	3\7	2	0.891+0.197	0.340+0.015	Down-regulated
