Category	Gene
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Apolipoprotein E
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Insulin-like growth factor 2 (somatomedin A)
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Protein tyrosine phosphatase, receptor type, N
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	N-acetylgalactosaminyltransferase (GalNAc-T)
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Annexin A1
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Protein phosphatase 2, regulatory subunit B (B56), alpha isoform
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Histone deacetylase 3
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	Proteasome (prosome, macropain) subunit, alpha type, 4
S2-013.MUC1F/S2-013.MUC1F.CT3 > 2.0	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kD)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Keratin 19
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Keratin 8
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Matrix metalloproteinase 7 (matrilysin, uterine)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Transmembrane 4 superfamily member 4
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	High-mobility group (nonhistone chromosomal) protein isoforms I and Y
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Hexokinase 1
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Lipocalin 2 (oncogene 24p3)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Actin related protein 2/3 complex, subunit 1B (41 kDa)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Tat interactive protein (60kD)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Myelin basic protein
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Integrin, beta 4
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Isovaleryl Coenzyme A dehydrogenase
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Integrin, beta 4
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Isovaleryl Coenzyme A dehydrogenase
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Suppression of tumorigenicity 14 (colon carcinoma)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Keratin 13
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	CD59 antigen p18–20
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Discoidin domain receptor family, member 1
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Histidine ammonia-lyase
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	IlvB (bacterial acetolactate synthase)-like
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	ESTs, Highly similar to CGI-52 protein [H. sapiens]
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Integrin, beta 5
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	CD9 antigen (p24)
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	GAPDH
S2-013.MUC1F.CT3/S2-013.MUC1F > 2.0	Serine protease inhibitor, Kunitz type, 2
