Genes switched on by TNF-á	Accession number	Expression over back-ground in wildtype HUVEC	Confirmed in vector-infected HUVEC	Function
CCL20 (MIP-3alpha, LARC, Exodus-1)	NM_004591.1	50	yes	Chemokines/cytokines
Lymphotoxin-beta (Tumor necrosis factor C; Tumor necrosis factor ligand superfamily member-3)	NM_002341.1	25	yes	Chemokines/cytokines
Fraktalkine (CX3CL1)	NM_002996.1	25	yes	Chemokines/cytokines
CXCL3 (Gro-gamma)	NM_002090.1	25	yes	Chemokines/cytokines
Macrophage colony stimulating factor-1 (M-CSF)	M37435.1	5	yes	Chemokines/cytokines
Colony-stimulating factor 2 (GM-CSF)	M11734.1	25	yes†	Chemokines/cytokines
Interleukin-18 receptor 1	NM_003855.1	10	yes	Cell surface receptors
CD69 antigen	L07555.1	10	yes	Cell surface receptors
Coagulation factor III (thromboplastin, tissue factor, CD142)	NM_001993.2	10	yes†	Coagulation
TRAF1 (TNF receptor-associated factor 1)	NM_005658.1	10	yes	Signaling/transcription
GTP-binding protein	U69563	5	yes	Signaling/transcription
BCL2-related protein A1	NM_004049.1	10	yes	Apoptosis/cell proliferation
c-IAP-1 (Baculoviral IAP repeat-containing 3)	U37546.1	10	yes	Apoptosis/cell proliferation
Solute carrier family 7, member 2	NM_003046.1	5	yes	Transporters/channels
Transporter 1, ATP-binding cassette, subfamily B	NM_000593.2	5	yes	Transporters/channels
Melanoma differentiation-associated protein-5	NM_022168.1	10	yes	Others
Ubiquitin D	NM_006398.1	25	yes	Others
Sequestosome 1	N30649	10	yes	Others
