# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.89832|Hs.89832	hgnc_symbol|INS|INS
unigene|Hs.427202|Hs.427202	hgnc_symbol|TTR|TTR
unigene|Hs.423901|Hs.423901	hgnc_symbol|GCG|GCG





unigene|Hs.300280|Hs.300280	hgnc_symbol|AMY2A|AMY2A
unigene|Hs.2879|Hs.2879	hgnc_symbol|CPA1|CPA1
unigene|Hs.133430|Hs.133430
unigene|Hs.401448|Hs.401448	hgnc_symbol|TPT1|TPT1
unigene|Hs.78546|Hs.78546	hgnc_symbol|ATP2B1|ATP2B1
unigene|Hs.429437|Hs.429437	hgnc_symbol|PCSK1N|PCSK1N
unigene|Hs.2265|Hs.2265	hgnc_symbol|SCG5|SCG5

unigene|Hs.2281|Hs.2281	hgnc_symbol|CHGB|CHGB
unigene|Hs.95243|Hs.95243	hgnc_symbol|TCEAL1|TCEAL1
unigene|Hs.49407|Hs.49407	hgnc_symbol|REG1A|REG1A
unigene|Hs.419094|Hs.419094	hgnc_symbol|PRSS1|PRSS1
unigene|Hs.181289|Hs.181289	hgnc_symbol|CELA3A|CELA3A
unigene|Hs.436980|Hs.436980
unigene|Hs.75106|Hs.75106	hgnc_symbol|CLU|CLU
unigene|Hs.48516|Hs.48516	hgnc_symbol|B2M|B2M
unigene|Hs.241561|Hs.241561	hgnc_symbol|PRSS2|PRSS2
unigene|Hs.75360|Hs.75360	hgnc_symbol|CPE|CPE
unigene|Hs.142255|Hs.142255	hgnc_symbol|IAPP|IAPP
unigene|Hs.127179|Hs.127179


unigene|Hs.418650|Hs.418650	hgnc_symbol|FTH1|FTH1



unigene|Hs.404283|Hs.404283	hgnc_symbol|RAD23B|RAD23B
unigene|Hs.374523|Hs.374523	hgnc_symbol|GNAS|GNAS
unigene|Hs.268049|Hs.268049	hgnc_symbol|NIP7|NIP7
unigene|Hs.181874|Hs.181874	hgnc_symbol|IFIT3|IFIT3
unigene|Hs.116428|Hs.116428	hgnc_symbol|SCGN|SCGN

unigene|Hs.406160|Hs.406160	hgnc_symbol|CEL|CEL
unigene|Hs.323562|Hs.323562	hgnc_symbol|MAGT1|MAGT1

unigene|Hs.89655|Hs.89655	hgnc_symbol|PTPRN|PTPRN
unigene|Hs.75452|Hs.75452	hgnc_symbol|HSPA1A|HSPA1A
unigene|Hs.422118|Hs.422118	hgnc_symbol|EEF1A1|EEF1A1
unigene|Hs.198281|Hs.198281	hgnc_symbol|PKM|PKM
unigene|Hs.119206|Hs.119206	hgnc_symbol|IGFBP7|IGFBP7

unigene|Hs.90436|Hs.90436	hgnc_symbol|SPAG7|SPAG7
