# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.89832|Hs.89832	hgnc_symbol|INS|INS
unigene|Hs.427202|Hs.427202	hgnc_symbol|TTR|TTR
unigene|Hs.429437|Hs.429437	hgnc_symbol|PCSK1N|PCSK1N
unigene|Hs.423901|Hs.423901	hgnc_symbol|GCG|GCG

unigene|Hs.2265|Hs.2265	hgnc_symbol|SCG5|SCG5
unigene|Hs.624|Hs.624	hgnc_symbol|IL8|IL8
unigene|Hs.374523|Hs.374523	hgnc_symbol|GNAS|GNAS
unigene|Hs.142255|Hs.142255	hgnc_symbol|IAPP|IAPP
unigene|Hs.356531|Hs.356531	hgnc_symbol|HSP90AA1 /// HSP90AA2|HSP90AA1 /// HSP90AA2
unigene|Hs.8417|Hs.8417	hgnc_symbol|CAMKK1|CAMKK1
unigene|Hs.2281|Hs.2281	hgnc_symbol|CHGB|CHGB
unigene|Hs.181307|Hs.181307	hgnc_symbol|H3F3A|H3F3A
unigene|Hs.76095|Hs.76095	hgnc_symbol|IER3|IER3
unigene|Hs.172216|Hs.172216	hgnc_symbol|CHGA|CHGA
unigene|Hs.112844|Hs.112844	hgnc_symbol|MEG3|MEG3
unigene|Hs.326728|Hs.326728	hgnc_symbol|MIR7-3HG|MIR7-3HG
unigene|Hs.275243|Hs.275243	hgnc_symbol|S100A6|S100A6
unigene|Hs.265827|Hs.265827	hgnc_symbol|IFI6|IFI6
unigene|Hs.24809|Hs.24809	hgnc_symbol|OGFOD1|OGFOD1
unigene|Hs.222348|Hs.222348

unigene|Hs.82890|Hs.82890	hgnc_symbol|DAD1|DAD1
unigene|Hs.7788|Hs.7788	hgnc_symbol|RHBDD2|RHBDD2
unigene|Hs.433581|Hs.433581	hgnc_symbol|SRSF11|SRSF11
unigene|Hs.283963|Hs.283963	hgnc_symbol|G6PC2|G6PC2
unigene|Hs.278398|Hs.278398	hgnc_symbol|DOPEY1|DOPEY1
unigene|Hs.171014|Hs.171014	hgnc_symbol|VGF|VGF
unigene|Hs.105547|Hs.105547	hgnc_symbol|NPDC1|NPDC1



unigene|Hs.82085|Hs.82085	hgnc_symbol|SERPINE1|SERPINE1
unigene|Hs.75658|Hs.75658	hgnc_symbol|PYGB|PYGB
unigene|Hs.74405|Hs.74405	hgnc_symbol|YWHAQ|YWHAQ
unigene|Hs.6522|Hs.6522	hgnc_symbol|EEFSEC|EEFSEC
unigene|Hs.47334|Hs.47334	hgnc_symbol|SYAP1|SYAP1
unigene|Hs.43910|Hs.43910	hgnc_symbol|CD164|CD164
unigene|Hs.179082|Hs.179082
unigene|Hs.159161|Hs.159161	hgnc_symbol|ARHGDIA|ARHGDIA
unigene|Hs.15318|Hs.15318	hgnc_symbol|HAX1|HAX1
unigene|Hs.13751|Hs.13751	hgnc_symbol|PDIA3|PDIA3
unigene|Hs.131255|Hs.131255	hgnc_symbol|UQCRB|UQCRB
unigene|Hs.130829|Hs.130829
unigene|Hs.127179|Hs.127179	hgnc_symbol|CFC1|CFC1
unigene|Hs.110695|Hs.110695

unigene|Hs.94695|Hs.94695	hgnc_symbol|IFI27L2|IFI27L2
unigene|Hs.8813|Hs.8813	hgnc_symbol|STXBP3|STXBP3
unigene|Hs.78040|Hs.78040	hgnc_symbol|KDELR1|KDELR1
unigene|Hs.74637|Hs.74637	hgnc_symbol|TMBIM6|TMBIM6
unigene|Hs.433387|Hs.433387	hgnc_symbol|CD99|CD99
unigene|Hs.386741|Hs.386741	hgnc_symbol|ANXA7|ANXA7
unigene|Hs.265848|Hs.265848	hgnc_symbol|PDE4DIP|PDE4DIP
unigene|Hs.25829|Hs.25829	hgnc_symbol|RASD1|RASD1
unigene|Hs.20621|Hs.20621	hgnc_symbol|TUBGCP4|TUBGCP4
unigene|Hs.179986|Hs.179986	hgnc_symbol|FLOT1|FLOT1
unigene|Hs.179665|Hs.179665	hgnc_symbol|CDKN1A|CDKN1A
unigene|Hs.179661|Hs.179661
unigene|Hs.165563|Hs.165563	hgnc_symbol|DNAJC5|DNAJC5
unigene|Hs.149190|Hs.149190
unigene|Hs.118786|Hs.118786	hgnc_symbol|MT2A|MT2A
unigene|Hs.117226|Hs.117226
unigene|Hs.10590|Hs.10590	hgnc_symbol|RNF114|RNF114


unigene|Hs.98124|Hs.98124	hgnc_symbol|ELL2|ELL2
unigene|Hs.83920|Hs.83920	hgnc_symbol|PAM|PAM
unigene|Hs.83869|Hs.83869	hgnc_symbol|SMCR7L|SMCR7L
unigene|Hs.7905|Hs.7905	hgnc_symbol|SNX9|SNX9
unigene|Hs.76780|Hs.76780	hgnc_symbol|PPP1R1A|PPP1R1A
unigene|Hs.75431|Hs.75431	hgnc_symbol|FGG|FGG
unigene|Hs.50842|Hs.50842	hgnc_symbol|IFI35|IFI35
unigene|Hs.425808|Hs.425808	hgnc_symbol|CALM2|CALM2
unigene|Hs.351929|Hs.351929	hgnc_symbol|FRA10AC1|FRA10AC1
unigene|Hs.3069|Hs.3069	hgnc_symbol|HSPA9|HSPA9
unigene|Hs.306122|Hs.306122	hgnc_symbol|TECR|TECR
unigene|Hs.290070|Hs.290070	hgnc_symbol|GSN|GSN
unigene|Hs.283095|Hs.283095	hgnc_symbol|MEPE|MEPE
unigene|Hs.278479|Hs.278479	hgnc_symbol|TSPYL1|TSPYL1
unigene|Hs.274428|Hs.274428	hgnc_symbol|TERF2IP|TERF2IP
unigene|Hs.251653|Hs.251653	hgnc_symbol|TUBB2A|TUBB2A
unigene|Hs.239138|Hs.239138	hgnc_symbol|NAMPT|NAMPT
