Currated Gene Symbol	UniGene ID	Symbol	Name	Tag per million	Cytoband
PDE4DIP	Hs.265848	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	320	1q12
S100A6	Hs.275243	S100A6	S100 calcium binding protein A6 (calcyclin)	533	1q21
S100A10	Hs.400250	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	213	1q21
PDZK1	Hs.15456	PDZK1	PDZ domain containing 1	107	1q21
JTB	Hs.6396	JTB	jumping translocation breakpoint	107	1q21
MCL1	Hs.86386	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	107	1q21
S100A11	Hs.417004	S100A11	S100 calcium binding protein A11 (calgizzarin)	78	1q21
TPM3	Hs.85844	TPM3	tropomyosin 3	568	1q21.2
C1orf43	Hs.355906	NICE-3	NICE-3 protein	252	1q21.2
RAB13	Hs.151536	RAB13	RAB13, member RAS oncogene family	50	1q21.2
LOC64182	Hs.333512	LOC64182	similar to rat myomegalin	46	1q21.2
SEC22B	Hs.50785	SEC22L1	SEC22 vesicle trafficking protein-like 1 ( S. cerevisiae )	160	1q21.2-q21.3
F11R	Hs.12284	F11R	F11 receptor	107	1q21.2-q21.3
ENSA	Hs.111680	ENSA	endosulfine alpha	376	1q21.3
KCNN3	Hs.89230	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	259	1q21.3
CERS2	Hs.285976	LASS2	LAG1 longevity assurance homolog 2 ( S. cerevisiae )	107	1q21.3
RUSC1	Hs.226499	RUSC1	RUN and SH3 domain containing 1	160	1q21-q22
SELENBP1	Hs.334841	SELENBP1	selenium binding protein 1	46	1q21-q22
SSR2	Hs.74564	SSR2	signal sequence receptor, beta (translocon-associated protein beta)	78	1q21-q23
TAGLN2	Hs.406504	TAGLN2	transgelin 2	683	1q21-q25
HAX1	Hs.15318	HAX1	HS1 binding protein	373	1q22
PEX19	Hs.168670	PXF	peroxisomal farnesylated protein	213	1q22
USP21	Hs.8015	USP21	ubiquitin specific protease 21	160	1q22
YY1AP1	Hs.18851	YAP	YY1-associated protein	107	1q22
ILF2	Hs.75117	ILF2	interleukin enhancer binding factor 2, 45 kDa	107	1q22
DCAF8	Hs.110707	H326	H326	107	1q22-q23
ATP1B1	Hs.78629	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	102	1q22-q25
NDUFS2	Hs.173611	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49 kDa (NADH-coenzyme Q reductase)	120	1q23
FCGR3B	Hs.372679	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor for (CD16)	107	1q23
MGST3	Hs.424468	MGST3	microsomal glutathione S-transferase 3	107	1q23
CCT3	Hs.1708	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	107	1q23
UFC1	Hs.177507	HSPC155	hypothetical protein HSPC155	386	1q23.1
C1orf111	Hs.97784		Homo sapiens, similar to hypothetical protein, clone MGC:33651 IMAGE:4827863, mRNA, complete cds	143	1q23.1
DEDD	Hs.169681	DEDD	death effector domain containing	41	1q23.1
PRRC2C	Hs.69559	XTP2	HBxAg transactivated protein 2	107	1q23.3
COPA	Hs.75887	COPA	coatomer protein complex, subunit alpha	107	1q23-q25
MPC2	Hs.76285	DKFZP564B167	DKFZP564B167 protein	131	1q24
NME7	Hs.274479	NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	107	1q24
QSOX1	Hs.77266	QSCN6	quiescin Q6	107	1q24
PRDX6	Hs.120	PRDX6	antioxidant protein 2	107	1q24.1
RFWD2	Hs.105737	COP1	constitutive photomorphogenic protein	107	1q24.2
C1orf21	Hs.12532	C1orf21	chromosome 1 open reading frame 21	160	1q25
TPR	Hs.169750	TPR	translocated promoter region (to activated MET oncogene)	46	1q25
LAMC2	Hs.54451	LAMC2	laminin, gamma 2	213	1q25-q31
PFKFB2	Hs.211585	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	160	1q31
TROVE2	Hs.554	SSA2	Sjogren syndrome antigen A2 (60 kDa, ribonucleoprotein autoantigen SS-A/Ro)	107	1q31
GLUL	Hs.170171	GLUL	glutamate-ammonia ligase (glutamine synthase)	42	1q31
CAMSAP2	Hs.23585	KIAA1078	KIAA1078 protein	107	1q31.3
CSRP1	Hs.108080	CSRP1	cysteine and glycine-rich protein 1	358	1q32
MAPKAPK2	Hs.75074	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	160	1q32
RNPEP	Hs.283667	RNPEP	arginyl aminopeptidase (aminopeptidase B)	107	1q32
	Hs.7309		Homo sapiens cDNA FLJ34019 fis, clone FCBBF2002898	46	1q32.1
PPP2R5A	Hs.155079	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	107	1q32.2-q32.3
G0S2	Hs.432132	G0S2	putative lymphocyte G0/G1 switch gene	107	1q32.2-q41
TMEM206	Hs.30318	FLJ10874	hypothetical protein FLJ10874	50	1q32.3
NENF	Hs.109494	SPUF	secreted protein of unknown function	46	1q32.3
GUK1	Hs.3764	GUK1	guanylate kinase 1	126	1q32-q41
SMG7	Hs.15087	C1orf16	chromosome 1 open reading frame 16	107	1q35
